Wavelength nm.;s1.2;s2.2;s3.2;s4.2;s5.2;s6.2;s7.2
200;1,0383;0,9543;0,8743;0,8315;0,8461;0,7761;0,7496
200,2;1,0708;1,005;0,9338;0,8718;0,8756;0,8187;0,7808
200,4;1,1739;1,0736;1,0302;0,961;0,9659;0,9216;0,8814
200,6;1,2811;1,1649;1,103;1,0835;1,0449;1,0186;0,9846
200,8;1,3627;1,2768;1,1803;1,1981;1,1253;1,0992;1,0602
201;1,4791;1,3629;1,2828;1,2599;1,2252;1,2015;1,1565
201,2;1,5601;1,4445;1,3792;1,3338;1,3051;1,2648;1,2258
201,4;1,6091;1,5241;1,448;1,3981;1,3861;1,3213;1,2886
201,6;1,6624;1,597;1,5016;1,4371;1,4535;1,4109;1,3814
201,8;1,7093;1,6563;1,5519;1,5211;1,5064;1,4761;1,4451
202;1,7696;1,727;1,6178;1,6172;1,5706;1,5361;1,4924
202,2;1,8328;1,7925;1,697;1,6873;1,6363;1,5946;1,5398
202,4;1,8914;1,823;1,7539;1,7412;1,6846;1,6302;1,5874
202,6;1,9625;1,8567;1,8045;1,7906;1,7216;1,6721;1,6401
202,8;2,0035;1,9161;1,8754;1,8358;1,7761;1,7309;1,6898
203;2,0319;1,9868;1,9222;1,871;1,8297;1,7935;1,7209
203,2;2,097;2,0478;1,9429;1,91;1,8624;1,8419;1,746
203,4;2,1618;2,0484;1,9842;1,9544;1,9085;1,8731;1,7752
203,6;2,2042;2,0477;2,0284;1,9802;1,9382;1,9044;1,7894
203,8;2,2329;2,1061;2,0381;2,006;1,9717;1,9247;1,8105
204;2,2654;2,1455;2,067;2,0303;1,9987;1,9721;1,8225
204,2;2,2773;2,18;2,1201;2,0541;2,007;2,0175;1,8214
204,4;2,2957;2,1826;2,1688;2,1027;2,0545;2,0378;1,8213
204,6;2,321;2,2066;2,1876;2,1363;2,0848;2,0736;1,8228
204,8;2,3387;2,2632;2,1919;2,1594;2,1096;2,0903;1,8065
205;2,373;2,2748;2,2088;2,1846;2,1383;2,0896;1,7805
205,2;2,4006;2,3043;2,232;2,1956;2,1401;2,1061;1,775
205,4;2,4259;2,3237;2,2551;2,2039;2,1591;2,1441;1,7534
205,6;2,4297;2,3211;2,2611;2,2249;2,1936;2,154;1,7095
205,8;2,4118;2,3503;2,272;2,2445;2,2288;2,1548;1,6829
206;2,443;2,3748;2,2997;2,2537;2,2331;2,1724;1,65
206,2;2,5097;2,397;2,3181;2,2603;2,2328;2,1839;1,6053
206,4;2,5312;2,4104;2,3381;2,2772;2,2429;2,2216;1,5728
206,6;2,528;2,4021;2,3602;2,3171;2,2599;2,2364;1,5388
206,8;2,5411;2,4621;2,376;2,3352;2,2847;2,2245;1,5061
207;2,5727;2,4847;2,4083;2,3408;2,2856;2,2242;1,4725
207,2;2,5863;2,4743;2,4103;2,3676;2,2893;2,2289;1,4336
207,4;2,5964;2,4908;2,4137;2,3836;2,3081;2,2387;1,3879
207,6;2,6169;2,491;2,4525;2,3692;2,3383;2,2416;1,3515
207,8;2,6247;2,5107;2,4628;2,3693;2,348;2,232;1,312
208;2,6613;2,5394;2,4518;2,3826;2,3368;2,2164;1,27
208,2;2,6556;2,5462;2,4395;2,4097;2,3374;2,2081;1,2356
208,4;2,6229;2,5528;2,4485;2,4368;2,3399;2,1892;1,1986
208,6;2,6531;2,5809;2,4552;2,4209;2,3617;2,1713;1,1689
208,8;2,6964;2,5788;2,4755;2,4222;2,3809;2,1602;1,1302
209;2,6947;2,5629;2,5018;2,4442;2,3675;2,1414;1,0898
209,2;2,6825;2,5756;2,4973;2,4461;2,383;2,1108;1,0597
209,4;2,6741;2,5859;2,5048;2,4526;2,415;2,0778;1,0294
209,6;2,6799;2,5975;2,5119;2,4723;2,4126;2,0502;0,9963
209,8;2,7093;2,6037;2,525;2,4737;2,4005;2,0139;0,9626
210;2,7343;2,5964;2,5489;2,4687;2,4009;1,9601;0,9353
210,2;2,7077;2,5967;2,5613;2,4755;2,4074;1,9113;0,9101
210,4;2,7062;2,6078;2,562;2,481;2,4311;1,8763;0,8783
210,6;2,7437;2,6291;2,5481;2,4806;2,4529;1,8313;0,8454
210,8;2,7625;2,6369;2,5552;2,4889;2,4409;1,7896;0,8232
211;2,7623;2,642;2,5776;2,5115;2,4274;1,7502;0,7984
211,2;2,7638;2,664;2,5784;2,5191;2,4367;1,7079;0,7736
211,4;2,7795;2,6492;2,5831;2,5156;2,4483;1,6607;0,7465
211,6;2,7897;2,6501;2,5886;2,5314;2,4519;1,6088;0,7171
211,8;2,7666;2,6821;2,5764;2,5427;2,4428;1,5642;0,6976
212;2,7463;2,679;2,5739;2,5491;2,4351;1,5189;0,678
212,2;2,7903;2,6893;2,5884;2,5508;2,4175;1,4737;0,6563
212,4;2,8265;2,7064;2,5958;2,5478;2,3988;1,4256;0,6322
212,6;2,8208;2,7026;2,617;2,5508;2,4048;1,3839;0,6131
212,8;2,8108;2,6915;2,6239;2,543;2,3937;1,3434;0,5917
213;2,8295;2,7004;2,6158;2,5524;2,3711;1,2993;0,5714
213,2;2,8466;2,7225;2,6266;2,5687;2,3517;1,2592;0,5513
213,4;2,8139;2,7222;2,6389;2,5733;2,3386;1,2157;0,5326
213,6;2,8085;2,7161;2,6291;2,5763;2,3115;1,1786;0,5147
213,8;2,8487;2,7077;2,6271;2,5942;2,2695;1,1414;0,4969
214;2,8643;2,7141;2,6402;2,5994;2,2297;1,102;0,4805
214,2;2,8687;2,7276;2,6384;2,5825;2,1809;1,0598;0,4647
214,4;2,8611;2,7335;2,6443;2,5959;2,1367;1,0214;0,4519
214,6;2,8558;2,7213;2,6564;2,6094;2,0997;0,9883;0,437
214,8;2,8553;2,7201;2,6767;2,6134;2,054;0,9557;0,4226
215;2,8476;2,7502;2,6898;2,6242;1,9895;0,9211;0,4047
215,2;2,8587;2,7638;2,6823;2,6328;1,9154;0,8825;0,3885
215,4;2,8704;2,7742;2,6985;2,6365;1,8587;0,8522;0,3754
215,6;2,8828;2,7745;2,7142;2,6232;1,8117;0,8226;0,3638
215,8;2,9168;2,7552;2,6975;2,6129;1,7507;0,7903;0,3497
216;2,9181;2,7571;2,6911;2,6125;1,6798;0,7597;0,3356
216,2;2,8981;2,7691;2,6844;2,6044;1,6169;0,7321;0,3226
216,4;2,8918;2,7744;2,6841;2,6098;1,5684;0,7073;0,311
216,6;2,9085;2,7954;2,7041;2,6233;1,5201;0,6803;0,299
216,8;2,9283;2,8161;2,7056;2,6176;1,4613;0,652;0,2895
217;2,9238;2,7869;2,6985;2,604;1,4021;0,6239;0,2802
217,2;2,9202;2,7887;2,7018;2,5942;1,3534;0,6012;0,2694
217,4;2,9379;2,8216;2,7171;2,5723;1,3032;0,5774;0,2589
217,6;2,957;2,8228;2,7205;2,5536;1,2483;0,5562;0,2473
217,8;2,9572;2,8376;2,7187;2,5445;1,2003;0,5368;0,2405
218;2,954;2,8489;2,7395;2,5064;1,1536;0,515;0,2312
218,2;2,9449;2,8566;2,7403;2,4628;1,1021;0,4932;0,2222
218,4;2,9488;2,8399;2,7107;2,4173;1,0594;0,4761;0,2151
218,6;2,9662;2,804;2,7154;2,3573;1,0194;0,4582;0,2071
218,8;2,9702;2,8087;2,7376;2,3143;0,9786;0,438;0,1992
219;2,9599;2,846;2,7255;2,2702;0,9396;0,4206;0,1918
219,2;2,9433;2,8644;2,7133;2,2208;0,902;0,4035;0,1855
219,4;2,955;2,8587;2,7248;2,1494;0,8649;0,387;0,1808
219,6;2,975;2,8509;2,7432;2,067;0,827;0,3723;0,1737
219,8;2,9885;2,8539;2,7441;2,0015;0,7962;0,3594;0,1654
220;3,0155;2,8652;2,7469;1,9312;0,7642;0,3438;0,1598
220,2;3,0081;2,869;2,7576;1,8595;0,7281;0,3307;0,152
220,4;3,0211;2,8671;2,7476;1,7859;0,6939;0,3176;0,1469
220,6;3,0411;2,8561;2,7336;1,7189;0,6656;0,3054;0,1432
220,8;3,0203;2,8538;2,7193;1,653;0,6372;0,2933;0,1383
221;2,9972;2,8681;2,717;1,5861;0,6096;0,2818;0,1324
221,2;2,9983;2,8653;2,732;1,5197;0,5843;0,2717;0,1275
221,4;3,0173;2,8743;2,7342;1,4571;0,5596;0,2618;0,1238
221,6;3,0291;2,8887;2,7361;1,399;0,5349;0,252;0,1195
221,8;3,029;2,8662;2,7185;1,338;0,5104;0,2425;0,1139
222;3,0212;2,8557;2,699;1,2854;0,4916;0,2339;0,1101
222,2;3,0347;2,8871;2,6809;1,231;0,472;0,2245;0,109
222,4;3,035;2,8995;2,6484;1,173;0,4526;0,2142;0,1039
222,6;3,0357;2,9021;2,6251;1,1184;0,4333;0,2055;0,1013
222,8;3,0399;2,8784;2,5952;1,0718;0,4124;0,1999;0,0986
223;3,0318;2,864;2,5435;1,0209;0,392;0,1904;0,095
223,2;3,0237;2,8865;2,4693;0,9716;0,3748;0,1829;0,0906
223,4;3,0239;2,8787;2,4042;0,9331;0,3605;0,1783;0,0877
223,6;3,038;2,8845;2,3504;0,8926;0,3474;0,172;0,0864
223,8;3,0475;2,905;2,283;0,8535;0,3337;0,1646;0,0841
224;3,063;2,8912;2,2062;0,8127;0,3164;0,1581;0,0809
224,2;3,0457;2,8805;2,1246;0,7781;0,3016;0,1541;0,0773
224,4;3,0374;2,889;2,0346;0,7435;0,2896;0,1487;0,0748
224,6;3,0863;2,8919;1,9538;0,7084;0,2791;0,1428;0,0736
224,8;3,0784;2,8912;1,8804;0,6764;0,267;0,1374;0,0719
225;3,0506;2,8855;1,806;0,6475;0,2559;0,1325;0,0696
225,2;3,0467;2,8913;1,7209;0,6173;0,2448;0,1274;0,0687
225,4;3,0512;2,8941;1,635;0,5876;0,2343;0,1243;0,0664
225,6;3,0856;2,8913;1,562;0,5616;0,2245;0,1198;0,0636
225,8;3,0993;2,8747;1,4971;0,5351;0,2156;0,115;0,0618
226;3,082;2,8632;1,4323;0,5116;0,2067;0,1112;0,0596
226,2;3,0686;2,8774;1,3606;0,4873;0,1984;0,1076;0,0585
226,4;3,0683;2,9048;1,297;0,4664;0,1909;0,1047;0,0574
226,6;3,0553;2,9028;1,229;0,4441;0,1816;0,103;0,0551
226,8;3,043;2,879;1,1657;0,4219;0,1741;0,0988;0,0547
227;3,0512;2,8518;1,1133;0,4031;0,1676;0,0942;0,0529
227,2;3,0684;2,8575;1,063;0,3857;0,1618;0,0916;0,0517
227,4;3,078;2,8599;1,0108;0,3672;0,1552;0,0881;0,0511
227,6;3,0704;2,8357;0,9608;0,3495;0,1512;0,0852;0,0502
227,8;3,0715;2,8126;0,9175;0,3359;0,1466;0,0837;0,0507
228;3,0797;2,7637;0,8667;0,3209;0,1397;0,0819;0,0496
228,2;3,0699;2,7107;0,822;0,3051;0,1323;0,0788;0,0476
228,4;3,0656;2,6487;0,7831;0,2917;0,1269;0,0771;0,0469
228,6;3,0535;2,5829;0,7447;0,2792;0,1228;0,0758;0,046
228,8;3,0504;2,5158;0,7061;0,266;0,1196;0,074;0,0456
229;3,0508;2,4319;0,6688;0,2532;0,1156;0,0706;0,045
229,2;3,055;2,3433;0,6354;0,2448;0,1109;0,0682;0,044
229,4;3,0808;2,257;0,6058;0,2363;0,1086;0,0672;0,0429
229,6;3,0806;2,1641;0,5763;0,2261;0,1044;0,0674;0,042
229,8;3,0514;2,0788;0,5468;0,2195;0,1007;0,0661;0,0418
230;3,043;1,9891;0,5234;0,2107;0,0975;0,0636;0,0409
230,2;3,064;1,8984;0,498;0,2001;0,0938;0,0635;0,04
230,4;3,0602;1,8077;0,4735;0,1916;0,0909;0,0636;0,039
230,6;3,0511;1,7248;0,4498;0,1854;0,0885;0,061;0,0373
230,8;3,0469;1,646;0,4288;0,1803;0,0859;0,06;0,0365
231;3,0341;1,5602;0,4069;0,1724;0,0828;0,0593;0,0354
231,2;3,0338;1,4901;0,3864;0,1642;0,0796;0,0574;0,0348
231,4;3,0194;1,423;0,3693;0,1594;0,0778;0,0556;0,0361
231,6;3,0164;1,3525;0,3518;0,154;0,0768;0,054;0,0362
231,8;3,027;1,2832;0,3356;0,1475;0,0739;0,0529;0,0348
232;3,0389;1,2246;0,3214;0,1433;0,072;0,0525;0,0341
232,2;3,021;1,1702;0,3081;0,138;0,0706;0,0521;0,0339
232,4;3,0002;1,1113;0,2927;0,133;0,0676;0,0518;0,0328
232,6;2,9933;1,0567;0,2796;0,1287;0,066;0,0521;0,0321
232,8;2,96;1,0095;0,2696;0,1249;0,0656;0,0508;0,0332
233;2,9319;0,964;0,2583;0,121;0,0649;0,0495;0,0344
233,2;2,9014;0,9187;0,2467;0,1172;0,063;0,0497;0,0336
233,4;2,8656;0,8762;0,2377;0,1139;0,0611;0,0497;0,0325
233,6;2,8251;0,8358;0,2286;0,1108;0,061;0,0479;0,0325
233,8;2,7661;0,8006;0,2191;0,108;0,0601;0,0472;0,0314
234;2,6914;0,7636;0,209;0,1045;0,0592;0,0464;0,0312
234,2;2,624;0,7312;0,2012;0,1025;0,058;0,046;0,0319
234,4;2,5511;0,6996;0,1942;0,1004;0,056;0,0457;0,0316
234,6;2,4606;0,6644;0,1862;0,0968;0,0543;0,046;0,0306
234,8;2,3676;0,6317;0,1789;0,0946;0,0552;0,0464;0,0306
235;2,2859;0,6037;0,1711;0,0932;0,0547;0,0456;0,0301
235,2;2,1883;0,5755;0,1645;0,0903;0,0532;0,0442;0,0294
235,4;2,0916;0,5476;0,158;0,0879;0,0517;0,0442;0,0289
235,6;2,0082;0,5268;0,1519;0,0868;0,0506;0,0438;0,0291
235,8;1,9281;0,5042;0,1467;0,0856;0,0506;0,0427;0,03
236;1,845;0,4808;0,1425;0,0825;0,0503;0,0426;0,0296
236,2;1,7621;0,4585;0,1374;0,0799;0,0495;0,0415;0,029
236,4;1,691;0,4391;0,1322;0,079;0,0487;0,0414;0,0292
236,6;1,6228;0,4212;0,1285;0,0787;0,0494;0,042;0,0299
236,8;1,5536;0,4021;0,125;0,0773;0,0484;0,0416;0,0292
237;1,4804;0,3836;0,1197;0,0751;0,046;0,0405;0,0277
237,2;1,4172;0,3661;0,1156;0,0727;0,045;0,0407;0,0268
237,4;1,3488;0,3494;0,1121;0,0716;0,0456;0,0399;0,0269
237,6;1,2812;0,333;0,1082;0,0703;0,0453;0,0385;0,0277
237,8;1,2228;0,3184;0,1057;0,069;0,0442;0,0396;0,0278
238;1,1677;0,3054;0,1017;0,0676;0,0436;0,0391;0,0273
238,2;1,1144;0,2939;0,0972;0,0673;0,0436;0,0397;0,0262
238,4;1,0586;0,2802;0,095;0,0663;0,0434;0,0393;0,0262
238,6;1,0108;0,2692;0,0929;0,0642;0,0429;0,038;0,0266
238,8;0,9601;0,2576;0,0898;0,0632;0,0427;0,038;0,0267
239;0,915;0,2457;0,0877;0,0619;0,0435;0,0378;0,0271
239,2;0,8763;0,2368;0,0864;0,061;0,043;0,0376;0,0266
239,4;0,8374;0,2288;0,0848;0,0607;0,0423;0,0373;0,0268
239,6;0,7987;0,2205;0,0821;0,06;0,0415;0,0376;0,026
239,8;0,7597;0,2113;0,0794;0,0587;0,0417;0,0363;0,0253
240;0,7276;0,2035;0,0772;0,0585;0,0424;0,0362;0,0265
240,2;0,6962;0,1974;0,0767;0,0589;0,0425;0,0376;0,0269
240,4;0,6645;0,1906;0,0748;0,0591;0,0414;0,0372;0,0264
240,6;0,6341;0,1844;0,0727;0,0587;0,04;0,0374;0,0259
240,8;0,6079;0,1791;0,0721;0,058;0,0396;0,0372;0,0253
241;0,5806;0,1725;0,071;0,0577;0,0392;0,0379;0,0252
241,2;0,5551;0,1669;0,0696;0,0571;0,0389;0,0382;0,0253
241,4;0,5346;0,1628;0,0692;0,0562;0,0398;0,0368;0,0257
241,6;0,5146;0,1591;0,069;0,0561;0,0392;0,0357;0,026
241,8;0,4944;0,1542;0,0673;0,0558;0,0373;0,0361;0,0252
242;0,4751;0,1495;0,0656;0,0548;0,0381;0,0355;0,0241
242,2;0,4579;0,146;0,0651;0,0546;0,0396;0,0353;0,0237
242,4;0,4418;0,1434;0,0648;0,0549;0,0395;0,0365;0,0243
242,6;0,4264;0,1408;0,0651;0,0549;0,0385;0,0364;0,0249
242,8;0,4128;0,1383;0,0648;0,0544;0,0383;0,0356;0,0243
243;0,4004;0,1357;0,0639;0,054;0,038;0,0351;0,0238
243,2;0,3876;0,1326;0,0634;0,054;0,0378;0,0347;0,024
243,4;0,3767;0,1305;0,0624;0,0537;0,0374;0,0345;0,0236
243,6;0,3668;0,1294;0,062;0,0532;0,0379;0,0342;0,0233
243,8;0,3575;0,1286;0,0621;0,053;0,0382;0,0339;0,0233
244;0,3496;0,1276;0,0619;0,0539;0,0382;0,0341;0,0234
244,2;0,3438;0,1267;0,0629;0,0541;0,0389;0,0349;0,0245
244,4;0,3389;0,1259;0,0634;0,0533;0,0386;0,0351;0,0239
244,6;0,3343;0,1253;0,0641;0,053;0,0388;0,0348;0,0235
244,8;0,33;0,1262;0,0641;0,0536;0,0385;0,0357;0,0244
245;0,3265;0,1267;0,0635;0,0534;0,0375;0,0348;0,024
245,2;0,3224;0,1253;0,0629;0,053;0,0368;0,0333;0,0227
245,4;0,3193;0,1248;0,0626;0,0535;0,0369;0,0331;0,0226
245,6;0,3177;0,1256;0,063;0,0539;0,0369;0,034;0,0227
245,8;0,3158;0,1264;0,0631;0,0536;0,0365;0,0344;0,0219
246;0,3144;0,1269;0,0637;0,053;0,0371;0,0345;0,0219
246,2;0,3127;0,1268;0,0639;0,0523;0,0374;0,0347;0,0227
246,4;0,3111;0,1255;0,0636;0,0518;0,0374;0,0344;0,0229
246,6;0,3102;0,1233;0,0632;0,0514;0,0382;0,0336;0,0233
246,8;0,3085;0,1235;0,0631;0,0517;0,0382;0,0339;0,0237
247;0,3062;0,1244;0,0625;0,0514;0,0364;0,0342;0,0218
247,2;0,3039;0,1232;0,0617;0,0507;0,0351;0,0332;0,0207
247,4;0,3027;0,1209;0,0615;0,0498;0,0358;0,0321;0,022
247,6;0,3009;0,1211;0,0601;0,0505;0,0355;0,0337;0,022
247,8;0,2985;0,1203;0,058;0,0501;0,034;0,0339;0,0203
248;0,2971;0,1182;0,058;0,0484;0,0341;0,0327;0,0202
248,2;0,2954;0,1174;0,0574;0,0493;0,0343;0,0322;0,0208
248,4;0,2943;0,1157;0,0561;0,048;0,033;0,031;0,0217
248,6;0,2926;0,1144;0,0562;0,0471;0,0337;0,0307;0,0217
248,8;0,2907;0,1129;0,0565;0,0472;0,0352;0,0311;0,0219
249;0,2876;0,1107;0,055;0,0459;0,0342;0,0309;0,0219
249,2;0,2844;0,109;0,0541;0,0453;0,0332;0,0307;0,0211
249,4;0,282;0,1075;0,0534;0,0446;0,0329;0,0301;0,0206
249,6;0,2787;0,1058;0,0526;0,0443;0,0329;0,0299;0,0205
249,8;0,2756;0,1045;0,0516;0,0448;0,0323;0,0311;0,0211
250;0,2736;0,103;0,0509;0,0445;0,0323;0,0316;0,022
250,2;0,2709;0,1008;0,0507;0,0438;0,0318;0,0309;0,0213
250,4;0,2667;0,0976;0,0491;0,0428;0,0306;0,0297;0,0201
250,6;0,2623;0,096;0,0482;0,0424;0,0309;0,0296;0,0207
250,8;0,2586;0,0947;0,0474;0,0418;0,0307;0,0299;0,0205
251;0,2531;0,0929;0,0455;0,0414;0,03;0,0298;0,019
251,2;0,2479;0,0906;0,0454;0,041;0,0298;0,0294;0,0184
251,4;0,2438;0,0885;0,0446;0,0406;0,0298;0,0291;0,0191
251,6;0,2399;0,0875;0,0437;0,0408;0,0296;0,0289;0,0197
251,8;0,2354;0,0848;0,044;0,0397;0,0297;0,0281;0,0201
252;0,2293;0,082;0,0435;0,0387;0,0295;0,0279;0,0195
252,2;0,2252;0,0805;0,0427;0,0388;0,0301;0,0285;0,0197
252,4;0,2213;0,0796;0,0421;0,0389;0,0298;0,0286;0,0188
252,6;0,2158;0,0784;0,0415;0,0385;0,0283;0,0283;0,018
252,8;0,2094;0,0764;0,0405;0,0382;0,0274;0,0287;0,0181
253;0,2051;0,0745;0,0404;0,0377;0,0279;0,0286;0,0182
253,2;0,1994;0,0723;0,0395;0,0377;0,0288;0,0281;0,018
253,4;0,1942;0,0702;0,039;0,0376;0,0289;0,0278;0,018
253,6;0,1899;0,0684;0,0384;0,0376;0,0284;0,0276;0,0183
253,8;0,1846;0,0665;0,0378;0,0375;0,0278;0,0276;0,0181
254;0,1792;0,0648;0,0374;0,0365;0,0279;0,028;0,018
254,2;0,1744;0,0638;0,0372;0,0362;0,0281;0,0275;0,0184
254,4;0,17;0,062;0,0368;0,0355;0,028;0,027;0,0183
254,6;0,1654;0,0604;0,0355;0,0362;0,0273;0,0274;0,0179
254,8;0,162;0,0599;0,0351;0,0364;0,0271;0,0268;0,0181
255;0,1569;0,0583;0,0359;0,0343;0,0275;0,0269;0,0183
255,2;0,153;0,057;0,0361;0,0337;0,0279;0,0263;0,0191
255,4;0,149;0,0564;0,0349;0,0339;0,0273;0,0266;0,0188
255,6;0,1449;0,0556;0,0344;0,0341;0,0265;0,0271;0,0177
255,8;0,1419;0,0548;0,0341;0,0349;0,0258;0,0268;0,017
256;0,1395;0,0543;0,0335;0,0346;0,0257;0,0262;0,0168
256,2;0,1369;0,0538;0,0336;0,0338;0,0262;0,0272;0,0171
256,4;0,1335;0,0525;0,0337;0,034;0,0261;0,0275;0,0175
256,6;0,132;0,0513;0,0337;0,0334;0,0264;0,0255;0,0176
256,8;0,1284;0,0503;0,0325;0,0315;0,0262;0,0246;0,0166
257;0,1254;0,051;0,0314;0,0327;0,0259;0,0261;0,0167
257,2;0,1242;0,0513;0,0322;0,0336;0,0254;0,0265;0,0173
257,4;0,1223;0,0493;0,0324;0,0323;0,025;0,0252;0,0171
257,6;0,1203;0,0491;0,0321;0,0325;0,0253;0,0256;0,017
257,8;0,1191;0,0495;0,0324;0,0328;0,0256;0,0258;0,017
258;0,1176;0,0492;0,0327;0,032;0,0252;0,0249;0,0165
258,2;0,1151;0,048;0,0323;0,0314;0,0249;0,0244;0,0158
258,4;0,1127;0,0472;0,0315;0,0312;0,0256;0,0246;0,0162
258,6;0,1109;0,0472;0,0309;0,0313;0,0254;0,0248;0,0166
258,8;0,1098;0,0468;0,0309;0,0314;0,0258;0,0247;0,0166
259;0,1078;0,0463;0,0307;0,0308;0,0255;0,0246;0,0161
259,2;0,1054;0,0459;0,0304;0,0303;0,0238;0,0245;0,0159
259,4;0,1038;0,0457;0,031;0,0304;0,0245;0,0243;0,0158
259,6;0,1037;0,046;0,0316;0,0314;0,0249;0,0251;0,0157
259,8;0,1026;0,0454;0,0317;0,0309;0,0242;0,0255;0,0161
260;0,1014;0,0456;0,0316;0,0311;0,0247;0,0257;0,017
260,2;0,1007;0,0461;0,031;0,0313;0,0249;0,0253;0,0169
260,4;0,0996;0,0453;0,0306;0,0304;0,0252;0,0249;0,0165
260,6;0,0989;0,0445;0,0306;0,0302;0,025;0,024;0,0162
260,8;0,0975;0,0442;0,03;0,0304;0,0248;0,0237;0,015
261;0,0954;0,0432;0,0298;0,03;0,0243;0,024;0,0147
261,2;0,0939;0,0427;0,0299;0,0292;0,0236;0,0238;0,0153
261,4;0,0937;0,043;0,0302;0,0288;0,024;0,0239;0,016
261,6;0,0941;0,0433;0,0304;0,0289;0,0244;0,0236;0,0166
261,8;0,0928;0,0429;0,0299;0,0294;0,0235;0,0236;0,0157
262;0,0916;0,0429;0,0298;0,029;0,0235;0,0232;0,015
262,2;0,0915;0,043;0,0298;0,0293;0,0237;0,0228;0,0144
262,4;0,0912;0,0428;0,0301;0,0296;0,0232;0,0236;0,0142
262,6;0,0901;0,0425;0,0297;0,0288;0,0231;0,0235;0,0146
262,8;0,0894;0,0425;0,0293;0,0288;0,0225;0,0232;0,0146
263;0,0891;0,0425;0,0293;0,0286;0,022;0,0228;0,0149
263,2;0,0883;0,0415;0,0293;0,0278;0,0223;0,0218;0,0149
263,4;0,0879;0,0413;0,0296;0,0281;0,0223;0,022;0,0147
263,6;0,0874;0,0414;0,0287;0,0277;0,0213;0,0221;0,0146
263,8;0,0869;0,0411;0,0285;0,0274;0,022;0,0224;0,0147
264;0,0867;0,0414;0,0289;0,0278;0,023;0,0229;0,0148
264,2;0,0866;0,0405;0,0283;0,0272;0,0226;0,0218;0,015
264,4;0,0868;0,0403;0,0279;0,0272;0,0229;0,022;0,0154
264,6;0,0863;0,0404;0,0282;0,0274;0,0231;0,0226;0,0157
264,8;0,0853;0,0407;0,0286;0,0279;0,0227;0,0225;0,0156
265;0,0847;0,0413;0,0281;0,028;0,0222;0,0229;0,0151
265,2;0,0837;0,0406;0,0279;0,027;0,0218;0,0235;0,014
265,4;0,0836;0,0402;0,0277;0,0274;0,022;0,023;0,0137
265,6;0,0844;0,0397;0,0276;0,0275;0,0225;0,0213;0,0145
265,8;0,0836;0,0388;0,028;0,0263;0,022;0,0204;0,0145
266;0,0837;0,0394;0,0283;0,0262;0,0216;0,0213;0,0138
266,2;0,0831;0,0394;0,0284;0,0265;0,0216;0,0217;0,014
266,4;0,0818;0,039;0,0281;0,0264;0,0212;0,0215;0,0143
266,6;0,0817;0,0395;0,0275;0,0263;0,021;0,0208;0,0141
266,8;0,0811;0,0388;0,0272;0,0263;0,0215;0,0203;0,0136
267;0,0812;0,0386;0,0279;0,0262;0,0219;0,0207;0,0134
267,2;0,0815;0,039;0,028;0,0259;0,0216;0,0206;0,0149
267,4;0,0804;0,0393;0,0268;0,0258;0,021;0,0213;0,0144
267,6;0,0796;0,039;0,0264;0,0256;0,0212;0,0216;0,0129
267,8;0,0791;0,039;0,0258;0,0258;0,0213;0,0211;0,0127
268;0,0786;0,0385;0,026;0,0263;0,021;0,0207;0,0131
268,2;0,0784;0,0375;0,0266;0,0259;0,0207;0,0199;0,0137
268,4;0,0791;0,0383;0,0265;0,0253;0,021;0,0205;0,0141
268,6;0,0786;0,0376;0,0264;0,0249;0,0207;0,0204;0,0133
268,8;0,0776;0,0368;0,0259;0,0245;0,0202;0,0197;0,0131
269;0,0777;0,0377;0,0249;0,0246;0,0202;0,0201;0,0126
269,2;0,0779;0,0382;0,0254;0,0249;0,0204;0,0207;0,013
269,4;0,0778;0,0386;0,0257;0,0249;0,0201;0,0213;0,0132
269,6;0,0769;0,0372;0,0256;0,0241;0,0199;0,0204;0,0127
269,8;0,0761;0,0365;0,0255;0,0238;0,0195;0,0189;0,0126
270;0,0765;0,037;0,0254;0,0242;0,0192;0,0191;0,0133
270,2;0,0752;0,0366;0,0256;0,0239;0,0191;0,0193;0,0131
270,4;0,0742;0,0362;0,0249;0,0238;0,0191;0,0194;0,012
270,6;0,0744;0,0356;0,0243;0,0237;0,02;0,0195;0,0121
270,8;0,0748;0,0355;0,0248;0,0233;0,0206;0,0188;0,0125
271;0,0749;0,0353;0,0249;0,0233;0,0204;0,0191;0,0127
271,2;0,0746;0,0354;0,025;0,0236;0,0207;0,0202;0,013
271,4;0,0738;0,0358;0,0251;0,023;0,0206;0,0192;0,0128
271,6;0,0724;0,0361;0,0248;0,023;0,0199;0,0192;0,0124
271,8;0,0728;0,0361;0,0245;0,0234;0,0195;0,0201;0,012
272;0,0734;0,0355;0,0237;0,0233;0,0195;0,0195;0,0118
272,2;0,0732;0,0351;0,0241;0,0235;0,0197;0,019;0,0126
272,4;0,073;0,0344;0,0245;0,0227;0,0198;0,0186;0,0131
272,6;0,0727;0,0338;0,0239;0,0219;0,02;0,0184;0,0125
272,8;0,0724;0,0346;0,0245;0,0226;0,0201;0,0189;0,0131
273;0,0719;0,0349;0,0248;0,0225;0,0206;0,0192;0,0134
273,2;0,0719;0,0345;0,0243;0,0219;0,0208;0,0186;0,0131
273,4;0,0712;0,0339;0,0237;0,0227;0,0199;0,0186;0,0134
