bond length;gs energy;ex energy
1,90765;-2377,306304;-2377,129135
2,00765;-2377,334707;-2377,149528
2,10765;-2377,352236;-2377,160186
2,20765;-2377,362376;-2377,164676
2,30765;-2377,367319;-2377,165483
2,40765;-2377,368667;-2377,164068
2,50765;-2377,367575;-2377,161295
2,60765;-2377,364803;-2377,157802
2,70765;-2377,360715;-2377,154139
2,80765;-2377,355664;-2377,150906
2,90765;-2377,349763;-2377,148391
