wavelength;s2.3-s1.3;s4.3-s3.3
811,3;-8,00E-04;0,0016
811,2;-0,0006;0,0017
811,1;-8,00E-04;0,0017
811;-0,0005;0,0017
810,9;-5,00E-04;0,0017
810,8;-0,0009;0,0014
810,7;-1,10E-03;0,0014
810,6;-0,0013;0,0014
810,5;-1,40E-03;0,0012
810,4;-0,0012;0,0013
810,3;-1,10E-03;0,0012
810,2;-0,0011;0,0009
810,1;-7,00E-04;0,0011
810;-0,0006;0,0011
809,9;-6,00E-04;0,001
809,8;-0,0005;0,0012
809,7;-6,00E-04;0,0013
809,6;-0,0007;0,0013
809,5;-9,00E-04;0,0012
809,4;-0,0012;0,001
809,3;-1,20E-03;0,0008
809,2;-0,0011;0,0011
809,1;-1,20E-03;0,001
809;-0,001;0,0015
808,9;-1,10E-03;0,0015
808,8;-0,0012;0,0013
808,7;-1,30E-03;0,0011
808,6;-0,0009;0,0011
808,5;-1,00E-03;0,001
808,4;-0,0008;0,0011
808,3;-1,00E-03;0,0011
808,2;-0,0011;0,0009
808,1;-1,00E-03;0,0009
808;-0,0011;0,0011
807,9;-1,00E-03;0,0009
807,8;-0,0011;0,0013
807,7;-1,00E-03;0,0012
807,6;-0,001;0,0012
807,5;-1,00E-03;0,0012
807,4;-0,001;0,001
807,3;-1,10E-03;0,0011
807,2;-0,0008;0,0013
807,1;-7,00E-04;0,0012
807;-0,0004;0,0014
806,9;-7,00E-04;0,0011
806,8;-0,001;0,0011
806,7;-1,50E-03;0,0012
806,6;-0,0015;0,0012
806,5;-1,50E-03;0,0012
806,4;-0,0013;0,0012
806,3;-1,10E-03;0,0013
806,2;-0,0012;0,0012
806,1;-7,00E-04;0,0015
806;-0,0008;0,0013
805,9;-8,00E-04;0,0012
805,8;-0,0007;0,001
805,7;-1,10E-03;0,0008
805,6;-0,001;0,0009
805,5;-1,30E-03;0,0006
805,4;-0,0011;0,0008
805,3;-9,00E-04;0,001
805,2;-0,0009;0,0008
805,1;-6,00E-04;0,001
805;-0,0008;0,0011
804,9;-1,00E-03;0,0009
804,8;-0,0014;0,0009
804,7;-1,30E-03;0,001
804,6;-0,0013;0,001
804,5;-9,00E-04;0,0013
804,4;-0,0006;0,0013
804,3;-5,00E-04;0,0012
804,2;-0,0005;0,0013
804,1;-8,00E-04;0,0011
804;-0,0008;0,0013
803,9;-1,00E-03;0,0013
803,8;-0,001;0,0014
803,7;-7,00E-04;0,0015
803,6;-0,0008;0,0014
803,5;-7,00E-04;0,0017
803,4;-0,001;0,0014
803,3;-1,50E-03;0,0012
803,2;-0,0011;0,0013
803,1;-1,30E-03;0,001
803;-0,001;0,0012
802,9;-8,00E-04;0,0012
802,8;-0,001;0,0011
802,7;-9,00E-04;0,0011
802,6;-0,0012;0,001
802,5;-1,40E-03;0,0008
802,4;-0,0014;0,0009
802,3;-1,30E-03;0,0012
802,2;-0,001;0,0014
802,1;-1,10E-03;0,0013
802;-0,0012;0,0012
801,9;-1,40E-03;0,001
801,8;-0,0015;0,0007
801,7;-1,50E-03;0,0005
801,6;-0,0012;0,0007
801,5;-1,20E-03;0,0004
801,4;-0,0011;0,0007
801,3;-1,00E-03;0,0009
801,2;-0,0012;0,0011
801,1;-1,20E-03;0,0012
801;-0,0009;0,0014
800,9;-1,20E-03;0,0011
800,8;-0,0013;0,0011
800,7;-1,30E-03;0,001
800,6;-0,0012;0,0012
800,5;-1,10E-03;0,0014
800,4;-0,0008;0,0014
800,3;-8,00E-04;0,0016
800,2;-0,0008;0,0016
800,1;-8,00E-04;0,0014
800;-0,0009;0,0014
799,9;-1,00E-03;0,0014
799,8;-0,0011;0,0014
799,7;-1,20E-03;0,0013
799,6;-0,0008;0,0015
799,5;-3,00E-04;0,0018
799,4;-0,0003;0,0018
799,3;-6,00E-04;0,0016
799,2;-0,0008;0,0015
799,1;-9,00E-04;0,0012
799;-0,001;0,001
798,9;-7,00E-04;0,0012
798,8;-0,0006;0,0013
798,7;-7,00E-04;0,0016
798,6;-0,0007;0,0016
798,5;-7,00E-04;0,0015
798,4;-0,0011;0,0013
798,3;-1,30E-03;0,0012
798,2;-0,0015;0,0012
798,1;-1,20E-03;0,0011
798;-0,0012;0,0012
797,9;-8,00E-04;0,0012
797,8;-0,0005;0,0014
797,7;-7,00E-04;0,0012
797,6;-0,0006;0,0013
797,5;-1,00E-03;0,0012
797,4;-0,0012;0,0012
797,3;-1,30E-03;0,0013
797,2;-0,0013;0,0012
797,1;-1,20E-03;0,0012
797;-0,001;0,0012
796,9;-8,00E-04;0,0012
796,8;-0,0006;0,0013
796,7;-7,00E-04;0,0015
796,6;-0,0008;0,0014
796,5;-8,00E-04;0,0015
796,4;-0,001;0,0014
796,3;-1,20E-03;0,0011
796,2;-0,0009;0,0013
796,1;-1,10E-03;0,0011
796;-0,0009;0,0012
795,9;-1,20E-03;0,0011
795,8;-0,0012;0,0012
795,7;-1,30E-03;0,0012
795,6;-0,001;0,0015
795,5;-1,10E-03;0,0015
795,4;-0,0008;0,0014
795,3;-7,00E-04;0,0013
795,2;-0,0007;0,0011
795,1;-4,00E-04;0,001
795;-0,0005;0,0012
794,9;-4,00E-04;0,0012
794,8;-0,0004;0,0013
794,7;-3,00E-04;0,0014
794,6;-0,0004;0,0013
794,5;-7,00E-04;0,0016
794,4;-0,0009;0,0016
794,3;-1,20E-03;0,0016
794,2;-0,0011;0,0014
794,1;-1,00E-03;0,0011
794;-0,0006;0,0016
793,9;-6,00E-04;0,0016
793,8;-0,0006;0,0015
793,7;-7,00E-04;0,0016
793,6;-0,0008;0,0015
793,5;-8,00E-04;0,0013
793,4;-0,0011;0,0014
793,3;-1,10E-03;0,0013
793,2;-0,0011;0,0011
793,1;-9,00E-04;0,0013
793;-0,0007;0,0015
792,9;-1,00E-03;0,0013
792,8;-0,001;0,0013
792,7;-9,00E-04;0,0013
792,6;-0,0013;0,001
792,5;-1,10E-03;0,0011
792,4;-0,0011;0,0011
792,3;-1,10E-03;0,001
792,2;-0,0009;0,0012
792,1;-1,00E-03;0,0013
792;-0,0007;0,0015
791,9;-8,00E-04;0,0014
791,8;-0,0009;0,0013
791,7;-1,00E-03;0,0014
791,6;-0,0011;0,0014
791,5;-1,10E-03;0,0014
791,4;-0,0012;0,0011
791,3;-9,00E-04;0,0011
791,2;-0,0008;0,001
791,1;-1,00E-03;0,001
791;-0,0009;0,0012
790,9;-1,00E-03;0,0013
790,8;-0,0013;0,0012
790,7;-1,00E-03;0,0014
790,6;-0,0012;0,0013
790,5;-1,10E-03;0,0014
790,4;-0,0007;0,0015
790,3;-7,00E-04;0,0013
790,2;-0,0007;0,0014
790,1;-7,00E-04;0,0014
790;-0,0011;0,001
789,9;-1,30E-03;0,0011
789,8;-0,0014;0,001
789,7;-1,30E-03;0,001
789,6;-0,001;0,0014
789,5;-1,00E-03;0,0012
789,4;-0,001;0,0012
789,3;-1,00E-03;0,001
789,2;-0,0012;0,0009
789,1;-1,20E-03;0,0011
789;-0,001;0,0013
788,9;-1,00E-03;0,0013
788,8;-0,001;0,0013
788,7;-1,00E-03;0,0013
788,6;-0,0009;0,0013
788,5;-1,20E-03;0,0011
788,4;-0,0013;0,0011
788,3;-1,50E-03;0,001
788,2;-0,0017;0,0008
788,1;-1,30E-03;0,001
788;-0,0014;0,0011
787,9;-1,00E-03;0,0013
787,8;-0,0009;0,0014
787,7;-1,00E-03;0,0016
787,6;-0,0009;0,0016
787,5;-1,00E-03;0,0015
787,4;-0,0009;0,0014
787,3;-8,00E-04;0,0013
787,2;-0,0008;0,0012
787,1;-7,00E-04;0,0013
787;-0,0011;0,0011
786,9;-1,00E-03;0,0012
786,8;-0,0014;0,0009
786,7;-1,40E-03;0,001
786,6;-0,0011;0,001
786,5;-1,10E-03;0,0011
786,4;-0,0008;0,0014
786,3;-9,00E-04;0,0013
786,2;-0,001;0,0014
786,1;-1,00E-03;0,0014
786;-0,001;0,001
785,9;-1,00E-03;0,0012
785,8;-0,0009;0,0012
785,7;-1,10E-03;0,0013
785,6;-0,0012;0,0017
785,5;-9,00E-04;0,0018
785,4;-0,0009;0,0017
785,3;-7,00E-04;0,0017
785,2;-0,0007;0,0015
785,1;-6,00E-04;0,0017
785;-0,0008;0,0017
784,9;-7,00E-04;0,0017
784,8;-0,0007;0,0017
784,7;-7,00E-04;0,0016
784,6;-0,0007;0,0014
784,5;-8,00E-04;0,0015
784,4;-0,0009;0,0014
784,3;-1,10E-03;0,0011
784,2;-0,001;0,0011
784,1;-9,00E-04;0,0013
784;-0,0008;0,0012
783,9;-9,00E-04;0,0013
783,8;-0,0012;0,0012
783,7;-9,00E-04;0,0014
783,6;-0,0012;0,0013
783,5;-1,30E-03;0,0014
783,4;-0,0012;0,0015
783,3;-1,20E-03;0,0014
783,2;-0,001;0,0016
783,1;-9,00E-04;0,0017
783;-0,0011;0,0018
782,9;-1,20E-03;0,0015
782,8;-0,0012;0,0015
782,7;-1,30E-03;0,0012
782,6;-0,0013;0,0011
782,5;-1,10E-03;0,0012
782,4;-0,0011;0,0015
782,3;-1,00E-03;0,0016
782,2;-0,0012;0,0015
782,1;-8,00E-04;0,0019
782;-0,0008;0,0018
781,9;-9,00E-04;0,0018
781,8;-0,0005;0,0021
781,7;-9,00E-04;0,0019
781,6;-0,001;0,0017
781,5;-9,00E-04;0,0017
781,4;-0,001;0,0016
781,3;-1,00E-03;0,0017
781,2;-0,0011;0,0014
781,1;-1,10E-03;0,0013
781;-0,0012;0,0013
780,9;-1,20E-03;0,0011
780,8;-0,001;0,0015
780,7;-9,00E-04;0,0016
780,6;-0,0009;0,0016
780,5;-1,10E-03;0,0015
780,4;-0,0012;0,0014
780,3;-1,50E-03;0,0011
780,2;-0,0014;0,0011
780,1;-1,20E-03;0,001
780;-0,0012;0,0008
779,9;-9,00E-04;0,0012
779,8;-0,001;0,0011
779,7;-1,00E-03;0,0013
779,6;-0,0007;0,0016
779,5;-3,00E-04;0,0018
779,4;-0,0006;0,0016
779,3;-7,00E-04;0,0018
779,2;-0,0009;0,0015
779,1;-1,30E-03;0,0012
779;-0,0012;0,0012
778,9;-1,10E-03;0,0013
778,8;-0,0009;0,0016
778,7;-1,10E-03;0,0016
778,6;-0,001;0,0016
778,5;-8,00E-04;0,0014
778,4;-0,0008;0,0016
778,3;-8,00E-04;0,0013
778,2;-0,0008;0,0012
778,1;-1,00E-03;0,001
778;-0,0009;0,001
777,9;-7,00E-04;0,0013
777,8;-0,0008;0,0014
777,7;-8,00E-04;0,0016
777,6;-0,0007;0,0017
777,5;-9,00E-04;0,0016
777,4;-0,0008;0,0016
777,3;-8,00E-04;0,0016
777,2;-0,0009;0,0014
777,1;-8,00E-04;0,0015
777;-0,0008;0,0015
776,9;-1,00E-03;0,0015
776,8;-0,0012;0,0013
776,7;-1,20E-03;0,0013
776,6;-0,0011;0,0016
776,5;-1,00E-03;0,0017
776,4;-0,0007;0,0019
776,3;-1,10E-03;0,0018
776,2;-0,0013;0,0017
776,1;-1,20E-03;0,0016
776;-0,0012;0,0015
775,9;-1,00E-03;0,0016
775,8;-0,001;0,0013
775,7;-1,20E-03;0,0014
775,6;-0,0011;0,0015
775,5;-1,00E-03;0,0014
775,4;-0,0008;0,0015
775,3;-5,00E-04;0,0013
775,2;-0,0005;0,0011
775,1;-4,00E-04;0,0012
775;-0,0006;0,0012
774,9;-8,00E-04;0,0015
774,8;-0,0009;0,0014
774,7;-1,20E-03;0,0014
774,6;-0,001;0,0013
774,5;-9,00E-04;0,0014
774,4;-0,001;0,0016
774,3;-9,00E-04;0,0015
774,2;-0,001;0,0017
774,1;-1,10E-03;0,0015
774;-0,001;0,0014
773,9;-7,00E-04;0,0017
773,8;-0,0008;0,0017
773,7;-4,00E-04;0,002
773,6;-0,0004;0,0019
773,5;-7,00E-04;0,0016
773,4;-0,0006;0,0015
773,3;-8,00E-04;0,0014
773,2;-0,0007;0,0015
773,1;-6,00E-04;0,0017
773;-0,0007;0,0018
772,9;-8,00E-04;0,0016
772,8;-0,0008;0,0016
772,7;-7,00E-04;0,0017
772,6;-0,0007;0,0017
772,5;-1,00E-03;0,0015
772,4;-0,0009;0,0015
772,3;-1,00E-03;0,0016
772,2;-0,0014;0,0014
772,1;-1,00E-03;0,0016
772;-0,0011;0,0015
771,9;-1,30E-03;0,0012
771,8;-0,001;0,0016
771,7;-1,00E-03;0,0017
771,6;-0,0009;0,0018
771,5;-6,00E-04;0,0021
771,4;-0,0007;0,0019
771,3;-7,00E-04;0,0018
771,2;-0,0005;0,0019
771,1;-5,00E-04;0,0018
771;-0,0005;0,0019
770,9;-6,00E-04;0,0019
770,8;-0,0008;0,0019
770,7;-1,00E-03;0,0019
770,6;-0,0008;0,0018
770,5;-8,00E-04;0,0017
770,4;-0,0007;0,0016
770,3;-7,00E-04;0,0014
770,2;-0,0009;0,0012
770,1;-1,00E-03;0,0012
770;-0,0012;0,0011
769,9;-1,30E-03;0,0012
769,8;-0,0014;0,0012
769,7;-1,20E-03;0,0013
769,6;-0,001;0,0015
769,5;-9,00E-04;0,0015
769,4;-0,0006;0,0017
769,3;-7,00E-04;0,0017
769,2;-0,0006;0,0017
769,1;-9,00E-04;0,0015
769;-0,0008;0,0016
768,9;-9,00E-04;0,0013
768,8;-0,0008;0,0013
768,7;-9,00E-04;0,0013
768,6;-0,0011;0,0013
768,5;-8,00E-04;0,0013
768,4;-0,0007;0,0016
768,3;-4,00E-04;0,0016
768,2;-0,0005;0,0015
768,1;-6,00E-04;0,0013
768;-0,0008;0,0012
767,9;-9,00E-04;0,001
767,8;-0,0008;0,0013
767,7;-8,00E-04;0,0014
767,6;-0,0009;0,0014
767,5;-9,00E-04;0,0016
767,4;-0,001;0,0013
767,3;-9,00E-04;0,0013
767,2;-0,0007;0,0013
767,1;-6,00E-04;0,0014
767;-0,0006;0,0012
766,9;-8,00E-04;0,0011
766,8;-0,0009;0,0013
766,7;-1,00E-03;0,0012
766,6;-0,0011;0,0013
766,5;-1,10E-03;0,0016
766,4;-0,001;0,0016
766,3;-9,00E-04;0,0016
766,2;-0,0008;0,0018
766,1;-7,00E-04;0,0016
766;-0,0007;0,0017
765,9;-8,00E-04;0,0016
765,8;-0,0008;0,0015
765,7;-8,00E-04;0,0015
765,6;-0,0011;0,0012
765,5;-1,20E-03;0,0013
765,4;-0,0015;0,0013
765,3;-1,40E-03;0,0015
765,2;-0,0014;0,0015
765,1;-1,10E-03;0,0014
765;-0,001;0,0014
764,9;-9,00E-04;0,0014
764,8;-0,0009;0,0014
764,7;-1,00E-03;0,0012
764,6;-0,0008;0,0013
764,5;-1,10E-03;0,0011
764,4;-0,0013;0,0012
764,3;-1,20E-03;0,0013
764,2;-0,001;0,0016
764,1;-5,00E-04;0,0017
764;-0,0004;0,0017
763,9;-6,00E-04;0,0016
763,8;-0,0007;0,0016
763,7;-8,00E-04;0,0016
763,6;-0,0008;0,0018
763,5;-9,00E-04;0,0017
763,4;-0,001;0,0016
763,3;-1,10E-03;0,0016
763,2;-0,001;0,0016
763,1;-1,00E-03;0,0014
763;-0,001;0,0015
762,9;-1,20E-03;0,0015
762,8;-0,0011;0,0014
762,7;-1,00E-03;0,0014
762,6;-0,0011;0,0013
762,5;-1,00E-03;0,0012
762,4;-0,001;0,0012
762,3;-1,00E-03;0,0012
762,2;-0,0008;0,0014
762,1;-8,00E-04;0,0013
762;-0,0008;0,0013
761,9;-9,00E-04;0,0013
761,8;-0,0011;0,0012
761,7;-9,00E-04;0,0014
761,6;-0,0008;0,0016
761,5;-9,00E-04;0,0017
761,4;-0,001;0,0018
761,3;-1,00E-03;0,0017
761,2;-0,0011;0,0016
761,1;-9,00E-04;0,0018
761;-0,0008;0,0018
760,9;-1,10E-03;0,0018
760,8;-0,0008;0,0018
760,7;-7,00E-04;0,0017
760,6;-0,0009;0,0016
760,5;-8,00E-04;0,0014
760,4;-0,0008;0,0015
760,3;-9,00E-04;0,0014
760,2;-0,0008;0,0014
760,1;4,00E-04;0,0016
760;0,0004;0,0018
759,9;7,00E-04;0,0021
759,8;0,0005;0,0019
759,7;-4,00E-04;0,002
759,6;-0,0006;0,0017
759,5;-5,00E-04;0,0016
759,4;-0,0005;0,0019
759,3;-7,00E-04;0,0017
759,2;-0,0008;0,0018
759,1;-9,00E-04;0,0018
759;-0,0007;0,0016
758,9;-6,00E-04;0,0018
758,8;-0,0006;0,0015
758,7;-8,00E-04;0,0014
758,6;-0,0008;0,0013
758,5;-7,00E-04;0,0014
758,4;-0,0005;0,0016
758,3;-7,00E-04;0,0015
758,2;-0,0005;0,0016
758,1;-8,00E-04;0,0015
758;-0,0007;0,0018
757,9;-8,00E-04;0,0017
757,8;-0,0011;0,0016
757,7;-8,00E-04;0,0016
757,6;-0,001;0,0013
757,5;-8,00E-04;0,0016
757,4;-0,0009;0,0017
757,3;-8,00E-04;0,002
757,2;-0,0009;0,0017
757,1;-9,00E-04;0,0015
757;-0,0005;0,0016
756,9;-6,00E-04;0,0015
756,8;-0,0006;0,0015
756,7;-8,00E-04;0,0014
756,6;-0,001;0,0011
756,5;-1,00E-03;0,001
756,4;-0,001;0,001
756,3;-9,00E-04;0,0011
756,2;-0,0008;0,0015
756,1;-7,00E-04;0,0013
756;-0,0005;0,0016
755,9;-5,00E-04;0,0015
755,8;-0,0005;0,0015
755,7;-5,00E-04;0,0014
755,6;-0,0005;0,0016
755,5;-8,00E-04;0,0014
755,4;-0,0008;0,0014
755,3;-9,00E-04;0,0012
755,2;-0,0007;0,0014
755,1;-8,00E-04;0,0014
755;-0,0007;0,0015
754,9;-5,00E-04;0,0017
754,8;-0,0007;0,0015
754,7;-8,00E-04;0,0015
754,6;-0,0009;0,0013
754,5;-1,00E-03;0,0011
754,4;-0,0011;0,0011
754,3;-1,10E-03;0,0011
754,2;-0,0011;0,0012
754,1;-1,00E-03;0,0015
754;-0,0009;0,0017
753,9;-9,00E-04;0,0017
753,8;-0,0009;0,0017
753,7;-9,00E-04;0,0015
753,6;-0,0009;0,0014
753,5;-8,00E-04;0,0013
753,4;-0,0007;0,0015
753,3;-7,00E-04;0,0013
753,2;-0,0006;0,0014
753,1;-6,00E-04;0,0013
753;-0,0007;0,0011
752,9;-6,00E-04;0,0012
752,8;-0,0007;0,0013
752,7;-9,00E-04;0,0013
752,6;-0,001;0,0013
752,5;-9,00E-04;0,0014
752,4;-0,0009;0,0015
752,3;-7,00E-04;0,0013
752,2;-0,0007;0,0012
752,1;-1,00E-03;0,001
752;-0,0011;0,0009
751,9;-8,00E-04;0,0012
751,8;-0,0009;0,0012
751,7;-7,00E-04;0,0013
751,6;-0,0006;0,0014
751,5;-8,00E-04;0,0012
751,4;-0,0007;0,0012
751,3;-8,00E-04;0,0011
751,2;-0,0011;0,0012
751,1;-9,00E-04;0,0013
751;-0,001;0,0015
750,9;-8,00E-04;0,0016
750,8;-0,0007;0,0013
750,7;-8,00E-04;0,0012
750,6;-0,0007;0,001
750,5;-7,00E-04;0,0011
750,4;-0,0007;0,0012
750,3;-7,00E-04;0,0014
750,2;-0,0009;0,0013
750,1;-1,20E-03;0,0013
750;-0,001;0,0013
749,9;-1,20E-03;0,0012
749,8;-0,0011;0,0012
749,7;-8,00E-04;0,0014
749,6;-0,0009;0,0012
749,5;-7,00E-04;0,0013
749,4;-0,0008;0,0015
749,3;-9,00E-04;0,0013
749,2;-0,0009;0,0016
749,1;-1,00E-03;0,0015
749;-0,001;0,0015
748,9;-1,10E-03;0,0013
748,8;-0,0009;0,0012
748,7;-8,00E-04;0,0012
748,6;-0,0009;0,0009
748,5;-6,00E-04;0,0012
748,4;-0,0007;0,0012
748,3;-9,00E-04;0,0013
748,2;-0,0006;0,0016
748,1;-6,00E-04;0,0016
748;-0,0006;0,0017
747,9;-8,00E-04;0,0016
747,8;-0,0006;0,0015
747,7;-8,00E-04;0,0014
747,6;-0,0008;0,0015
747,5;-6,00E-04;0,0015
747,4;-0,0009;0,0013
747,3;-9,00E-04;0,0013
747,2;-0,001;0,0012
747,1;-1,20E-03;0,0012
747;-0,0011;0,0014
746,9;-1,00E-03;0,0014
746,8;-0,0009;0,0013
746,7;-8,00E-04;0,0013
746,6;-0,0009;0,0012
746,5;-8,00E-04;0,0014
746,4;-0,0009;0,0013
746,3;-1,10E-03;0,0013
746,2;-0,0011;0,0013
746,1;-1,30E-03;0,001
746;-0,0012;0,0012
745,9;-1,10E-03;0,0012
745,8;-0,0011;0,0012
745,7;-1,10E-03;0,0012
745,6;-0,0011;0,0011
745,5;-1,20E-03;0,0011
745,4;-0,0012;0,001
745,3;-9,00E-04;0,0011
745,2;-0,0008;0,0013
745,1;-8,00E-04;0,0012
745;-0,0008;0,001
744,9;-8,00E-04;0,0014
744,8;-0,0009;0,0013
744,7;-8,00E-04;0,0014
744,6;-0,0007;0,0015
744,5;-1,00E-03;0,0013
744,4;-0,0009;0,0014
744,3;-9,00E-04;0,0013
744,2;-0,001;0,0012
744,1;-9,00E-04;0,0011
744;-0,0008;0,0012
743,9;-9,00E-04;0,0011
743,8;-0,001;0,0011
743,7;-1,00E-03;0,0011
743,6;-0,001;0,0011
743,5;-9,00E-04;0,0014
743,4;-0,0007;0,0014
743,3;-8,00E-04;0,0014
743,2;-0,0009;0,0015
743,1;-1,10E-03;0,0013
743;-0,0013;0,0011
742,9;-1,30E-03;0,001
742,8;-0,0012;0,001
742,7;-1,10E-03;0,001
742,6;-0,001;0,0012
742,5;-1,10E-03;0,0014
742,4;-0,0011;0,0013
742,3;-1,10E-03;0,0013
742,2;-0,0009;0,0014
742,1;-1,00E-03;0,001
742;-0,0008;0,0012
741,9;-7,00E-04;0,0015
741,8;-0,0008;0,0013
741,7;-9,00E-04;0,0014
741,6;-0,001;0,0012
741,5;-1,00E-03;0,0011
741,4;-0,0011;0,0011
741,3;-1,00E-03;0,0012
741,2;-0,0009;0,0012
741,1;-1,00E-03;0,0011
741;-0,0011;0,0012
740,9;-1,00E-03;0,0011
740,8;-0,001;0,0013
740,7;-8,00E-04;0,0015
740,6;-0,0008;0,0016
740,5;-9,00E-04;0,0015
740,4;-0,0009;0,0014
740,3;-7,00E-04;0,0015
740,2;-0,001;0,0012
740,1;-1,10E-03;0,0012
740;-0,0011;0,0011
739,9;-1,30E-03;0,001
739,8;-0,0011;0,0011
739,7;-1,20E-03;0,001
739,6;-0,0009;0,0011
739,5;-8,00E-04;0,0012
739,4;-0,0008;0,0011
739,3;-6,00E-04;0,0014
739,2;-0,0007;0,0015
739,1;-7,00E-04;0,0014
739;-0,0008;0,0013
738,9;-9,00E-04;0,0013
738,8;-0,001;0,0013
738,7;-1,00E-03;0,0014
738,6;-0,0009;0,0013
738,5;-1,00E-03;0,0013
738,4;-0,0011;0,0014
738,3;-1,20E-03;0,0012
738,2;-0,0013;0,0013
738,1;-1,10E-03;0,0011
738;-0,0009;0,0013
737,9;-1,10E-03;0,0012
737,8;-0,0009;0,0013
737,7;-8,00E-04;0,0013
737,6;-0,001;0,0013
737,5;-1,10E-03;0,0012
737,4;-0,0012;0,0011
737,3;-1,00E-03;0,0013
737,2;-0,001;0,0012
737,1;-5,00E-04;0,0014
737;-0,0006;0,0014
736,9;-8,00E-04;0,0011
736,8;-0,0008;0,0012
736,7;-1,20E-03;0,001
736,6;-0,0012;0,001
736,5;-1,10E-03;0,0011
736,4;-0,0012;0,0012
736,3;-1,10E-03;0,0012
736,2;-0,0012;0,001
736,1;-1,20E-03;0,0012
736;-0,001;0,0012
735,9;-1,00E-03;0,0011
735,8;-0,0008;0,0014
735,7;-8,00E-04;0,0012
735,6;-0,0008;0,0015
735,5;-8,00E-04;0,0015
735,4;-0,0007;0,0014
735,3;-8,00E-04;0,0014
735,2;-0,001;0,0011
735,1;-1,00E-03;0,0011
735;-0,0012;0,001
734,9;-1,00E-03;0,0012
734,8;-0,0011;0,0013
734,7;-1,20E-03;0,0013
734,6;-0,0013;0,0012
734,5;-1,50E-03;0,0011
734,4;-0,0014;0,0011
734,3;-1,10E-03;0,0012
734,2;-0,0012;0,0013
734,1;-1,00E-03;0,0012
734;-0,0009;0,0013
733,9;-1,10E-03;0,0012
733,8;-0,0012;0,0011
733,7;-1,20E-03;0,0011
733,6;-0,0013;0,0012
733,5;-1,00E-03;0,0014
733,4;-0,001;0,0014
733,3;-9,00E-04;0,0014
733,2;-0,0008;0,0015
733,1;-9,00E-04;0,0013
733;-0,0009;0,0013
732,9;-7,00E-04;0,0014
732,8;-0,0007;0,0012
732,7;-7,00E-04;0,0014
732,6;-0,0007;0,0015
732,5;-8,00E-04;0,0015
732,4;-0,001;0,0011
732,3;-8,00E-04;0,0013
732,2;-0,0008;0,0012
732,1;-9,00E-04;0,0012
732;-0,001;0,0014
731,9;-1,00E-03;0,0014
731,8;-0,001;0,0013
731,7;-9,00E-04;0,0012
731,6;-0,001;0,0011
731,5;-9,00E-04;0,0011
731,4;-0,0009;0,0012
731,3;-1,00E-03;0,0011
731,2;-0,0011;0,0013
731,1;-1,20E-03;0,001
731;-0,0011;0,0011
730,9;-1,20E-03;0,0012
730,8;-0,001;0,0012
730,7;-9,00E-04;0,0013
730,6;-0,0007;0,0012
730,5;-6,00E-04;0,0013
730,4;-0,0007;0,0012
730,3;-9,00E-04;0,0011
730,2;-0,001;0,0013
730,1;-1,30E-03;0,0011
730;-0,0013;0,0011
729,9;-1,10E-03;0,0012
729,8;-0,0012;0,0011
729,7;-1,10E-03;0,0011
729,6;-0,0011;0,0013
729,5;-1,20E-03;0,0013
729,4;-0,0012;0,0014
729,3;-1,10E-03;0,0014
729,2;-0,0011;0,0013
729,1;-1,10E-03;0,001
729;-0,0011;0,0009
728,9;-1,00E-03;0,001
728,8;-0,0008;0,0012
728,7;-6,00E-04;0,0015
728,6;-0,0005;0,0017
728,5;-7,00E-04;0,0016
728,4;-0,0009;0,0015
728,3;-1,20E-03;0,0012
728,2;-0,0012;0,0011
728,1;-1,20E-03;0,0011
728;-0,0011;0,0011
727,9;-9,00E-04;0,0012
727,8;-0,0009;0,001
727,7;-9,00E-04;0,0012
727,6;-0,001;0,0011
727,5;-9,00E-04;0,0012
727,4;-0,0011;0,0011
727,3;-1,00E-03;0,0011
727,2;-0,0009;0,0011
727,1;-9,00E-04;0,001
727;-0,001;0,0011
726,9;-1,10E-03;0,0011
726,8;-0,0011;0,0012
726,7;-9,00E-04;0,0013
726,6;-0,0009;0,0012
726,5;-5,00E-04;0,0013
726,4;-0,0007;0,0011
726,3;-8,00E-04;0,0012
726,2;-0,0007;0,0013
726,1;-8,00E-04;0,0011
726;-0,0008;0,0013
725,9;-7,00E-04;0,0013
725,8;-0,001;0,0011
725,7;-9,00E-04;0,001
725,6;-0,0007;0,001
725,5;-9,00E-04;0,001
725,4;-0,0007;0,0011
725,3;-8,00E-04;0,0014
725,2;-0,001;0,0013
725,1;-1,00E-03;0,0013
725;-0,001;0,0014
724,9;-9,00E-04;0,0013
724,8;-0,0009;0,0013
724,7;-9,00E-04;0,0014
724,6;-0,0009;0,0013
724,5;-9,00E-04;0,0014
724,4;-0,0008;0,0014
724,3;-7,00E-04;0,0014
724,2;-0,0008;0,0013
724,1;-1,00E-03;0,0011
724;-0,001;0,0011
723,9;-1,00E-03;0,0012
723,8;-0,001;0,0012
723,7;-9,00E-04;0,0013
723,6;-0,0009;0,0013
723,5;-9,00E-04;0,0012
723,4;-0,001;0,0013
723,3;-1,00E-03;0,0013
723,2;-0,0011;0,0013
723,1;-1,20E-03;0,0014
723;-0,001;0,0013
722,9;-1,00E-03;0,0013
722,8;-0,001;0,0011
722,7;-1,00E-03;0,0012
722,6;-0,001;0,0013
722,5;-1,00E-03;0,0012
722,4;-0,0008;0,0014
722,3;-8,00E-04;0,0016
722,2;-0,0007;0,0015
722,1;-8,00E-04;0,0014
