wavelength,s1.4,s2.4,s3.4,s4.4,s5.4,s6.4,s7.4
200.0,2.506360085958265,2.428463032290901,2.4844235593507893,2.4630466380139113,2.480394401402477,2.409324532036419,2.4506234010066166
200.1,2.5106130860148164,2.4337233218345307,2.486326217270825,2.443236611434711,2.4810659277271956,2.413353689984731,2.446930006220664
200.2,2.508262743878301,2.44379621670531,2.4903553752191367,2.4406624271899564,2.4810659277271956,2.413353689984731,2.435402137646327
200.3,2.503002454334672,2.446482322004185,2.495391822654527,2.4240981111802298,2.4852070067296275,2.4162636373918454,2.4332756376180513
200.4,2.4951679805462876,2.4563313747667253,2.5006521121981566,2.4319325849686138,2.492929559463892,2.425329242775547,2.4277915059661823
200.5,2.4947202963298083,2.4596890063903185,2.505912401741786,2.455324085279647,2.504905112254708,2.4211881637731154,2.437080953458124
200.6,2.5060243227959056,2.4640539275009896,2.5000925069275577,2.4609201379856356,2.5110607702312953,2.4242100322343494,2.457898269524402
200.7,2.514642243963128,2.4722241644517333,2.4946083752756882,2.4755817960753266,2.519902533506758,2.4307014533732967,2.4692022959904993
200.8,2.5155376123960864,2.47401490131765,2.4996448227110784,2.470769190748176,2.527960849403382,2.4211881637731154,2.484871243567268
200.9,2.5211336651020755,2.4788275066448,2.497854085845162,2.4595770853361985,2.529751586269298,2.4177186110954025,2.4933772436803707
201.0,2.525946270429226,2.4822970593225135,2.5136349544760503,2.46383008539275,2.5312065599728553,2.42879879545326,2.496399112141605
201.1,2.5354595600294068,2.4809540066730755,2.5219171124809137,2.4640539275009896,2.5389291127071196,2.4446915851382682,2.5037859017135102
201.2,2.5481066391449416,2.4872215857037836,2.529863507323418,2.4696499802069782,2.539376796923599,2.4761414013459255,2.495279901600407
201.3,2.5625444551263925,2.4923699541932933,2.5270654809704234,2.482968585647232,2.5389291127071196,2.492817638409772,2.509829638635978
201.4,2.561761007747554,2.499868664819318,2.526282033591585,2.484199717242549,2.5516881128767746,2.4983017700616412,2.5124038228807333
201.5,2.5646709551546683,2.5147541650172482,2.5389291127071196,2.493265322626251,2.544301323304869,2.4955037437086465,2.5124038228807333
201.6,2.5631040603969915,2.521245586156195,2.542622507493072,2.5081508228241813,2.5392648758694794,2.491810348922694,2.5301992704857774
201.7,2.559634507719278,2.536466849516485,2.5642232709381894,2.5186714019114405,2.5375860600576825,2.505912401741786,2.5280727704575017
201.8,2.5638875077758296,2.5351237968670475,2.569819323644178,2.526505875699825,2.537250296895323,2.511844217610134,2.543517875926031
201.9,2.561313323531075,2.5337807442176103,2.5540384550132895,2.5272893230786635,2.552919244472092,2.518447559803201,2.5389291127071196
202.0,2.577429955324323,2.5451966917378273,2.565902086749986,2.530982717864616,2.560753718260476,2.515425691341967,2.540719849573036
