,wavelength,s1.3,s2.3,s3.3,s4.3,s5.3,s6.3
0,200.0,1.3754738838034748,0.49032971993308133,2.417942453203642,0.8471908802491925,175.99093548387097,89.64158823529411
1,200.1,1.3836692975901361,0.5024086188735362,2.426784216479104,0.8742471042916475,177.9061935483871,85.76100000000001
2,200.2,1.385517887166075,0.5207415670115869,2.441445874568795,0.9183133594831565,182.16232258064517,74.89535294117647
3,200.3,1.3916798524192042,0.5560585507156578,2.4446915851382682,0.9767639363174897,180.45987096774195,72.7610294117647
4,200.4,1.3953770315710814,0.5819944606233348,2.462039348526834,1.0145513209506232,179.39583870967743,71.59685294117648
5,200.5,1.3913717541565476,0.612590250325299,2.466404269637505,1.0736868654822336,174.07567741935486,79.164
6,200.6,1.3983347748925834,0.6455772941322263,2.459800927444438,1.1320232810336872,173.01164516129035,89.44755882352942
7,200.7,1.39864287315524,0.6701642914678728,2.4666281117457443,1.1855649227041996,172.79883870967743,91.58188235294118
8,200.8,1.392727386512236,0.702170307949687,2.471664559181135,1.2582856598984773,167.26587096774196,99.1490294117647
9,200.9,1.3979650569773956,0.7326434692360122,2.478044059265962,1.315023817489617,170.0323548387097,96.04455882352941
10,201.0,1.392296048944517,0.7615224611190284,2.4825209014307528,1.364569814259345,165.77622580645163,94.29829411764705
11,201.1,1.3939597795628618,0.7923021934444513,2.4787155855906806,1.416056552838025,164.2865806451613,92.94008823529411
12,201.2,1.397348860452083,0.8194643875085198,2.479834796131878,1.439231293262575,168.5427096774194,85.56697058823529
13,201.3,1.4000601251634597,0.8492630925088296,2.4758056381835662,1.4878639997692662,167.26587096774196,87.11920588235294
14,201.4,1.416450952736783,0.8742792892992131,2.471664559181135,1.5336426742039686,163.64816129032258,78.58191176470588
15,201.5,1.4162044741266577,0.8965363467377161,2.496622954249845,1.5686901880479929,162.79693548387098,78.19385294117647
16,201.6,1.4216270035494116,0.9146853522523081,2.5021070859017134,1.6196061202122753,153.22064516129032,81.68638235294117
17,201.7,1.4211956659816924,0.9406825763678047,2.5027786122264324,1.6539686663590218,150.4541612903226,76.4475882352941
18,201.8,1.4127537735849056,0.9622651775202924,2.516321059774925,1.6878745673742501,142.7931290322581,85.76100000000001
19,201.9,1.4212572856342238,0.9831733223867649,2.507367375445343,1.7439277572681129,143.4315483870968,92.74605882352941
20,202.0,1.425509041658883,1.003161754135944,2.512963428151332,1.7945012055837566,147.90048387096778,98.56694117647058
