wavelength;s1.4;s2.4;s3.4;s4.4;s5.4;s6.4;s7.4
208,2;2,5463;2,5194;2,5434;2,5207;2,5207;2,499;2,5095
208,3;2,5593;2,5173;2,5529;2,5234;2,531;2,5027;2,5213
208,4;2,5626;2,5345;2,5423;2,5053;2,5465;2,4934;2,5226
208,5;2,5783;2,5414;2,5453;2,5129;2,5612;2,4916;2,5242
208,6;2,5842;2,5394;2,5422;2,5116;2,5685;2,4835;2,5245
208,7;2,588;2,5455;2,5558;2,5108;2,5666;2,4854;2,5175
208,8;2,589;2,5362;2,5592;2,5185;2,5682;2,489;2,5309
208,9;2,5782;2,5392;2,5558;2,5303;2,574;2,4988;2,5353
209;2,5853;2,5528;2,5589;2,5343;2,5654;2,5122;2,5384
209,1;2,5853;2,5534;2,5524;2,5384;2,5702;2,5175;2,5461
209,2;2,5989;2,5631;2,5588;2,5438;2,5666;2,5258;2,5513
209,3;2,6082;2,5625;2,5581;2,539;2,5637;2,5246;2,5553
209,4;2,6167;2,5626;2,5602;2,5425;2,5784;2,5201;2,5664
209,5;2,613;2,5721;2,5617;2,5418;2,5886;2,5201;2,5762
209,6;2,6028;2,577;2,5667;2,5503;2,6038;2,5206;2,5756
209,7;2,6071;2,5763;2,5719;2,5469;2,6141;2,5274;2,5832
209,8;2,6104;2,5812;2,5733;2,5413;2,618;2,54;2,5756
209,9;2,6178;2,5891;2,5813;2,5407;2,6106;2,5486;2,5691
210;2,6263;2,5921;2,5954;2,5339;2,5979;2,5497;2,5695
210,1;2,6313;2,5996;2,6126;2,5423;2,5856;2,5526;2,5758
210,2;2,6281;2,6024;2,6205;2,5543;2,5797;2,5558;2,5752
210,3;2,6392;2,5914;2,625;2,5627;2,5817;2,5608;2,5786
210,4;2,6417;2,5856;2,6252;2,5688;2,5974;2,5696;2,581
210,5;2,6447;2,5885;2,6122;2,5723;2,5938;2,5792;2,5846
210,6;2,6408;2,5798;2,6085;2,5672;2,5915;2,5761;2,5915
210,7;2,6363;2,5892;2,6082;2,5728;2,5955;2,5691;2,5983
210,8;2,6409;2,6023;2,6064;2,5788;2,5892;2,5726;2,6114
210,9;2,6378;2,6052;2,617;2,5886;2,6054;2,5656;2,5967
211;2,6408;2,6125;2,6265;2,5998;2,6158;2,5701;2,5965
211,1;2,643;2,6175;2,6171;2,6015;2,6105;2,5724;2,597
211,2;2,6479;2,6085;2,608;2,5908;2,6097;2,5722;2,5872
211,3;2,6567;2,611;2,6183;2,5839;2,6088;2,5673;2,5973
211,4;2,6667;2,6181;2,6295;2,5923;2,6064;2,5686;2,607
211,5;2,6647;2,615;2,6278;2,5894;2,6261;2,5748;2,6038
211,6;2,6656;2,6198;2,6452;2,6015;2,6438;2,5772;2,6098
211,7;2,6692;2,6175;2,6364;2,6008;2,647;2,5906;2,6137
211,8;2,6616;2,6137;2,6274;2,5972;2,6501;2,588;2,6145
211,9;2,6732;2,6121;2,6499;2,6043;2,6401;2,5849;2,6224
212;2,6874;2,6304;2,6391;2,6086;2,6364;2,5891;2,6229
212,1;2,6946;2,6448;2,6548;2,6188;2,6418;2,5914;2,6243
212,2;2,7121;2,6563;2,6617;2,6192;2,6523;2,6058;2,6201
212,3;2,7071;2,6689;2,6538;2,6168;2,6648;2,6193;2,6245
212,4;2,697;2,6604;2,6643;2,6231;2,6616;2,6339;2,6253
212,5;2,6833;2,6505;2,6613;2,633;2,6557;2,6369;2,6205
212,6;2,6733;2,6504;2,6558;2,6472;2,6568;2,6319;2,6285
212,7;2,6825;2,6468;2,6583;2,6562;2,6595;2,6318;2,6351
212,8;2,6911;2,6508;2,662;2,6567;2,6646;2,6245;2,6518
212,9;2,7047;2,6655;2,6632;2,6536;2,6773;2,6266;2,6614
213;2,7021;2,6724;2,6723;2,6453;2,68;2,6342;2,6606
213,1;2,7037;2,6831;2,6687;2,6345;2,6851;2,6366;2,6521
213,2;2,7;2,6821;2,6671;2,6326;2,6804;2,6331;2,6413
213,3;2,6944;2,6813;2,6689;2,6419;2,676;2,6393;2,6498
213,4;2,703;2,6878;2,6704;2,6528;2,6748;2,6476;2,6596
213,5;2,6994;2,685;2,6842;2,6661;2,675;2,6419;2,6646
213,6;2,7132;2,6819;2,6858;2,6775;2,6782;2,6481;2,6637
213,7;2,7125;2,679;2,6842;2,6709;2,6883;2,6454;2,6428
213,8;2,7141;2,6681;2,6822;2,6691;2,6925;2,6445;2,6434
213,9;2,73;2,6744;2,6848;2,6686;2,7031;2,6497;2,6465
214;2,7274;2,6892;2,6897;2,6526;2,7004;2,6542;2,6553
214,1;2,7371;2,7001;2,6864;2,651;2,7006;2,6551;2,6739
214,2;2,7423;2,7011;2,6903;2,6596;2,7019;2,6534;2,6752
214,3;2,7441;2,6982;2,691;2,6545;2,6899;2,6588;2,6742
214,4;2,7438;2,7015;2,6973;2,6659;2,7071;2,6599;2,6713
214,5;2,7443;2,6939;2,7127;2,6727;2,7135;2,6611;2,6676
214,6;2,7449;2,7047;2,7197;2,6688;2,7122;2,6648;2,6646
214,7;2,7365;2,7027;2,7226;2,6812;2,7149;2,6656;2,6742
214,8;2,7393;2,703;2,7203;2,677;2,7195;2,6677;2,6764
214,9;2,7383;2,7099;2,7117;2,6761;2,7206;2,6722;2,6781
215;2,7454;2,7136;2,7086;2,6813;2,7232;2,6725;2,6879
215,1;2,7514;2,7145;2,7056;2,6934;2,7159;2,6673;2,686
215,2;2,7481;2,7101;2,7093;2,6993;2,7127;2,6678;2,6875
215,3;2,7543;2,7124;2,7122;2,6988;2,7098;2,6758;2,6859
215,4;2,7494;2,7107;2,7194;2,6933;2,7074;2,6743;2,6854
215,5;2,7431;2,7113;2,7281;2,6818;2,7116;2,6811;2,6947
215,6;2,7533;2,7159;2,7247;2,6882;2,7131;2,6771;2,7006
215,7;2,7668;2,7179;2,7201;2,6937;2,7142;2,6751;2,718
215,8;2,7798;2,7143;2,7182;2,6923;2,7133;2,6784;2,7238
215,9;2,7882;2,723;2,7131;2,6866;2,7189;2,6847;2,7257
216;2,7859;2,7249;2,718;2,6856;2,7209;2,6901;2,7315
216,1;2,7789;2,7175;2,7265;2,6862;2,7249;2,6842;2,7229
216,2;2,7769;2,7177;2,7305;2,6883;2,7409;2,6873;2,719
216,3;2,7757;2,7201;2,7295;2,7;2,75;2,6967;2,7179
216,4;2,7842;2,7192;2,724;2,7031;2,7504;2,6996;2,7233
216,5;2,7922;2,721;2,7311;2,7058;2,7567;2,707;2,7338
216,6;2,7938;2,727;2,74;2,7134;2,7529;2,7057;2,7423
216,7;2,7933;2,729;2,7425;2,7104;2,7453;2,7005;2,738
216,8;2,7895;2,733;2,7481;2,7082;2,745;2,6974;2,727
216,9;2,7856;2,741;2,7437;2,7108;2,7404;2,6951;2,7209
217;2,7813;2,7404;2,745;2,7166;2,7375;2,6995;2,7211
217,1;2,7856;2,7422;2,7553;2,7309;2,7477;2,7032;2,7259
217,2;2,789;2,7452;2,7625;2,741;2,7571;2,7097;2,7355
217,3;2,786;2,7479;2,7758;2,7468;2,7585;2,7091;2,7348
217,4;2,7869;2,7547;2,764;2,7427;2,7668;2,7043;2,7295
217,5;2,7972;2,7539;2,7604;2,7263;2,7674;2,7005;2,7241
217,6;2,8002;2,7663;2,7654;2,7225;2,7596;2,704;2,7198
217,7;2,8051;2,7698;2,7569;2,7152;2,7588;2,7142;2,729
217,8;2,8204;2,7679;2,7661;2,7136;2,763;2,7166;2,7404
217,9;2,8081;2,7731;2,7734;2,7287;2,7563;2,7152;2,7501
218;2,8119;2,7732;2,7657;2,7298;2,7574;2,7132;2,7501
218,1;2,813;2,7803;2,7723;2,7309;2,7584;2,7143;2,7533
218,2;2,8138;2,7852;2,7729;2,7311;2,7452;2,7195;2,7443
218,3;2,8288;2,7845;2,7637;2,7272;2,7489;2,7241;2,7397
