wavelength;s1.3;s2.3;s3.3;s4.3;s5.3;s6.3;hcl
200;2,2322;0,7997;2,1604;0,7421;0,0827;0,0462;1,4539
200,1;2,2455;0,8194;2,1683;0,7658;0,0836;0,0442;1,4323
200,2;2,2485;0,8493;2,1814;0,8044;0,0856;0,0386;1,4001
200,3;2,2585;0,9069;2,1843;0,8556;0,0848;0,0375;1,356
200,4;2,2645;0,9492;2,1998;0,8887;0,0843;0,0369;1,3105
200,5;2,258;0,9991;2,2037;0,9405;0,0818;0,0408;1,2614
200,6;2,2693;1,0529;2,1978;0,9916;0,0813;0,0461;1,2149
200,7;2,2698;1,093;2,2039;1,0385;0,0812;0,0472;1,1708
200,8;2,2602;1,1452;2,2084;1,1022;0,0786;0,0511;1,1276
200,9;2,2687;1,1949;2,2141;1,1519;0,0799;0,0495;1,0888
201;2,2595;1,242;2,2181;1,1953;0,0779;0,0486;1,0483
201,1;2,2622;1,2922;2,2147;1,2404;0,0772;0,0479;1,0087
201,2;2,2677;1,3365;2,2157;1,2607;0,0792;0,0441;0,9725
201,3;2,2721;1,3851;2,2121;1,3033;0,0786;0,0449;0,9366
201,4;2,2987;1,4259;2,2084;1,3434;0,0769;0,0405;0,9045
201,5;2,2983;1,4622;2,2307;1,3741;0,0765;0,0403;0,8725
201,6;2,3071;1,4918;2,2356;1,4187;0,072;0,0421;0,8388
201,7;2,3064;1,5342;2,2362;1,4488;0,0707;0,0394;0,8083
201,8;2,2927;1,5694;2,2483;1,4785;0,0671;0,0442;0,7731
201,9;2,3065;1,6035;2,2403;1,5276;0,0674;0,0478;0,7382
202;2,3134;1,6361;2,2453;1,5719;0,0695;0,0508;0,7078
202,1;2,326;1,6755;2,2574;1,6103;0,0665;0,0552;0,6757
202,2;2,327;1,7124;2,2663;1,6492;0,068;0,0529;0,6514
202,3;2,335;1,7508;2,2699;1,67;0,0671;0,0494;0,628
202,4;2,3362;1,777;2,2789;1,6926;0,0659;0,0494;0,6027
202,5;2,3386;1,7894;2,2833;1,7248;0,0676;0,0456;0,5824
202,6;2,359;1,8127;2,2861;1,7488;0,0699;0,0459;0,5608
202,7;2,3589;1,8398;2,2957;1,7788;0,0699;0,0481;0,5388
202,8;2,36;1,8595;2,2908;1,8025;0,069;0,0469;0,5185
202,9;2,3607;1,8794;2,2957;1,8144;0,0705;0,0463;0,4984
203;2,3536;1,9073;2,296;1,8334;0,0694;0,0477;0,4785
203,1;2,3498;1,9358;2,2892;1,8415;0,0669;0,0455;0,4598
203,2;2,3547;1,9715;2,3052;1,8724;0,0652;0,0472;0,4388
203,3;2,3529;2,0037;2,2989;1,8951;0,062;0,0494;0,4199
203,4;2,3634;2,02;2,3022;1,9184;0,0596;0,0509;0,4013
203,5;2,3756;2,0188;2,3102;1,9565;0,0602;0,0529;0,3835
203,6;2,3838;2,0331;2,3127;1,9697;0,0616;0,0532;0,3689
203,7;2,3863;2,0501;2,3196;1,9906;0,0634;0,0531;0,3538
203,8;2,3836;2,0728;2,3239;2,0167;0,0652;0,0529;0,3413
203,9;2,3898;2,0964;2,3224;2,0358;0,0644;0,0508;0,3291
204;2,3981;2,1299;2,3188;2,0507;0,0632;0,0527;0,3148
204,1;2,4025;2,1502;2,328;2,0711;0,0611;0,0518;0,3027
204,2;2,4096;2,1713;2,3497;2,0788;0,0601;0,0527;0,29
204,3;2,414;2,1918;2,3697;2,0889;0,0599;0,0542;0,2788
204,4;2,4161;2,1914;2,3772;2,1105;0,0604;0,0532;0,2686
204,5;2,4309;2,1878;2,3852;2,1164;0,0612;0,0543;0,2595
204,6;2,4447;2,1984;2,377;2,1372;0,0595;0,0554;0,2484
204,7;2,445;2,2096;2,3775;2,1567;0,0596;0,0536;0,2409
204,8;2,4405;2,2263;2,376;2,1627;0,0595;0,0522;0,2337
204,9;2,4391;2,2463;2,3859;2,1784;0,0597;0,0509;0,2261
205;2,4339;2,2588;2,3949;2,1768;0,0601;0,0486;0,2187
205,1;2,4449;2,2719;2,4024;2,1792;0,0604;0,0506;0,2102
205,2;2,4573;2,277;2,4092;2,197;0,0601;0,0507;0,2023
205,3;2,4662;2,2885;2,3966;2,2173;0,0583;0,0506;0,1939
205,4;2,4683;2,2985;2,3922;2,2343;0,0596;0,0505;0,1873
205,5;2,4621;2,3063;2,4;2,2532;0,0581;0,0487;0,1796
205,6;2,465;2,3216;2,4097;2,2689;0,0585;0,0487;0,173
205,7;2,4596;2,3311;2,4212;2,2788;0,0586;0,0487;0,1672
205,8;2,4662;2,3351;2,4221;2,2931;0,056;0,0479;0,1619
205,9;2,4735;2,3401;2,4174;2,2972;0,0565;0,0495;0,1561
206;2,4754;2,3455;2,4191;2,301;0,0556;0,0505;0,1508
206,1;2,4925;2,3513;2,425;2,3051;0,0556;0,0508;0,1464
206,2;2,504;2,3642;2,4311;2,3061;0,0565;0,0509;0,1429
206,3;2,5083;2,376;2,4287;2,3159;0,0554;0,0496;0,1392
206,4;2,5075;2,3997;2,4322;2,3354;0,0549;0,0488;0,1342
206,5;2,4998;2,4169;2,4329;2,3455;0,0543;0,0485;0,1294
206,6;2,4911;2,4203;2,4416;2,3657;0,0529;0,0491;0,1234
206,7;2,4902;2,4283;2,4562;2,3755;0,0532;0,05;0,1202
206,8;2,4952;2,4222;2,4543;2,3764;0,0522;0,0495;0,117
206,9;2,5075;2,4207;2,4574;2,3761;0,0519;0,0481;0,1138
207;2,5124;2,428;2,4531;2,3736;0,051;0,0475;0,1105
207,1;2,521;2,4311;2,4536;2,3822;0,0496;0,045;0,1073
207,2;2,5317;2,446;2,4667;2,3813;0,0495;0,0456;0,1037
207,3;2,5267;2,4453;2,4754;2,3944;0,0504;0,0467;0,1014
207,4;2,5339;2,4504;2,4795;2,4039;0,0526;0,047;0,0997
207,5;2,5288;2,4624;2,4917;2,4045;0,0539;0,0473;0,0974
207,6;2,5218;2,4577;2,4931;2,4068;0,0547;0,046;0,0953
207,7;2,5275;2,4672;2,4893;2,4073;0,0533;0,0452;0,0921
207,8;2,5344;2,4696;2,4979;2,4085;0,0532;0,0458;0,0886
207,9;2,5492;2,4732;2,4938;2,4114;0,0536;0,0463;0,0853
208;2,5531;2,4825;2,4933;2,4211;0,0533;0,0475;0,083
208,1;2,556;2,4928;2,4976;2,4227;0,0535;0,0473;0,0804
208,2;2,5578;2,5039;2,5003;2,4246;0,0527;0,0472;0,0782
208,3;2,5619;2,5085;2,4936;2,4365;0,0524;0,0465;0,0763
208,4;2,5834;2,519;2,4923;2,4418;0,0505;0,0452;0,0741
208,5;2,5841;2,5258;2,4979;2,4605;0,0504;0,0462;0,0717
208,6;2,5821;2,5328;2,4915;2,4836;0,0499;0,0455;0,0701
208,7;2,5847;2,5264;2,4896;2,4831;0,0487;0,0452;0,0683
208,8;2,575;2,5262;2,4952;2,4919;0,0501;0,0443;0,0677
208,9;2,5893;2,5441;2,4952;2,4886;0,0495;0,0443;0,0662
209;2,5935;2,5494;2,5029;2,4805;0,0492;0,0443;0,0647
209,1;2,5965;2,5662;2,5087;2,4893;0,0487;0,0452;0,0626
209,2;2,6047;2,5719;2,5158;2,4997;0,0478;0,0455;0,0608
209,3;2,6035;2,5814;2,525;2,5074;0,0467;0,0448;0,058
209,4;2,6145;2,5965;2,535;2,5145;0,0463;0,0448;0,0567
209,5;2,6175;2,6093;2,5443;2,5194;0,046;0,0441;0,0552
209,6;2,6153;2,618;2,5424;2,5194;0,0463;0,0453;0,0531
209,7;2,619;2,6039;2,5378;2,5402;0,0472;0,0457;0,0534
209,8;2,615;2,6007;2,5461;2,5449;0,0482;0,0454;0,0528
209,9;2,6121;2,6009;2,5558;2,5446;0,0498;0,0457;0,0527
210;2,6096;2,6062;2,5665;2,5426;0,0488;0,0444;0,053
210,1;2,6075;2,608;2,5713;2,5253;0,0486;0,0444;0,0522
210,2;2,6177;2,5998;2,555;2,5319;0,0467;0,0447;0,0505
210,3;2,6265;2,6034;2,5594;2,5334;0,0461;0,0443;0,0505
210,4;2,6249;2,5994;2,5593;2,5506;0,0472;0,0443;0,0501
210,5;2,6183;2,5963;2,5656;2,5549;0,0474;0,0432;0,0502
210,6;2,6128;2,5996;2,5862;2,5581;0,0477;0,0432;0,0494
210,7;2,6201;2,5933;2,5881;2,5653;0,0475;0,0432;0,0477
210,8;2,6418;2,6104;2,5869;2,5624;0,0472;0,0444;0,0452
210,9;2,6636;2,6228;2,5901;2,5711;0,0459;0,0449;0,0422
211;2,6622;2,6348;2,5896;2,5758;0,045;0,0433;0,0423
211,1;2,6542;2,641;2,5907;2,5717;0,0443;0,0428;0,0416
211,2;2,6518;2,6318;2,59;2,5725;0,0438;0,0402;0,0417
211,3;2,6496;2,6302;2,5896;2,5764;0,0445;0,0396;0,0421
211,4;2,6604;2,6399;2,5892;2,5707;0,0458;0,0397;0,0412
211,5;2,6616;2,6475;2,588;2,5873;0,0458;0,0394;0,0411
211,6;2,6689;2,6532;2,6009;2,5838;0,0464;0,0403;0,041
211,7;2,6714;2,6616;2,5964;2,5804;0,0452;0,0405;0,0404
211,8;2,6763;2,6664;2,5931;2,5834;0,0442;0,0407;0,0392
211,9;2,6842;2,669;2,6066;2,5769;0,0442;0,0407;0,0387
212;2,6822;2,6735;2,608;2,5815;0,0443;0,0419;0,0379
212,1;2,685;2,6854;2,6272;2,5899;0,0448;0,0418;0,0376
212,2;2,6777;2,675;2,6285;2,5918;0,0464;0,0407;0,0386
212,3;2,6799;2,6802;2,621;2,6011;0,0466;0,042;0,0377
212,4;2,6791;2,6868;2,6148;2,6009;0,0452;0,041;0,0363
212,5;2,6796;2,6799;2,6073;2,5969;0,0449;0,0407;0,0359
212,6;2,6887;2,6872;2,6198;2,6071;0,0435;0,0421;0,0348
212,7;2,698;2,6875;2,6309;2,6018;0,0431;0,0411;0,0343
212,8;2,7056;2,6887;2,6365;2,61;0,0435;0,0412;0,0352
212,9;2,7106;2,7021;2,6352;2,6153;0,0436;0,0414;0,0343
213;2,7071;2,7109;2,6352;2,6167;0,0437;0,041;0,0337
213,1;2,7032;2,7086;2,6344;2,628;0,0436;0,0401;0,0331
213,2;2,7063;2,7099;2,6393;2,6275;0,0433;0,0398;0,033
213,3;2,7059;2,7133;2,6478;2,6347;0,0441;0,0402;0,0323
213,4;2,7107;2,7068;2,6489;2,636;0,0443;0,0392;0,0329
213,5;2,7147;2,7064;2,644;2,6356;0,0441;0,0386;0,0334
213,6;2,7106;2,7115;2,6438;2,6441;0,0451;0,0379;0,0335
213,7;2,7122;2,7028;2,6486;2,6403;0,0433;0,0372;0,0335
213,8;2,7177;2,7008;2,6525;2,6455;0,0434;0,0378;0,0333
213,9;2,713;2,7144;2,6585;2,6449;0,0432;0,0376;0,0333
214;2,7089;2,7157;2,6605;2,64;0,0422;0,0383;0,0316
214,1;2,7095;2,7218;2,6585;2,6442;0,0432;0,0385;0,0323
214,2;2,7089;2,7387;2,6667;2,6505;0,0414;0,0381;0,0309
214,3;2,7036;2,7401;2,6686;2,659;0,0412;0,039;0,03
214,4;2,7106;2,7413;2,6748;2,669;0,0413;0,0385;0,0302
214,5;2,7174;2,745;2,6772;2,6769;0,041;0,038;0,0295
214,6;2,7252;2,7386;2,6675;2,6681;0,0424;0,0381;0,0299
214,7;2,7408;2,7401;2,6694;2,6762;0,0438;0,0375;0,0306
214,8;2,7455;2,7403;2,6719;2,6823;0,0443;0,037;0,0311
214,9;2,7469;2,7514;2,6671;2,6811;0,0441;0,0372;0,0307
215;2,7504;2,7627;2,6769;2,6805;0,0435;0,0375;0,0299
215,1;2,7519;2,7558;2,6826;2,661;0,0415;0,0382;0,0286
215,2;2,7676;2,7622;2,682;2,6558;0,041;0,0386;0,0282
215,3;2,7767;2,7636;2,6926;2,6618;0,0412;0,0377;0,0283
215,4;2,7807;2,7617;2,6922;2,6738;0,0414;0,036;0,0286
215,5;2,7796;2,7724;2,6961;2,6869;0,0415;0,0352;0,0278
215,6;2,7653;2,7661;2,6936;2,6847;0,0415;0,0357;0,0273
215,7;2,7643;2,7565;2,685;2,6836;0,0416;0,0369;0,0266
215,8;2,7614;2,7587;2,6768;2,6886;0,041;0,0381;0,026
215,9;2,7716;2,7647;2,6763;2,6868;0,0419;0,0375;0,0273
216;2,7747;2,7717;2,6842;2,6897;0,0414;0,0364;0,0271
216,1;2,7806;2,7863;2,6868;2,689;0,0417;0,0361;0,0269
216,2;2,7812;2,7821;2,6987;2,6856;0,0415;0,0367;0,0259
216,3;2,7764;2,7871;2,6946;2,7005;0,0415;0,0372;0,0256
216,4;2,7794;2,7934;2,6926;2,7076;0,0413;0,0372;0,0251
216,5;2,7806;2,7888;2,696;2,7192;0,0403;0,0378;0,0248
216,6;2,7856;2,7981;2,6975;2,721;0,0412;0,0371;0,0255
216,7;2,7852;2,7919;2,6989;2,7147;0,0399;0,0372;0,0251
216,8;2,7856;2,7935;2,704;2,712;0,0406;0,0383;0,0252
216,9;2,7787;2,7991;2,7049;2,7147;0,0413;0,0374;0,0258
217;2,7807;2,7968;2,7037;2,7119;0,0406;0,0372;0,0254
217,1;2,7942;2,8041;2,7024;2,718;0,042;0,036;0,0261
217,2;2,7986;2,8076;2,7014;2,7119;0,0414;0,035;0,0264
217,3;2,7998;2,8018;2,7032;2,708;0,0411;0,035;0,0259
217,4;2,8002;2,8095;2,7177;2,7072;0,041;0,0354;0,0262
217,5;2,7991;2,8075;2,7194;2,7098;0,0399;0,0356;0,0246
217,6;2,8071;2,8002;2,7209;2,7285;0,0395;0,0359;0,0239
217,7;2,8141;2,8025;2,7237;2,7295;0,0396;0,0359;0,024
217,8;2,8269;2,8024;2,7147;2,7425;0,0393;0,0356;0,0244
217,9;2,8252;2,8079;2,7174;2,7385;0,0396;0,0353;0,0249
218;2,8267;2,8208;2,7176;2,7364;0,0394;0,0346;0,0251
218,1;2,8282;2,8247;2,7278;2,7301;0,0391;0,0346;0,0253
218,2;2,8164;2,8333;2,7273;2,7254;0,0393;0,0344;0,0243
218,3;2,8129;2,8298;2,7323;2,7247;0,0392;0,0352;0,024
218,4;2,8068;2,8299;2,7363;2,7216;0,0392;0,0351;0,0239
218,5;2,8125;2,8329;2,7346;2,7283;0,0384;0,0347;0,0228
218,6;2,8243;2,8261;2,7342;2,7304;0,0386;0,0339;0,0234
218,7;2,8296;2,8336;2,7366;2,7331;0,0388;0,0332;0,0242
218,8;2,8312;2,8344;2,7454;2,7394;0,0396;0,0337;0,0238
218,9;2,8265;2,8402;2,7439;2,7398;0,0397;0,0337;0,0239
219;2,808;2,8411;2,7572;2,7417;0,0388;0,035;0,0227
219,1;2,8066;2,8387;2,7623;2,7453;0,0382;0,0348;0,0222
219,2;2,8077;2,8462;2,7559;2,7392;0,0374;0,0349;0,0217
219,3;2,8154;2,8461;2,7508;2,7338;0,0375;0,0348;0,0217
219,4;2,8337;2,8556;2,7476;2,7327;0,0378;0,0339;0,0219
219,5;2,8397;2,8605;2,738;2,7335;0,0375;0,0355;0,0209
219,6;2,8444;2,8521;2,733;2,7378;0,0378;0,0351;0,0218
219,7;2,8382;2,8442;2,7402;2,7498;0,0377;0,035;0,022
219,8;2,8333;2,8457;2,7342;2,7576;0,038;0,0352;0,0222
219,9;2,8376;2,8485;2,7375;2,7511;0,0388;0,0343;0,0225
220;2,837;2,8535;2,7471;2,7506;0,0388;0,0339;0,0224
220,1;2,8406;2,8644;2,7449;2,7484;0,0391;0,0333;0,0221
220,2;2,8518;2,8569;2,7494;2,7491;0,0382;0,0328;0,0219
220,3;2,8462;2,857;2,7511;2,7556;0,0374;0,0327;0,0214
220,4;2,8498;2,8587;2,7446;2,7516;0,0365;0,0327;0,0208
220,5;2,8415;2,8662;2,7461;2,7518;0,0365;0,0329;0,0211
220,6;2,8335;2,866;2,741;2,7461;0,0363;0,0328;0,0214
220,7;2,8334;2,8604;2,7338;2,7482;0,0357;0,0325;0,0214
220,8;2,8306;2,857;2,7336;2,7552;0,0361;0,0318;0,0218
220,9;2,835;2,8458;2,7331;2,7544;0,035;0,0321;0,021
221;2,8377;2,8433;2,7331;2,7579;0,0352;0,0315;0,0208
221,1;2,837;2,8448;2,7439;2,7536;0,0356;0,0317;0,0213
221,2;2,8364;2,8548;2,7445;2,7504;0,036;0,033;0,0206
221,3;2,846;2,8625;2,7411;2,7485;0,0368;0,0323;0,0219
221,4;2,846;2,8699;2,7342;2,748;0,0365;0,0329;0,0213
221,5;2,8429;2,8771;2,7253;2,7481;0,0357;0,033;0,0206
221,6;2,8454;2,8784;2,7262;2,7523;0,0357;0,0324;0,0207
221,7;2,8492;2,8785;2,7298;2,746;0,0358;0,0322;0,0202
221,8;2,8535;2,8801;2,7339;2,744;0,0363;0,0323;0,0203
221,9;2,8668;2,8789;2,7341;2,7442;0,037;0,0324;0,0203
222;2,8719;2,866;2,735;2,7316;0,0368;0,0324;0,02
222,1;2,8694;2,8623;2,7284;2,7282;0,0368;0,0325;0,0196
222,2;2,8615;2,8711;2,7296;2,7291;0,0372;0,0322;0,02
222,3;2,863;2,8696;2,7193;2,7208;0,037;0,0321;0,0201
222,4;2,8694;2,8768;2,7009;2,718;0,0358;0,0321;0,0194
222,5;2,8633;2,874;2,6836;2,717;0,0348;0,0319;0,0187
222,6;2,8712;2,8667;2,6582;2,7058;0,034;0,0315;0,0184
222,7;2,8647;2,8699;2,642;2,6957;0,0348;0,0314;0,0184
222,8;2,8562;2,8701;2,6286;2,6815;0,0362;0,0316;0,0193
222,9;2,8666;2,8835;2,6171;2,668;0,0366;0,0316;0,0198
223;2,8576;2,8824;2,5994;2,6473;0,0371;0,0326;0,0198
223,1;2,8672;2,8824;2,5827;2,6293;0,0364;0,0324;0,0197
223,2;2,8629;2,8914;2,5603;2,6129;0,0358;0,0321;0,0193
223,3;2,8585;2,8858;2,5342;2,5894;0,0355;0,0328;0,0188
223,4;2,8625;2,8919;2,5086;2,5608;0,0357;0,0327;0,0187
223,5;2,8566;2,9006;2,475;2,531;0,0353;0,0327;0,0187
223,6;2,8646;2,8885;2,443;2,5031;0,0354;0,0323;0,019
223,7;2,866;2,8838;2,4152;2,4722;0,0355;0,0317;0,0194
223,8;2,8697;2,8705;2,3806;2,445;0,0348;0,0308;0,0194
223,9;2,8695;2,8661;2,3534;2,4161;0,0345;0,0304;0,019
224;2,8684;2,8714;2,318;2,3821;0,0347;0,0313;0,0184
224,1;2,866;2,8702;2,2748;2,3458;0,0346;0,0314;0,0186
224,2;2,8675;2,8759;2,2363;2,3108;0,0347;0,0313;0,0185
224,3;2,8737;2,8703;2,1926;2,2764;0,0356;0,0313;0,0188
224,4;2,8804;2,8718;2,1479;2,238;0,0349;0,0304;0,0185
224,5;2,8844;2,8793;2,1103;2,1995;0,0356;0,0301;0,0181
224,6;2,8884;2,8812;2,0682;2,1579;0,0353;0,0307;0,0174
224,7;2,8918;2,8772;2,0275;2,1184;0,0354;0,031;0,0177
224,8;2,8893;2,8728;1,9899;2,0748;0,0355;0,0315;0,018
224,9;2,8881;2,876;1,9454;2,033;0,0349;0,0311;0,018
225;2,8883;2,8821;1,9073;1,9941;0,0349;0,031;0,018
225,1;2,8744;2,8842;1,8623;1,9468;0,035;0,031;0,0172
225,2;2,8706;2,8842;1,8176;1,9035;0,0351;0,0304;0,0175
225,3;2,8611;2,8739;1,7777;1,862;0,0345;0,0306;0,0175
225,4;2,8583;2,865;1,7361;1,8179;0,0347;0,0304;0,0178
225,5;2,8664;2,8717;1,6948;1,776;0,0338;0,03;0,0183
225,6;2,8703;2,8761;1,6578;1,739;0,0333;0,0301;0,018
225,7;2,8757;2,8879;1,6179;1,6977;0,0336;0,0298;0,0181
225,8;2,869;2,8926;1,5809;1,6592;0,0329;0,03;0,0177
225,9;2,8733;2,8857;1,5463;1,6254;0,0329;0,0302;0,0175
226;2,8705;2,8789;1,5056;1,5874;0,0334;0,0309;0,0171
226,1;2,8666;2,873;1,4701;1,5517;0,0337;0,0313;0,017
226,2;2,8619;2,8702;1,4337;1,5154;0,0344;0,0315;0,0174
226,3;2,8447;2,8648;1,3978;1,4778;0,0343;0,0314;0,0175
226,4;2,838;2,8593;1,3666;1,442;0,0336;0,0305;0,0176
226,5;2,8367;2,8599;1,3328;1,4086;0,0332;0,0309;0,017
226,6;2,8381;2,8562;1,2982;1,3729;0,0333;0,0312;0,0166
226,7;2,8335;2,866;1,2648;1,3389;0,0336;0,0311;0,0168
226,8;2,8249;2,8693;1,2327;1,3069;0,0338;0,0317;0,0163
226,9;2,815;2,8608;1,2027;1,2759;0,0338;0,0314;0,0162
227;2,8096;2,8485;1,1742;1,2469;0,0327;0,0303;0,0165
227,1;2,8047;2,8407;1,1453;1,2187;0,0328;0,0307;0,0157
227,2;2,7904;2,8205;1,1184;1,1913;0,033;0,0301;0,016
227,3;2,7763;2,8114;1,0913;1,1614;0,0331;0,03;0,0162
227,4;2,7551;2,8105;1,0631;1,132;0,034;0,0299;0,0166
227,5;2,7354;2,7919;1,037;1,1053;0,0337;0,0297;0,0166
227,6;2,7185;2,7895;1,0095;1,0774;0,0339;0,0295;0,0169
227,7;2,6953;2,7653;0,9797;1,0499;0,0334;0,0292;0,017
227,8;2,6675;2,7454;0,9551;1,0268;0,0334;0,0292;0,0167
227,9;2,6373;2,7241;0,9284;1,0015;0,0335;0,0296;0,0162
228;2,5985;2,6986;0,904;0,975;0,0334;0,0295;0,0162
228,1;2,5632;2,6731;0,8822;0,951;0,0339;0,0292;0,0166
228,2;2,5214;2,6416;0,8585;0,9251;0,0334;0,0291;0,0163
228,3;2,4827;2,6091;0,8371;0,9004;0,0336;0,029;0,0166
228,4;2,445;2,5746;0,8154;0,8801;0,0329;0,0294;0,016
228,5;2,4016;2,5423;0,7927;0,8583;0,0328;0,0299;0,0153
228,6;2,367;2,5046;0,7722;0,8382;0,0327;0,03;0,0148
228,7;2,3257;2,46;0,7518;0,8161;0,0323;0,0293;0,0151
228,8;2,2838;2,4131;0,7321;0,7945;0,0331;0,0292;0,0159
228,9;2,244;2,3675;0,7144;0,7749;0,0336;0,0292;0,0163
229;2,1927;2,3225;0,6959;0,7554;0,0342;0,0295;0,0167
229,1;2,1417;2,2796;0,6764;0,7362;0,0341;0,0296;0,0165
229,2;2,0985;2,2391;0,6586;0,7179;0,0336;0,0289;0,0165
229,3;2,0524;2,196;0,6401;0,6996;0,0331;0,0289;0,0162
229,4;2,0135;2,153;0,6223;0,6826;0,0327;0,0292;0,0158
229,5;1,9705;2,1095;0,6071;0,6668;0,0329;0,0289;0,0159
229,6;1,9244;2,0629;0,5906;0,6505;0,0329;0,029;0,0159
229,7;1,8811;2,0147;0,5767;0,6354;0,033;0,0292;0,0153
229,8;1,8338;1,966;0,5622;0,6206;0,0325;0,0291;0,0153
229,9;1,7922;1,9199;0,5477;0,6058;0,0315;0,0292;0,0146
230;1,7516;1,8761;0,5348;0,5906;0,0313;0,029;0,0143
230,1;1,7085;1,832;0,5211;0,5752;0,0312;0,0286;0,015
230,2;1,6653;1,7908;0,5071;0,5581;0,0311;0,0278;0,0153
230,3;1,6255;1,7514;0,4949;0,5447;0,0319;0,028;0,0157
230,4;1,5822;1,7082;0,4818;0,5316;0,0323;0,0287;0,0159
230,5;1,5423;1,6683;0,4692;0,5203;0,0322;0,0283;0,0155
230,6;1,5049;1,6281;0,4576;0,509;0,0326;0,0281;0,0155
230,7;1,4648;1,5855;0,4455;0,4967;0,0325;0,0284;0,0152
230,8;1,4295;1,5498;0,4337;0,485;0,0321;0,0278;0,0147
230,9;1,3914;1,5114;0,4229;0,473;0,0322;0,0289;0,0146
231;1,3535;1,4732;0,4108;0,4612;0,0319;0,0287;0,0144
231,1;1,3199;1,4397;0,3999;0,4509;0,0315;0,0284;0,0142
231,2;1,2847;1,4029;0,3895;0,4392;0,0314;0,0282;0,0147
231,3;1,2531;1,3684;0,3785;0,4283;0,0315;0,028;0,0148
231,4;1,2247;1,3363;0,3702;0,419;0,032;0,0285;0,0147
231,5;1,194;1,3025;0,3602;0,409;0,0321;0,0286;0,0143
231,6;1,1644;1,2711;0,351;0,4001;0,032;0,0287;0,0135
231,7;1,1361;1,2417;0,3423;0,391;0,0316;0,028;0,0134
231,8;1,1072;1,2115;0,3332;0,3814;0,0309;0,028;0,0133
231,9;1,0807;1,1839;0,3249;0,373;0,031;0,0278;0,0137
232;1,0537;1,1571;0,3167;0,3649;0,0305;0,0285;0,013
232,1;1,0265;1,1288;0,3081;0,3556;0,0305;0,0285;0,0133
232,2;1,0011;1,1025;0,3011;0,3481;0,0308;0,0286;0,0135
232,3;0,9744;1,0751;0,2938;0,3392;0,031;0,0283;0,0138
232,4;0,9496;1,0485;0,2866;0,3314;0,0315;0,0277;0,0146
232,5;0,9264;1,025;0,2798;0,3252;0,0313;0,028;0,0139
232,6;0,9034;1,0002;0,272;0,3176;0,031;0,0276;0,0138
232,7;0,8801;0,9759;0,2656;0,3104;0,031;0,0279;0,0136
232,8;0,8599;0,9527;0,2592;0,3032;0,0309;0,0278;0,0138
232,9;0,8382;0,929;0,253;0,2962;0,0307;0,0277;0,0138
233;0,8181;0,9083;0,247;0,2902;0,0309;0,0277;0,0136
233,1;0,7997;0,8886;0,2408;0,2843;0,0308;0,0279;0,0136
233,2;0,7794;0,8673;0,2349;0,2777;0,0307;0,0275;0,0138
233,3;0,7611;0,8479;0,2297;0,2724;0,031;0,0278;0,0137
233,4;0,7416;0,8255;0,2239;0,2654;0,0309;0,0275;0,014
233,5;0,7227;0,804;0,219;0,2594;0,0314;0,0269;0,0144
233,6;0,7052;0,7854;0,2141;0,2541;0,0314;0,0276;0,0141
233,7;0,6863;0,7674;0,2085;0,2485;0,0309;0,0276;0,0139
233,8;0,6686;0,7502;0,2041;0,2441;0,0309;0,0281;0,0135
233,9;0,652;0,7337;0,1994;0,2398;0,0306;0,0286;0,0132
234;0,6358;0,7159;0,1942;0,2349;0,0305;0,028;0,0128
234,1;0,6207;0,6987;0,19;0,2297;0,0313;0,0278;0,0135
234,2;0,6078;0,6829;0,1858;0,2256;0,0309;0,0278;0,0135
234,3;0,5937;0,6674;0,1814;0,2208;0,0311;0,0271;0,0139
234,4;0,581;0,6536;0,1778;0,2165;0,0313;0,0268;0,0143
234,5;0,5676;0,64;0,1738;0,2127;0,0305;0,0267;0,0136
234,6;0,5536;0,6242;0,1698;0,2073;0,0304;0,0262;0,0142
234,7;0,5397;0,6118;0,1659;0,2035;0,0299;0,0266;0,0135
234,8;0,5265;0,5978;0,1622;0,2006;0,0295;0,0267;0,0135
234,9;0,5134;0,5836;0,1588;0,1964;0,03;0,0265;0,014
235;0,5013;0,572;0,1562;0,1931;0,0306;0,0263;0,0143
235,1;0,4894;0,559;0,1525;0,1888;0,031;0,0261;0,0146
235,2;0,4774;0,5465;0,1493;0,1845;0,031;0,0261;0,0149
235,3;0,4658;0,5347;0,1458;0,1809;0,031;0,0256;0,0149
235,4;0,4543;0,5224;0,1416;0,1776;0,0306;0,0255;0,0145
235,5;0,4434;0,5109;0,1384;0,1747;0,0307;0,026;0,0143
235,6;0,4326;0,4995;0,1349;0,1719;0,0307;0,0264;0,0136
235,7;0,4211;0,4872;0,1313;0,1683;0,0302;0,0265;0,0133
235,8;0,4103;0,4762;0,1284;0,1654;0,0305;0,0267;0,0134
235,9;0,4001;0,4641;0,1258;0,1623;0,0305;0,0263;0,0139
236;0,3891;0,4543;0,1235;0,1594;0,0308;0,0263;0,014
236,1;0,3806;0,4456;0,1214;0,157;0,0311;0,0268;0,0137
236,2;0,3711;0,4366;0,1189;0,1545;0,0308;0,027;0,0128
236,3;0,3623;0,4278;0,1162;0,1518;0,0304;0,0275;0,0121
236,4;0,3549;0,4189;0,1137;0,149;0,0304;0,0274;0,0123
236,5;0,3468;0,4097;0,1117;0,1466;0,0306;0,0268;0,0128
