X MnCl+;Y MnCl+;X MnCl2;Y MnCl2;X MnCl3-;Y MnCl3-;X MnClH2O;Y MnClH2O;X MnCl2aq;Y MnCl2aq;X MnH2O;Y MnH2O
185,5;1,53E-06;199,88;0,175881927;184,2;0,007370385;165,62;0,017497535;172,78;0,030834092;131,36;0
186;5,81E-06;200,16;0,260564679;184,4;0,011662402;165,84;0,02965329;172,96;0,046700088;131,52;0
186,5;2,09E-05;200,44;0,381609242;184,6;0,018300198;166,06;0,049547248;173,14;0,070153853;131,68;0
187;0,000071726;200,72;0,55254925;184,8;0,0284784;166,28;0,08163214;173,32;0,104534018;131,84;0
187,5;0,000233757;201;0,791063442;185;0,043953096;166,5;0,132629957;173,5;0,154511517;132;0
188;0,000725259;201,28;1,119899293;185,2;0,067282066;166,72;0,212522139;173,68;0,226561338;132,16;0
188,5;0,002143768;201,56;1,567879817;185,4;0,102156703;166,94;0,335885865;173,86;0,329577033;132,32;1,00E-10
189;0,006041319;201,84;2,170956973;185,6;0,153855752;167,16;0,523656929;174,04;0,4756621;132,48;3,00E-10
189,5;0,01624284;202,12;2,973257431;185,8;0,229858939;167,38;0,80540051;174,22;0,681137384;132,64;8,00E-10
190;0,041693762;202,4;4,0280474;186;0,340667884;167,6;1,222162861;174,4;0,967808292;132,8;2,30E-09
190,5;0,102248524;202,68;5,398523868;186,2;0,500892269;167,82;1,829955776;174,58;1,364539501;132,96;6,20E-09
191;0,239724961;202,96;7,158322118;186,4;0,730671016;168,04;2,70388815;174,76;1,909187278;133,12;1,63E-08
191,5;0,537685857;203,24;9,391615872;186,6;1,057510754;168,26;3,94290188;174,94;2,650939923;133,28;4,23E-08
192;1,154483211;203,52;12,19267967;186,8;1,518636659;168,48;5,674991164;175,12;3,653114221;133,44;1,08E-07
192,5;2,374490631;203,8;15,66478559;187;2,163962982;168,7;8,062685716;175,3;4,996449401;133,6;0,000000268
193;4,681155316;204,08;19,91832092;187,2;3,05980109;168,92;11,3084634;175,48;6,782928846;133,76;6,55E-07
193,5;8,851301447;204,36;25,06804134;187,4;4,293430285;169,14;15,65963421;175,66;9,140142893;133,92;1,57E-06
194;16,06202616;204,64;31,22941719;187,6;5,978659182;169,36;21,41211771;175,84;12,22618264;134,08;3,69E-06
