formal;Cl-1;H+1;Mn(OH)4-2;Mn+2;Mn2(OH)3+;Mn2OH+3;MnCl+;MnCl2 (aq);MnCl3-;MnOH+;OH-
1,62;1,0573;3,28E-06;1,21E-27;0,38555;4,17E-09;1,05E-06;0,40766;0,76649;0,22321;1,81E-06;1,92E-09
1,63;1,0958;0,096594;1,5418E-45;0,37416;1,5218E-22;3,3486E-11;0,41;0,79892;0,24112;5,9304E-11;6,486E-14
0,893;0,82469;2,76E-06;1,71E-27;0,23092;2,85E-09;4,67E-07;0,19044;0,27929;0,063437;1,34E-06;2,38E-09
0,876;0,86175;8,75E-02;1,58E-45;0,21929;7,95E-23;1,32E-11;0,18897;0,28958;0,068731;4,00E-11;7,46E-14
0,00047;0,00090123;1,16E-07;1,11E-24;0,0003974;1,28E-10;3,43E-11;3,58E-07;5,74E-10;1,42E-13;5,72E-08;5,89E-08
0,000515;0,078952;7,82E-02;2,51E-48;0,00018452;9,07E-29;1,10E-17;0,000014568;2,05E-06;4,45E-08;3,94E-14;8,74E-14
