Species;1,67 M;0,831 M;0,431 M;0,22 M;0,116 M;0,0576 M
Mn2OH+3;4,57E-11;4,34E-11;3,10E-11;1,45E-11;5,07E-12;1,33E-12
MnOH+;9,36E-11;6,70E-11;4,39E-11;2,50E-11;1,39E-11;7,30E-12
