CF;total Mn conc;total Cl conc;pH;Mn+2;MnBr+;MnCO3 (aq);MnCl+;MnCl2 (aq);MnCl3-;MnF+;MnHCO3+;MnOH+;MnSO4 (aq)
7,25;8,92E-08;3,983875;7,913;3,2698E-09;4,4283E-11;4,6169E-09;1,1076E-08;3,106E-08;3,1535E-08;1,4731E-11;7,3211E-10;8,7734E-12;6,8133E-09
7,5;9,23E-08;4,12125;7,908;3,0448E-09;4,4999E-11;4,5842E-09;1,1093E-08;3,2236E-08;3,3722E-08;1,4673E-11;7,327E-10;8,398E-12;6,7658E-09
7,75;9,53E-08;4,258625;7,904;2,8373E-09;4,5663E-11;4,5492E-09;1,1098E-08;3,3381E-08;3,594E-08;1,4604E-11;7,3252E-10;8,043E-12;6,7146E-09
8;9,84E-08;4,396;7,9;2,6461E-09;4,6281E-11;4,5125E-09;1,1092E-08;3,4497E-08;3,8187E-08;1,4525E-11;7,3168E-10;7,7074E-12;6,6605E-09
8,25;1,01E-07;4,533375;7,896;2,4698E-09;4,6857E-11;4,4744E-09;1,1076E-08;3,5585E-08;4,0461E-08;1,4438E-11;7,3026E-10;7,3901E-12;6,604E-09
8,5;1,05E-07;4,67075;7,892;2,3072E-09;4,7393E-11;4,4352E-09;1,1052E-08;3,6646E-08;4,276E-08;1,4344E-11;7,2833E-10;7,0903E-12;6,5459E-09
8,75;1,08E-07;4,808125;7,888;2,1571E-09;4,7894E-11;4,3953E-09;1,1021E-08;3,768E-08;4,5082E-08;1,4245E-11;7,2597E-10;6,8067E-12;6,4866E-09
9;1,11E-07;4,9455;7,884;2,0187E-09;4,8366E-11;4,355E-09;1,0984E-08;3,8693E-08;4,7433E-08;1,4143E-11;7,2327E-10;6,5385E-12;6,4266E-09
9,25;1,14E-07;5,082875;7,881;1,8907E-09;4,8805E-11;4,3143E-09;1,0942E-08;3,9678E-08;4,9799E-08;1,4036E-11;7,2021E-10;6,2848E-12;6,366E-09
9,5;1,17E-07;5,22025;7,878;1,7724E-09;4,9215E-11;4,2734E-09;1,0894E-08;4,064E-08;5,2183E-08;1,3926E-11;7,1688E-10;6,0448E-12;6,3051E-09
9,75;1,20E-07;5,357625;7,875;1,6629E-09;4,9601E-11;4,2326E-09;1,0843E-08;4,158E-08;5,4585E-08;1,3814E-11;7,133E-10;5,8174E-12;6,2443E-09
10;1,23E-07;5,495;7,871;1,5615E-09;4,9962E-11;4,1919E-09;1,0788E-08;4,2498E-08;5,7003E-08;1,37E-11;7,0953E-10;5,602E-12;6,1837E-09
