NaCl conc;Cl-1;H+1;Mn(OH)4-2;Mn+2;Mn2(OH)3+;Mn2OH+3;MnCl+;MnCl2 (aq);MnCl3-;MnOH+;Na+1;NaCl (aq);NaOH (aq);OH-;;
8,75;3,2551;1,30E-07;3,17E-29;3,48E-07;1,17E-16;7,55E-18;5,43E-06;0,000032527;6,17E-05;1,04E-10;3,2553;5,4953;1,05E-07;2,48E-08;;
9;3,2929;1,29E-07;2,70E-29;3,16E-07;1,00E-16;6,06E-18;5,23E-06;0,000032176;6,23E-05;9,63E-11;3,2931;5,7076;1,05E-07;2,41E-08;;
9,25;3,3293;1,28E-07;2,30E-29;2,88E-07;8,56E-17;4,89E-18;5,05E-06;0,000031831;6,28E-05;8,93E-11;3,3295;5,92;1,05E-07;2,35E-08;;
9,5;3,365;1,27E-07;1,97E-29;2,63E-07;7,35E-17;3,96E-18;4,87E-06;0,000031499;6,34E-05;8,29E-11;3,3653;6,1341;1,04E-07;2,28E-08;;
9,75;3,3999;1,26E-07;1,69E-29;2,41E-07;6,33E-17;3,23E-18;4,71E-06;0,000031175;6,39E-05;7,72E-11;3,4002;6,3491;1,04E-07;2,22E-08;;
10;3,4339;1,26E-07;1,45E-29;2,21E-07;5,47E-17;2,65E-18;4,55E-06;0,000030859;6,44E-05;7,19E-11;3,4342;6,565;1,04E-07;2,16E-08;;
10,25;3,4675;1,25E-07;1,25E-29;2,03E-07;4,74E-17;2,18E-18;4,40E-06;0,000030556;6,48E-05;6,72E-11;3,4678;6,7828;1,03E-07;2,11E-08;;
10,5;3,5;1,24E-07;1,08E-29;1,87E-07;4,12E-17;1,80E-18;4,26E-06;0,000030258;6,53E-05;6,28E-11;3,5003;7,0004;1,03E-07;2,05E-08;;
10,75;3,5317;1,23E-07;9,37E-30;1,73E-07;3,59E-17;1,50E-18;4,13E-06;0,000029968;6,57E-05;5,88E-11;3,532;7,2188;1,03E-07;2,00E-08;;
11;3,5628;1,22E-07;8,14E-30;1,60E-07;3,13E-17;1,25E-18;4,01E-06;0,000029685;6,62E-05;5,51E-11;3,563;7,4379;1,02E-07;1,95E-08;;
11,25;3,5927;1,21E-07;7,09E-30;1,48E-07;2,74E-17;1,04E-18;3,89E-06;0,000029405;6,66E-05;5,17E-11;3,5929;7,6564;1,02E-07;1,90E-08;;
11,5;3,6223;1,20E-07;6,18E-30;1,37E-07;2,41E-17;8,75E-19;3,78E-06;0,000029136;6,69E-05;4,86E-11;3,6226;7,8767;1,01E-07;1,85E-08;;
11,75;3,6514;1,19E-07;5,40E-30;1,27E-07;2,12E-17;7,37E-19;3,67E-06;0,000028874;6,73E-05;4,57E-11;3,6516;8,0975;1,01E-07;1,81E-08;;
12;3,6798;1,18E-07;4,73E-30;1,19E-07;1,87E-17;6,23E-19;3,57E-06;0,000028619;6,77E-05;4,30E-11;3,68;8,319;1,00E-07;1,77E-08;;
12,25;3,7076;1,17E-07;4,15E-30;1,10E-07;1,65E-17;5,28E-19;3,47E-06;0,000028369;6,80E-05;4,05E-11;3,7079;8,541;9,98E-08;1,72E-08;;
12,5;3,7354;1,16E-07;3,64E-30;1,03E-07;1,46E-17;4,50E-19;3,38E-06;0,000028129;6,84E-05;3,83E-11;3,7357;8,7651;9,92E-08;1,68E-08;;
