Total Cl- concentration;BF(OH)3-;BF2(OH)2-;BF3OHF-;BF4-;Br-1;Ca+2;CaCl+;CaCO3 (aq);CaF+;CaH2BO3+;CaHCO3+;CaOH+;CaSO4 (aq);Cl-1;CO3-2;F-1;H+1;H10(BO3)4-2;H2BO3-;H2CO3* (aq);H2SiO4-2;H3BO3;H3SiO4-;H4SiO4;H4SiO4SO4-2;H5(BO3)2-;H8(BO3)3-;HCO3-;HF (aq);HF2-;HSO4-;K+1;KCl (aq);KF (aq);KOH (aq);KSO4-;Mg+2;Mg2CO3+2;MgCl+;MgCO3 (aq);MgF+;MgH2BO3+;MgHCO3+;MgOH+;MgSO4 (aq);Mn(OH)4-2;Mn+2;Mn2(OH)3+;Mn2OH+3;MnBr+;MnCl+;MnCl2 (aq);MnCl3-;MnCO3 (aq);MnF+;MnHCO3+;MnOH+;MnSO4 (aq);Na+1;NaCl (aq);NaCO3-;NaF (aq);NaH2BO3 (aq);NaHCO3 (aq);NaOH (aq);NaSO4-;OH-;SiF6-2;SO4-2;Sr+2;SrCl+;SrCO3 (aq);SrF+;SrH2BO3+;SrHCO3+;SrOH+;SrSO4 (aq);;
0,6;6,28E-10;8,94E-15;4,64E-22;3,04E-28;0,00063372;0,002114;0,0020547;0,000040567;7,29E-07;8,43E-07;0,000034741;7,96E-08;0,00017896;0,38693;1,16E-05;0,000024974;5,23E-09;5,34E-16;6,99E-06;0,000015184;1,13E-11;0,000062992;9,35E-07;0,000033852;3,61E-09;3,75E-10;2,36E-12;0,0012904;1,98E-10;1,97E-14;1,89E-10;0,00066629;0,00012921;7,61E-09;2,19E-09;1,74E-06;9,54E-03;4,10E-06;0,014701;9,18E-05;0,000018932;2,29E-06;0,00012632;6,85E-06;0,00064177;1,63E-24;2,56E-09;5,56E-17;3,11E-20;2,24E-12;9,92E-10;6,82E-10;7,27E-11;1,49E-09;2,02E-12;6,60E-11;1,22E-11;1,68E-10;3,06E-01;5,93E-02;0,000065819;0,000007994;3,36E-06;1,98E-04;7,26E-07;0,00062078;1,89E-06;1,01E-35;3,70E-04;2,14E-05;0,000012807;1,60E-07;1,94E-09;5,25E-09;4,47E-07;2,66E-10;1,58E-06;;
0,65;6,33E-10;9,18E-15;4,84E-22;3,23E-28;0,00063634;0,0020964;0,0021985;0,000039514;7,23E-07;8,30E-07;0,000034359;7,76E-08;0,00017449;0,41749;1,14E-05;0,000024982;5,31E-09;5,35E-16;6,94E-06;0,000015376;1,10E-11;0,000063506;9,30E-07;0,000034171;3,58E-09;3,75E-10;2,38E-12;0,001287;2,01E-10;2,00E-14;1,89E-10;0,00066362;0,00013886;7,58E-09;2,14E-09;1,71E-06;9,38E-03;3,89E-06;0,015587;8,86E-05;0,00001861;2,24E-06;0,00012379;6,62E-06;0,00062005;1,52E-24;2,56E-09;5,25E-17;3,04E-20;2,24E-12;1,07E-09;7,92E-10;9,11E-11;1,45E-09;2,02E-12;6,56E-11;1,19E-11;1,65E-10;3,38E-01;7,08E-02;0,000071543;8,85E-06;3,69E-06;2,18E-04;7,90E-07;0,00067546;1,86E-06;1,09E-35;3,63E-04;2,14E-05;0,000013808;1,57E-07;1,94E-09;5,21E-09;4,46E-07;2,62E-10;1,55E-06;;
0,7;6,38E-10;9,41E-15;5,05E-22;3,43E-28;0,0006392;0,0020812;0,0023428;0,000038583;7,18E-07;8,18E-07;0,00003404;7,58E-08;0,00017066;0,44816;1,12E-05;0,000024997;5,39E-09;5,37E-16;6,90E-06;0,000015569;1,08E-11;0,000064012;9,25E-07;0,000034482;3,56E-09;3,76E-10;2,41E-12;0,0012843;2,04E-10;2,03E-14;1,89E-10;0,00066122;0,00014852;7,56E-09;2,10E-09;1,68E-06;9,23E-03;3,70E-06;0,016463;8,57E-05;0,000018321;2,19E-06;0,00012155;6,40E-06;0,00060102;1,42E-24;2,55E-09;4,97E-17;2,98E-20;2,25E-12;1,14E-09;9,10E-10;1,12E-10;1,43E-09;2,01E-12;6,53E-11;1,17E-11;1,62E-10;3,69E-01;8,30E-02;0,000076857;9,67E-06;4,00E-06;2,38E-04;8,49E-07;0,00072681;1,83E-06;1,18E-35;3,58E-04;2,14E-05;0,000014827;1,54E-07;1,94E-09;5,18E-09;4,45E-07;2,58E-10;1,53E-06;;
0,75;6,44E-10;9,65E-15;5,27E-22;3,63E-28;0,00064233;0,0020684;0,0024878;0,00003772;7,14E-07;8,08E-07;0,000033773;7,41E-08;0,00016722;0,47882;1,10E-05;0,000025008;5,47E-09;5,38E-16;6,85E-06;0,000015774;1,06E-11;0,000064523;9,19E-07;0,000034791;3,54E-09;3,76E-10;2,43E-12;0,0012821;2,07E-10;2,06E-14;1,89E-10;0,00065913;0,00015818;7,53E-09;2,06E-09;1,65E-06;9,09E-03;3,53E-06;0,017329;8,31E-05;0,000018058;2,14E-06;0,00011954;6,21E-06;0,00058376;1,32E-24;2,54E-09;4,70E-17;2,91E-20;2,25E-12;1,22E-09;1,04E-09;1,37E-10;1,40E-09;2,01E-12;6,50E-11;1,15E-11;1,59E-10;4,01E-01;9,61E-02;0,000081972;1,05E-05;4,31E-06;2,57E-04;9,06E-07;0,00077693;1,80E-06;1,27E-35;3,53E-04;2,14E-05;0,000015864;1,52E-07;1,94E-09;5,15E-09;4,45E-07;2,54E-10;1,51E-06;;
0,8;6,50E-10;9,88E-15;5,47E-22;3,83E-28;0,00064533;0,0020532;0,0026311;0,000037082;7,11E-07;8,00E-07;0,000033522;7,27E-08;0,00016462;0,51017;1,09E-05;0,000025077;5,52E-09;5,43E-16;6,83E-06;0,000015924;1,05E-11;0,000064968;9,18E-07;0,000035063;3,54E-09;3,78E-10;2,45E-12;0,001282;2,10E-10;2,09E-14;1,89E-10;0,00065678;0,00016793;7,53E-09;2,03E-09;1,63E-06;8,95E-03;3,39E-06;0,018172;8,10E-05;0,000017822;2,10E-06;0,00011765;6,04E-06;0,00056982;1,26E-24;2,52E-09;4,49E-17;2,84E-20;2,25E-12;1,29E-09;1,17E-09;1,64E-10;1,38E-09;2,00E-12;6,46E-11;1,13E-11;1,57E-10;4,25E-01;1,09E-01;0,000086115;1,12E-05;4,56E-06;2,73E-04;9,50E-07;0,00081733;1,78E-06;1,36E-35;3,50E-04;2,14E-05;0,000016904;1,50E-07;1,95E-09;5,14E-09;4,45E-07;2,51E-10;1,49E-06;;
0,85;6,55E-10;1,01E-14;5,70E-22;4,06E-28;0,00064886;0,0020438;0,0027767;0,000036317;7,08E-07;7,91E-07;0,000033326;7,12E-08;0,00016172;0,54087;1,07E-05;0,000025083;5,61E-09;5,44E-16;6,78E-06;0,000016144;1,03E-11;0,000065484;9,12E-07;0,00003537;3,52E-09;3,78E-10;2,48E-12;0,0012804;2,13E-10;2,13E-14;1,89E-10;0,00065516;0,0001776;7,51E-09;1,99E-09;1,60E-06;8,83E-03;3,25E-06;0,019017;7,87E-05;0,000017597;2,06E-06;0,00011598;5,86E-06;0,00055511;1,17E-24;2,52E-09;4,24E-17;2,78E-20;2,25E-12;1,36E-09;1,31E-09;1,95E-10;1,35E-09;2,00E-12;6,43E-11;1,10E-11;1,55E-10;4,56E-01;1,24E-01;0,000090919;1,20E-05;4,86E-06;2,93E-04;1,00E-06;0,00086557;1,75E-06;1,47E-35;3,45E-04;2,15E-05;0,000017973;1,48E-07;1,95E-09;5,12E-09;4,46E-07;2,48E-10;1,48E-06;;
0,9;6,61E-10;1,04E-14;5,95E-22;4,30E-28;0,00065257;0,0020356;0,0029226;0,000035598;7,05E-07;7,82E-07;0,000033156;6,98E-08;0,00015903;0,57159;1,05E-05;0,000025088;5,69E-09;5,44E-16;6,74E-06;0,000016369;1,00E-11;0,000066;9,06E-07;0,000035676;3,51E-09;3,78E-10;2,50E-12;0,001279;2,16E-10;2,16E-14;1,90E-10;0,00065371;0,00018727;7,50E-09;1,95E-09;1,58E-06;8,72E-03;3,12E-06;0,019853;7,65E-05;0,000017386;2,02E-06;0,00011445;5,70E-06;0,00054144;1,09E-24;2,51E-09;4,00E-17;2,71E-20;2,26E-12;1,43E-09;1,46E-09;2,29E-10;1,32E-09;1,99E-12;6,39E-11;1,08E-11;1,52E-10;4,87E-01;1,40E-01;0,000095568;1,28E-05;5,15E-06;3,12E-04;1,05E-06;0,0009128;1,72E-06;1,59E-35;3,41E-04;2,15E-05;0,000019059;1,46E-07;1,96E-09;5,10E-09;4,47E-07;2,44E-10;1,46E-06;;
0,95;6,66E-10;1,06E-14;6,20E-22;4,56E-28;0,00065642;0,0020283;0,0030687;0,000034918;7,03E-07;7,74E-07;0,000033008;6,84E-08;0,00015653;0,60232;1,04E-05;0,000025091;5,78E-09;5,45E-16;6,69E-06;0,000016598;9,84E-12;0,000066516;9,01E-07;0,00003598;3,50E-09;3,79E-10;2,52E-12;0,0012779;2,19E-10;2,19E-14;1,90E-10;0,00065243;0,00019695;7,48E-09;1,92E-09;1,56E-06;8,62E-03;3,00E-06;0,02068;7,44E-05;0,000017189;1,98E-06;0,00011303;5,54E-06;0,00052867;1,02E-24;2,49E-09;3,77E-17;2,64E-20;2,26E-12;1,50E-09;1,61E-09;2,67E-10;1,30E-09;1,98E-12;6,36E-11;1,06E-11;1,49E-10;5,18E-01;1,56E-01;0,00010007;1,36E-05;5,44E-06;3,32E-04;1,10E-06;0,00095909;1,69E-06;1,72E-35;3,37E-04;2,16E-05;0,00002016;1,45E-07;1,97E-09;5,08E-09;4,48E-07;2,41E-10;1,45E-06;;
1;6,7119E-10;1,0911E-14;6,4544E-22;4,8291E-28;0,0006604;0,0020216;0,0032148;0,000034273;7,0028E-07;7,6569E-07;0,000032875;6,703E-08;0,00015417;0,63307;0,000010215;0,000025094;5,8604E-09;5,4609E-16;6,6428E-06;0,00001683;9,6349E-12;0,000067031;8,9489E-07;0,000036282;3,4833E-09;3,7899E-10;2,5404E-12;0,0012769;2,2258E-10;2,2236E-14;1,9064E-10;0,00065128;0,00020665;7,4704E-09;1,8808E-09;1,5349E-06;0,0085292;2,8911E-06;0,021496;0,00007247;0,000017001;1,9465E-06;0,00011171;5,3886E-06;0,00051666;9,4807E-25;2,4807E-09;3,5551E-17;2,5687E-20;2,2614E-12;1,5705E-09;1,768E-09;3,0828E-10;1,2701E-09;1,9686E-12;6,3204E-11;1,0355E-11;1,4685E-10;0,54908;0,17422;0,00010444;0,000014428;5,7279E-06;0,00035141;1,1487E-06;0,0010045;1,6618E-06;1,8487E-35;0,00033289;0,000021698;0,000021275;1,4311E-07;1,9769E-09;5,0672E-09;4,4934E-07;2,3822E-10;1,4411E-06;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
