conc;Mn(OH)4-2;Mn+2;Mn2(OH)3+;Mn2OH+3;MnCl+;MnCl2 (aq);MnCl3-;MnOH+
1,77;4,36E-26;26,0474576;1,76E-07;7,44E-05;26,2762712;32,4096045;15,2621469;1,46E-04
0,879;2,22E-25;45,3981797;2,64E-07;1,65E-04;24,3606371;22,254835;7,9904437;2,35E-04
0,419;1,37E-24;70,4439141;4,15E-07;2,96E-04;17,3732697;9,9491647;2,2337232;3,77E-04
0,231;6,93E-24;85,0692641;6,58E-07;3,60E-04;10,6688312;3,7642857;0,4974459;5,50E-04
0,104;5,13E-23;93,5567308;1,39E-06;3,19E-04;5,4160577;0,9681731;0,0571606;9,48E-04
0,0596;1,58E-22;95,9983221;2,30E-06;2,47E-04;3,5822148;0,4036242;1,35E-02;1,38E-03
