X Mn cam 1;Y Mn cam 1;X Mn cam 2;Y Mn cam 2;X Mn wb 1;Y Mn wb 1;X Mn wb 2;Y Mn wb 2;X MnCl+ cam 1;Y MnCl+ cam 1;X MnCl+ cam 2;Y MnCl+ cam 2;X MnCl+ wb 1;Y MnCl+ wb 1;X MnCl+ wb 2;Y MnCl+ wb 2;X MnCl2 cam 1;Y MnCl2 cam 1;X MnCl2 cam 2;Y MnCl2 cam 2;X MnCl2 wb 1;Y MnCl2 wb 1;X MnCl2 wb 2;Y MnCl2 wb 2;X MnCl2 wb 3;Y MnCl2 wb 3;X MnCl2 wb 4;Y MnCl2 wb 4;X MnCl2 wb 5;Y MnCl2 wb 5;X MnCl3- cam 1;Y MnCl3- cam 1;X MnCl3- cam 2;Y MnCl3- cam 2;X MnCl3- cam 3;Y MnCl3- cam 3;X MnCl3- cam 4;Y MnCl3- cam 4;X MnCl3- cam 5;Y MnCl3- cam 5;X MnCl3- wb 1;Y MnCl3- wb 1;X MnCl3- wb 2;Y MnCl3- wb 2;X MnCl3- wb 3;Y MnCl3- wb 3
193,4;39,72132061;188,2;3279,154617;193,4;79,4773541;188,2;4725,451573;289;274,0763328;257,5;920,0579833;289;341,7140923;257,5;683,4860192;240,8;1609,496709;228,2;1755,584993;240,8;1937,929108;228,2;1048,651023;228,2;1173,50175;228,2;672,6396965;215,6;1361,520157;228,2;4375,154522;228,2;3628,663497;240,8;999,0301987;228,2;656,8796659;228,2;936,6333416;228,2;4836,478631;228,2;2105,696093;215,6;4794,682232
193,76;37,81676609;188,48;3153,991943;193,76;87,13554593;188,48;4730,113853;289,6;272,604179;258;877,0706851;289,6;342,5295422;258;666,5541268;241,12;1633,503945;228,48;1745,63822;241,12;1975,075831;228,48;998,1693585;228,48;1162,805546;228,48;645,4548778;215,84;1324,458355;228,48;4429,378336;228,48;3541,381238;241,12;980,9375037;228,48;674,2038642;228,48;933,158409;228,48;4794,722563;228,48;2008,337022;215,84;4761,438115
194,12;36,71108236;188,76;3027,365361;194,12;95,20841245;188,76;4720,189454;290,2;271,052967;258,5;835,4198545;290,2;343,2919494;258,5;649,6959418;241,44;1655,258198;228,76;1735,299765;241,44;2009,670536;228,76;949,1435863;228,76;1150,777691;228,76;618,5577056;216,08;1287,307696;228,76;4477,753825;228,76;3452,067709;241,44;961,7003411;228,76;691,0940944;228,76;929,3122001;228,76;4746,53411;228,76;1913,167251;216,08;4723,768342
194,48;36,43476889;189,04;2900,231477;194,48;103,6940577;189,04;4695,944774;290,8;269,3907287;259;795,2187572;290,8;343,9868793;259;633,0446907;241,76;1674,666924;229,04;1724,437969;241,76;2041,570604;229,04;901,5939338;229,04;1137,447158;229,04;592,0061387;216,32;1250,138477;229,04;4520,092725;229,04;3361,000292;241,76;941,4069402;229,04;707,470305;229,04;925,0669148;229,04;4692,154488;229,04;1820,316178;216,32;4681,746183
194,84;37,02276977;189,32;2773,484798;194,84;112,5956053;189,32;4657,775459;291,4;267,5951434;259,5;756,5706734;291,4;344,6118559;259,5;616,7344656;242,08;1691,64989;229,32;1712,93286;242,08;2070,646407;229,32;855,5366408;229,32;1122,850179;229,32;565,8545761;216,56;1213,018514;229,32;4556,235512;229,32;3268,454259;242,08;920,1485067;229,32;723,2558409;229,32;920,3957532;229,32;4631,848128;229,32;1729,897559;216,56;4635,463379
195,2;38,51529916;189,6;2647,949109;195,2;121,9228112;189,6;4606,19763;292;265,653331;260;719,5688816;292;345,1756778;260;600,8982532;242,4;1706,139502;229,6;1700,676518;242,4;2096,782057;229,6;810,9839279;229,6;1107,029775;229,6;540,1536457;216,8;1176,012946;229,6;4586,052039;229,6;3174,701467;242,4;898,0184461;229,6;738,3777167;229,6;915,2732566;229,6;4565,900425;229,6;1642,00979;216,8;4585,029105
195,56;40,9585049;189,88;2524,370691;195,56;131,6937558;189,88;4541,83754;292,6;263,5615313;260,5;684,2966678;292,6;345,6976045;260,5;585,666058;242,72;1718,081032;229,88;1687,573331;242,72;2119,876044;229,88;767,943995;229,88;1090,035231;229,88;514,9500382;217,04;1139,184079;229,88;4609,441968;229,88;3080,00914;242,72;875,1116102;229,88;752,7668833;229,88;909,6756312;229,88;4494,615402;229,88;1556,736276;217,04;4530,568878
195,92;44,40495716;190,16;2403,413386;195,92;141,936561;190,16;4465,4199;293,2;261,3246809;261;650,8273542;293,2;346,2064327;261;571,1631322;243,04;1727,432767;230,16;1673,540152;243,04;2139,841769;230,16;726,4210482;230,16;1071,921559;230,16;490,2863844;217,28;1102,591255;230,16;4626,334982;230,16;2984,638712;243,04;851,5235713;230,16;766,3584851;230,16;903,5810513;230,16;4418,313328;230,16;1474,145867;217,28;4472,223401
196,28;48,91395288;190,44;2285,655474;196,28;152,6910679;190,44;4377,755178;293,8;258,9558996;261,5;619,2243395;293,8;346,7394747;261,5;557,5083277;243,36;1734,166053;230,44;1658,506346;243,36;2156,607959;230,44;686,4153541;230,44;1052,748917;230,44;466,2011755;217,52;1066,29075;230,44;4636,690793;230,44;2888,844761;243,36;827,3499302;230,44;779,092102;230,44;896,9699371;230,44;4337,328303;230,44;1394,293365;217,52;4410,147359
196,64;54,55163001;190,72;2171,588287;196,64;164,0104087;190,72;4279,726134;294,4;256,475898;262;589,5411492;294,4;347,3414598;262;544,8125783;243,68;1738,265261;230,72;1642,413745;243,68;2170,11896;230,72;647,9233211;230,72;1032,582023;230,72;442,7287223;217,76;1030,335704;230,72;4640,498937;230,72;2792,874022;243,68;802,6856612;230,72;790,9119749;230,72;889,8252047;230,72;4252,005824;230,72;1317,220082;217,76;4344,508187
