X MnH2O;Y MnH2O;X MnCl+;Y MnCl+;X MnCl2;Y MnCl2;X MnCl3-;Y MnCl3-
142,78;3208,42837;204,3;607,2470107;199,6;31,46053616;187,68;1073,660828
143;3236,16039;205;573,2735451;200;37,46491385;188;1220,433199
143,22;3255,42643;205,7;533,4979185;200,4;44,47387258;188,32;1380,70626
143,44;3268,296395;206,4;489,5601484;200,8;52,63653475;188,64;1554,71386
143,66;3277,152179;207,1;443,105836;201,2;62,12209597;188,96;1742,540738
143,88;3284,625392;207,8;395,694496;201,6;73,12205605;189,28;1944,10621
144,1;3293,525241;208,5;348,7259329;202;85,85248702;189,6;2159,149875
144,32;3306,75868;209,2;303,387961;202,4;100,5562623;189,92;2387,219893
144,54;3327,245229;209,9;260,6262536;202,8;117,5051525;190,24;2627,664301
144,76;3357,829006;210,6;221,1349429;203,2;137,0016735;190,56;2879,625846
144,98;3401,190628;211,3;185,3649761;203,6;159,3805584;190,88;3142,040678
145,2;3459,761634;212;153,5462353;204;185,009706;191,2;3413,641186
145,42;3535,644009;212,7;125,7190348;204,4;214,2904509;191,52;3692,963162
145,64;3630,537258;213,4;101,7707357;204,8;247,6569945;191,84;3978,357345
145,86;3745,675249;214,1;81,47372795;205,2;285,5748341;192,16;4268,005281
146,08;3881,774784;214,8;64,5217836;205,6;328,5380389;192,48;4559,939316
146,3;4038,997516;215,5;50,56263658;206;377,0652353;192,8;4852,066417
146,52;4216,92648;216,2;39,22548876;206,4;431,6941894;193,12;5142,195381
146,74;4414,558063;216,9;30,14288277;206,8;492,9749089;193,44;5428,066915
146,96;4630,309833;217,6;22,96698082;207,2;561,4612283;193,76;5707,385953
147,18;4862,044163;218,3;17,38071747;207,6;637,7008889;194,08;5977,855518
147,4;5107,107162;219;13,10456193;208;722,2241856;194,4;6237,21138
147,62;5362,381918;219,7;9,899748658;208,4;815,5313078;194,72;6483,256718
147,84;5624,354701;220,4;7,568845722;208,8;918,0785681;195,04;6713,896027
148,06;5889,192298;221,1;5,954459417;209,2;1030,263775;195,36;6927,167476
148,28;6152,828368;221,8;4,936751522;209,6;1152,411061;195,68;7121,273005
148,5;6411,056391;222,5;4,430299337;210;1284,755544;196;7294,605506
148,72;6659,62657;223,2;4,380678087;210,4;1427,428225;196,32;7445,772487
148,94;6894,343941;223,9;4,761005474;210,8;1580,441581;196,64;7573,615762
149,16;7111,164892;224,6;5,568568556;211,2;1743,676321;196,96;7677,226784
149,38;7306,289351;225,3;6,821558887;211,6;1916,869772;197,28;7755,957372
149,6;7476,246065;226;8,555874952;212;2099,60637;197,6;7809,425701
149,82;7617,968627;226,7;10,821911;212,4;2291,310681;197,92;7837,51757
150,04;7728,860222;227,4;13,68123652;212,8;2491,243339;198,24;7840,383031
150,26;7806,84546;228,1;17,20307757;213,2;2698,500225;198,56;7818,428642
150,48;7850,40811;228,8;21,46053692;213,6;2912,015137;198,88;7772,305637
