 # Mode   Huang-Rhys factor
           1   3.6593948733089192     
           2  0.49771630907651049     
           3   1.5217259077094902E-002
           4  0.87945456531100585     
           5   1.1418515751132516     
           6   27.564220586891611     
           7   6.9439914795830365E-004
           8   8.3178745427382003E-002
           9   1.0034354568004713     
          10  0.71743371909382436     
          11   1.6642639565060104     
          12   5.5939379275224779     
          13  0.11577930609477928     
          14   5.4698226151995349E-002
          15   6.8064522631614226     
          16   9.4674367106343041E-002
          17  0.32207838865110200     
          18   13.752313468157856     
          19   1.9210801393047601E-002
          20  0.79479797038832056     
          21   1.4028136350292015     
          22   2.3720494200204969E-002
          23   1.5983793728251925     
          24   2.9857171413449612     
          25  0.11193895967670761     
          26  0.12600660307568670     
          27  0.68870225171567023     
          28   42.560547617260617     
          29   1.8064506797691409     
          30   60.904820341098379     
          31   2.5292909486385417E-002
          32   1.9862025967341288     
          33   4.4124201338544529     
