Wavelengt [nm],s1.4,s2.4,s3.4,s4.4,s5.4,s6.4,s7.4
207.5,4.691503103861687e-21,4.622737261908319e-21,4.656934329258102e-21,4.63407433314928e-21,4.658792865527112e-21,4.546537274878914e-21,4.601735802068508e-21
207.6,4.7061855403868644e-21,4.62087872563931e-21,4.6504294523165675e-21,4.62664018807324e-21,4.671430912156379e-21,4.55136946917834e-21,4.583708000259112e-21
207.7,4.724585049450062e-21,4.631286528745765e-21,4.667342132364557e-21,4.617719213981993e-21,4.640765063717716e-21,4.578689952332785e-21,4.610656776159755e-21
207.8,4.702840175102647e-21,4.660651401796121e-21,4.6628816453189336e-21,4.620507018385508e-21,4.6193918966241025e-21,4.617533360355092e-21,4.628684577969151e-21
207.9,4.709530905671082e-21,4.683697251531844e-21,4.663625059826538e-21,4.640021649210112e-21,4.6257109199387356e-21,4.608240679010042e-21,4.634817747656884e-21
208.0,4.7128762709553e-21,4.685927495054656e-21,4.691131396607884e-21,4.6807235935014284e-21,4.621993847400716e-21,4.636490430298993e-21,4.6441104290019336e-21
208.1,4.7128762709553e-21,4.683697251531844e-21,4.7007957852067356e-21,4.6823962761435376e-21,4.641694331852221e-21,4.651730427704874e-21,4.64541140439024e-21
208.2,4.732390901779904e-21,4.6823962761435376e-21,4.7270011465997756e-21,4.684812373293251e-21,4.684812373293251e-21,4.6444821362557356e-21,4.66399676708034e-21
208.3,4.7565518732770325e-21,4.678493349978617e-21,4.7446572411553695e-21,4.689830421219578e-21,4.703955296864053e-21,4.651358720451072e-21,4.685927495054656e-21
208.4,4.762685042964765e-21,4.710460173805587e-21,4.724956756703864e-21,4.656190914750498e-21,4.732762609033706e-21,4.63407433314928e-21,4.6883435922043695e-21
208.5,4.791864062388221e-21,4.723284074061755e-21,4.730532365510894e-21,4.6703157903949736e-21,4.760083092188151e-21,4.6307289678650624e-21,4.691317250234785e-21
208.6,4.802829426375379e-21,4.7195670015237355e-21,4.7247709030769626e-21,4.66789969324526e-21,4.773650406951923e-21,4.615674824086082e-21,4.691874811115488e-21
208.7,4.809891864197617e-21,4.730904072764696e-21,4.750046996335498e-21,4.666412864230053e-21,4.7701191880408054e-21,4.619206042997201e-21,4.678865057232419e-21
208.8,4.811750400466626e-21,4.713619685462904e-21,4.7563660196501314e-21,4.6807235935014284e-21,4.773092846071221e-21,4.625896773565637e-21,4.703769443237151e-21
208.9,4.791678208761319e-21,4.7191952942699335e-21,4.750046996335498e-21,4.702654321475746e-21,4.783872356431478e-21,4.6441104290019336e-21,4.7119470028207945e-21
209.0,4.80487381627129e-21,4.7444713875284684e-21,4.7558084587694284e-21,4.710088466551785e-21,4.7678889445179924e-21,4.6690148150066665e-21,4.717708465254726e-21
209.1,4.80487381627129e-21,4.745586509289874e-21,4.743727973020864e-21,4.717708465254726e-21,4.77680991860924e-21,4.678865057232419e-21,4.7320191945261016e-21
209.2,4.830149909529824e-21,4.76361431109927e-21,4.755622605142528e-21,4.727744561107379e-21,4.7701191880408054e-21,4.694290908265201e-21,4.741683583124953e-21
209.3,4.847434296831617e-21,4.762499189337864e-21,4.754321629754221e-21,4.718823587016132e-21,4.764729432860676e-21,4.692060664742389e-21,4.7491177282009924e-21
209.4,4.8632318551182005e-21,4.762685042964765e-21,4.758224555919142e-21,4.7253284639576664e-21,4.792049916015121e-21,4.683697251531844e-21,4.7697474807870026e-21
209.5,4.856355270922864e-21,4.780341137520359e-21,4.761012360322656e-21,4.724027488569359e-21,4.811006985959022e-21,4.683697251531844e-21,4.7879611362232995e-21
209.6,4.8373982009789625e-21,4.789447965238508e-21,4.770305041667706e-21,4.739825046855944e-21,4.8392567372479735e-21,4.684626519666349e-21,4.786846014461894e-21
209.7,4.8453899069357056e-21,4.7881469898502005e-21,4.779969430266557e-21,4.73350602354131e-21,4.858399660818775e-21,4.697264566295617e-21,4.8009708901063694e-21
209.8,4.851523076623438e-21,4.797253817568349e-21,4.7825713810431715e-21,4.723098220434855e-21,4.865647952267913e-21,4.720682123285142e-21,4.786846014461894e-21
209.9,4.865276245014112e-21,4.811936254093528e-21,4.797439671195251e-21,4.721983098673449e-21,4.85189478387724e-21,4.736665535198626e-21,4.77476552871333e-21
210.0,4.881073803300696e-21,4.817511862900557e-21,4.82364503258829e-21,4.709345052044181e-21,4.828291373260815e-21,4.7387099250945376e-21,4.7755089432209335e-21
210.1,4.890366484645745e-21,4.8314508849181314e-21,4.85561185641526e-21,4.724956756703864e-21,4.805431377151992e-21,4.7440996802746664e-21,4.787217721715696e-21
210.2,4.884419168584913e-21,4.8366547864713584e-21,4.870294292940438e-21,4.747259191931983e-21,4.7944660131648345e-21,4.750046996335498e-21,4.78610259995429e-21
210.3,4.905048921170924e-21,4.816210887512251e-21,4.878657706150983e-21,4.7628708965916664e-21,4.798183085702854e-21,4.759339677680547e-21,4.792421623268923e-21
210.4,4.909695261843449e-21,4.805431377151992e-21,4.879029413404785e-21,4.774207967832626e-21,4.82736210512631e-21,4.7756947968478345e-21,4.796882110314547e-21
210.5,4.915270870650478e-21,4.810821132332121e-21,4.854868441907656e-21,4.7807128447741605e-21,4.820671374557874e-21,4.79353674503033e-21,4.803572840882983e-21
210.6,4.9080225792013395e-21,4.7946518667917355e-21,4.847991857712319e-21,4.771234309802211e-21,4.816396741139151e-21,4.7877752825963985e-21,4.816396741139151e-21
210.7,4.899659165990794e-21,4.812122107720428e-21,4.847434296831617e-21,4.781642112908666e-21,4.82383088621519e-21,4.77476552871333e-21,4.829034787768419e-21
210.8,4.90820843282824e-21,4.836468932844458e-21,4.8440889315473985e-21,4.792793330522726e-21,4.812122107720428e-21,4.781270405654864e-21,4.853381612892449e-21
210.9,4.90244697039431e-21,4.841858688024587e-21,4.8637894159989035e-21,4.811006985959022e-21,4.842230395278389e-21,4.7682606517717944e-21,4.8260611297380026e-21
211.0,4.9080225792013395e-21,4.8554260027883584e-21,4.8814455105544974e-21,4.8318225921719334e-21,4.861559172476092e-21,4.7766240649823396e-21,4.8256894224842005e-21
211.1,4.9121113589931604e-21,4.864718684133409e-21,4.863975269625805e-21,4.834982103829251e-21,4.8517089302503395e-21,4.780898698401062e-21,4.8266186906187056e-21
211.2,4.9212181867113096e-21,4.847991857712319e-21,4.847062589577815e-21,4.815095765750845e-21,4.850222101235131e-21,4.78052699114726e-21,4.808405035182409e-21
211.3,4.937573305878596e-21,4.8526381983848446e-21,4.866205513148617e-21,4.802271865494676e-21,4.848549418593022e-21,4.771420163429112e-21,4.827176251499409e-21
211.4,4.956158668568696e-21,4.865833805894815e-21,4.887021119361528e-21,4.817883570154359e-21,4.8440889315473985e-21,4.773836260578824e-21,4.845204053308805e-21
211.5,4.952441596030676e-21,4.860072343460884e-21,4.883861607704211e-21,4.81249381497423e-21,4.880702096046894e-21,4.785359185446686e-21,4.8392567372479735e-21
211.6,4.954114278672785e-21,4.868993317552131e-21,4.916200138784983e-21,4.834982103829251e-21,4.913598188008369e-21,4.78981967249231e-21,4.8504079548620324e-21
211.7,4.96080500924122e-21,4.864718684133409e-21,4.899845019617696e-21,4.8336811284409436e-21,4.9195455040692004e-21,4.814724058497042e-21,4.8576562463111714e-21
211.8,4.946680133596745e-21,4.8576562463111714e-21,4.8831181931966066e-21,4.826990397872508e-21,4.925306966503131e-21,4.809891864197617e-21,4.859143075326379e-21
211.9,4.96823915431726e-21,4.854682588280755e-21,4.924935259249329e-21,4.840186005382478e-21,4.906721603813032e-21,4.804130401763686e-21,4.873825511851557e-21
212.0,4.9946303693372004e-21,4.888693802003636e-21,4.904863067544022e-21,4.848177711339221e-21,4.899845019617696e-21,4.811936254093528e-21,4.874754779986062e-21
212.1,5.0080118304740715e-21,4.915456724277379e-21,4.934042086967478e-21,4.867134781283121e-21,4.909881115470349e-21,4.816210887512251e-21,4.877356730762676e-21
212.2,5.040536215181745e-21,4.936829891370992e-21,4.9468659872236466e-21,4.867878195790726e-21,4.929395746294953e-21,4.842973809785992e-21,4.8695508784328344e-21
212.3,5.031243533836695e-21,4.960247448360517e-21,4.9321835506984675e-21,4.8634177087451015e-21,4.952627449657577e-21,4.868064049417626e-21,4.877728438016478e-21
212.4,5.012472317519695e-21,4.944449890073933e-21,4.9516981815230716e-21,4.875126487239864e-21,4.946680133596745e-21,4.895198678945171e-21,4.879215267031686e-21
212.5,4.98701037063426e-21,4.9260503810107354e-21,4.9461225727160425e-21,4.893525996303062e-21,4.935714769609587e-21,4.9007742877522005e-21,4.870294292940438e-21
212.6,4.96842500794416e-21,4.925864527383834e-21,4.935900623236488e-21,4.919917211323003e-21,4.937759159505497e-21,4.891481606407151e-21,4.885162583092517e-21
212.7,4.985523541619052e-21,4.9191737968153984e-21,4.940546963909013e-21,4.936644037744092e-21,4.942777207431824e-21,4.891295752780251e-21,4.897428922467983e-21
212.8,5.001506953532537e-21,4.926607941891438e-21,4.947423548104349e-21,4.937573305878596e-21,4.952255742403775e-21,4.877728438016478e-21,4.928466478160449e-21
212.9,5.0267830467910715e-21,4.953928425045884e-21,4.94965379162716e-21,4.9318118434446655e-21,4.9758591530202004e-21,4.8816313641813984e-21,4.946308426342943e-21
213.0,5.0219508524916465e-21,4.966752325302052e-21,4.966566471675151e-21,4.916385992411884e-21,4.980877200946527e-21,4.895756239825874e-21,4.944821597327735e-21
213.1,5.024924510522062e-21,4.986638663380458e-21,4.959875741106715e-21,4.896313800706577e-21,4.990355735918478e-21,4.9002167268714974e-21,4.929024039041151e-21
213.2,5.018047926326726e-21,4.9847801271114486e-21,4.9569020830762994e-21,4.892782581795458e-21,4.981620615454131e-21,4.893711849929963e-21,4.9089518473358446e-21
213.3,5.0076401232202695e-21,4.98329329809624e-21,4.960247448360517e-21,4.910066969097251e-21,4.973443055870488e-21,4.905234774797824e-21,4.924749405622428e-21
213.4,5.023623535133755e-21,4.9953737838448045e-21,4.963035252764032e-21,4.930325014429458e-21,4.971212812347676e-21,4.9206606258306066e-21,4.942963061058726e-21
213.5,5.016932804565319e-21,4.990169882291577e-21,4.988683053276369e-21,4.95504354680729e-21,4.971584519601478e-21,4.910066969097251e-21,4.952255742403775e-21
213.6,5.042580605077656e-21,4.9844084198576466e-21,4.991656711306785e-21,4.976230860274003e-21,4.9775318356623096e-21,4.921589893965111e-21,4.9505830597616655e-21
213.7,5.041279629689349e-21,4.979018664677517e-21,4.988683053276369e-21,4.9639645208985374e-21,4.9963030519793096e-21,4.916571846038785e-21,4.911739651739358e-21
213.8,5.044253287719765e-21,4.9587606193453096e-21,4.984965980738349e-21,4.960619155614319e-21,5.004108904309151e-21,4.914899163396676e-21,4.912854773500765e-21
213.9,5.073804014397022e-21,4.9704693978400716e-21,4.9897981750377746e-21,4.959689887479815e-21,5.023809388760656e-21,4.924563551995528e-21,4.918616235934696e-21
214.0,5.068971820097596e-21,4.997975734621418e-21,4.998905002755924e-21,4.929953307175656e-21,5.018791340834329e-21,4.9329269652060716e-21,4.934971355101983e-21
214.1,5.086999621906992e-21,5.018233779953626e-21,4.99277183306819e-21,4.92697964914524e-21,5.019163048088131e-21,4.934599647848181e-21,4.969540129705567e-21
214.2,5.0966640105058444e-21,5.0200923162226356e-21,5.000020124517329e-21,4.942963061058726e-21,5.0215791452378445e-21,4.931440136190864e-21,4.971956226855279e-21
214.3,5.100009375790062e-21,5.0147025610425075e-21,5.0013210999056356e-21,4.933484526086775e-21,4.999276710009726e-21,4.941476232043517e-21,4.9700976905862695e-21
214.4,5.099451814909358e-21,5.02083573073024e-21,5.013029878400398e-21,4.954671839553488e-21,5.031243533836695e-21,4.943520621939428e-21,4.9647079354061415e-21
214.5,5.100381083043863e-21,5.006710855085765e-21,5.041651336943151e-21,4.967309886182755e-21,5.043138165958358e-21,4.94575086546224e-21,4.9578313512108045e-21
214.6,5.1014962048052694e-21,5.0267830467910715e-21,5.05466109082622e-21,4.960061594733617e-21,5.0407220688086465e-21,4.952627449657577e-21,4.952255742403775e-21
214.7,5.085884500145586e-21,5.023065974253052e-21,5.060050846006349e-21,4.9831074444693394e-21,5.0457401167349725e-21,4.954114278672785e-21,4.9700976905862695e-21
214.8,5.0910884016988146e-21,5.023623535133755e-21,5.055776212587626e-21,4.975301592139497e-21,5.054289383572418e-21,4.9580172048377055e-21,4.974186470378092e-21
214.9,5.0892298654298044e-21,5.036447435389924e-21,5.039792800674141e-21,4.973628909497388e-21,5.056333773468329e-21,4.96638061804825e-21,4.9773459820354086e-21
215.0,5.1024254729397745e-21,5.04332401958526e-21,5.0340313382402106e-21,4.98329329809624e-21,5.061165967767754e-21,4.966938178928953e-21,4.9955596374717055e-21
215.1,5.1135766905538335e-21,5.044996702227369e-21,5.028455729433181e-21,5.00578158695126e-21,5.047598653003983e-21,4.9572737903301014e-21,4.992028418560587e-21
215.2,5.107443520866101e-21,5.036819142643726e-21,5.035332313628517e-21,5.016746950938418e-21,5.041651336943151e-21,4.9582030584646065e-21,4.9948162229641014e-21
215.3,5.118966445733963e-21,5.0410937760624485e-21,5.0407220688086465e-21,5.015817682803913e-21,5.036261581763022e-21,4.973071348616686e-21,4.991842564933686e-21
215.4,5.1098596180158146e-21,5.037934264405131e-21,5.054103529945517e-21,5.005595733324358e-21,5.031801094717398e-21,4.970283544213171e-21,4.990913296799181e-21
215.5,5.098150839521052e-21,5.039049386166537e-21,5.0702727954859034e-21,4.984222566230745e-21,5.03960694704724e-21,4.982921590842438e-21,5.0081976841009726e-21
215.6,5.117107909464953e-21,5.047598653003983e-21,5.0639537721712695e-21,4.9961171983524085e-21,5.042394751450755e-21,4.975487445766398e-21,5.019163048088131e-21
215.7,5.142198149096586e-21,5.0513157255420024e-21,5.055404505333824e-21,5.006339147831963e-21,5.0444391413466654e-21,4.971770373228379e-21,5.0515015791689034e-21
215.8,5.166359120593715e-21,5.044624994973567e-21,5.0518732864227054e-21,5.003737197055349e-21,5.042766458704556e-21,4.977903542916111e-21,5.062281089529161e-21
215.9,5.181970825253398e-21,5.060794260513953e-21,5.042394751450755e-21,4.993143540321992e-21,5.0531742618110126e-21,4.9896123214108736e-21,5.065812308440279e-21
216.0,5.177696191834675e-21,5.0643254794250715e-21,5.0515015791689034e-21,4.991285004052983e-21,5.0568913343490315e-21,4.999648417263527e-21,5.076591818800537e-21
216.1,5.164686437951606e-21,5.050572311034398e-21,5.067299137455488e-21,4.992400125814388e-21,5.0643254794250715e-21,4.988683053276369e-21,5.060608406887052e-21
216.2,5.160969365413586e-21,5.0509440182882e-21,5.074733282531527e-21,4.9963030519793096e-21,5.09406205972923e-21,4.994444515710299e-21,5.053360115437913e-21
216.3,5.1587391218907745e-21,5.055404505333824e-21,5.072874746262517e-21,5.018047926326726e-21,5.11097473977722e-21,5.011914756638992e-21,5.0513157255420024e-21
216.4,5.174536680177358e-21,5.053731822691715e-21,5.062652796782963e-21,5.023809388760656e-21,5.111718154284824e-21,5.017304511819122e-21,5.061351821394656e-21
216.5,5.1894049703294375e-21,5.057077187975933e-21,5.075848404292933e-21,5.028827436686983e-21,5.123426932779586e-21,5.031057680209794e-21,5.08086645221926e-21
