X MnCl2wH2O,Y MnCl2wH2O,X MnCl+,Y MnCl+,X MnCl3-,Y MnCl3-,X MnClH2O,Y MnClH2O,X MnCl2,Y MnCl2,X MnH2O,Y MnH2O,X MnCl2wH2O fit2,Y MnCl2wH2O fit2,X MnCl+ fit2,Y MnCl+ fit2,X MnCl3- fit2,Y MnCl3- fit2,X MnClH2O fit2,Y MnClH2O fit2,X MnCl2 fit2,Y MnCl2 fit2,X MnH2O fit2,Y MnH2O fit2
150.0,0.0,140.0,0.0,160.0,0.0,,,160.0,0.0,120.0,0.0,120.0,0.0,120.0,0.0,140.0,0.0,,,140.0,0.0,100.0,0.0
150.2,0.0,140.24,0.0,160.16,0.0,,,160.14,0.0,120.2,0.0,120.32,0.0,120.32,0.0,140.24,0.0,,,140.22,0.0,100.28,0.0
150.4,0.0,140.48,0.0,160.32,0.0,,,160.28,0.0,120.4,0.0,120.64,0.0,120.64,0.0,140.48,0.0,,,140.44,0.0,100.56,0.0
150.6,0.0,140.72,0.0,160.48,0.0,,,160.42,0.0,120.6,0.0,120.96,0.0,120.96,0.0,140.72,0.0,,,140.66,0.0,100.84,0.0
150.8,0.0,140.96,0.0,160.64,0.0,,,160.56,0.0,120.8,0.0,121.28,0.0,121.28,0.0,140.96,0.0,,,140.88,0.0,101.12,0.0
151.0,0.0,141.2,0.0,160.8,0.0,,,160.7,0.0,121.0,0.0,121.6,0.0,121.6,0.0,141.2,0.0,,,141.1,0.0,101.4,0.0
151.2,0.0,141.44,0.0,160.96,0.0,,,160.84,0.0,121.2,0.0,121.92,0.0,121.92,0.0,141.44,0.0,,,141.32,0.0,101.68,0.0
151.4,0.0,141.68,0.0,161.12,0.0,,,160.98,0.0,121.4,0.0,122.24,0.0,122.24,0.0,141.68,0.0,,,141.54,0.0,101.96,0.0
151.6,0.0,141.92,0.0,161.28,0.0,,,161.12,0.0,121.6,0.0,122.56,0.0,122.56,0.0,141.92,0.0,,,141.76,0.0,102.24,0.0
151.8,0.0,142.16,0.0,161.44,0.0,,,161.26,0.0,121.8,0.0,122.88,0.0,122.88,0.0,142.16,0.0,,,141.98,0.0,102.52,0.0
152.0,0.0,142.4,0.0,161.6,0.0,,,161.4,0.0,122.0,0.0,123.2,0.0,123.2,0.0,142.4,0.0,,,142.2,0.0,102.8,0.0
152.2,0.0,142.64,0.0,161.76,0.0,,,161.54,0.0,122.2,0.0,123.52,0.0,123.52,0.0,142.64,0.0,,,142.42,0.0,103.08,0.0
152.4,0.0,142.88,0.0,161.92,0.0,,,161.68,0.0,122.4,0.0,123.84,0.0,123.84,0.0,142.88,0.0,,,142.64,0.0,103.36,0.0
152.6,0.0,143.12,0.0,162.08,0.0,,,161.82,0.0,122.6,0.0,124.16,0.0,124.16,0.0,143.12,0.0,,,142.86,0.0,103.64,0.0
152.8,0.0,143.36,0.0,162.24,0.0,,,161.96,0.0,122.8,0.0,124.48,0.0,124.48,0.0,143.36,0.0,,,143.08,0.0,103.92,0.0
153.0,0.0,143.6,0.0,162.4,0.0,,,162.1,0.0,123.0,0.0,124.8,0.0,124.8,0.0,143.6,0.0,,,143.3,0.0,104.2,0.0
153.2,0.0,143.84,0.0,162.56,0.0,,,162.24,0.0,123.2,0.0,125.12,0.0,125.12,0.0,143.84,0.0,,,143.52,0.0,104.48,0.0
153.4,0.0,144.08,0.0,162.72,0.0,,,162.38,0.0,123.4,0.0,125.44,0.0,125.44,0.0,144.08,0.0,,,143.74,0.0,104.76,0.0
153.6,0.0,144.32,0.0,162.88,0.0,,,162.52,0.0,123.6,0.0,125.76,0.0,125.76,0.0,144.32,0.0,,,143.96,0.0,105.04,0.0
153.8,0.0,144.56,0.0,163.04,0.0,,,162.66,0.0,123.8,0.0,126.08,0.0,126.08,0.0,144.56,0.0,,,144.18,0.0,105.32,0.0
154.0,0.0,144.8,0.0,163.2,0.0,,,162.8,0.0,124.0,0.0,126.4,0.0,126.4,0.0,144.8,0.0,,,144.4,0.0,105.6,0.0
