X MnCl2wH2O,Y MnCl2wH2O,X MnCl+,Y MnCl+,X MnCl3-,Y MnCl3-,X MnClH2O,Y MnClH2O,X MnCl2,Y MnCl2,X MnH2O,Y MnH2O,X MnCl2wH2O fit2,Y MnCl2wH2O fit2,X MnCl+ fit2,Y MnCl+ fit2,X MnCl3- fit2,Y MnCl3- fit2,X MnClH2O fit2,Y MnClH2O fit2,X MnCl2 fit2,Y MnCl2 fit2,X MnH2O fit2,Y MnH2O fit2
237.76,7.660069274327469e-21,366.0,1.8292076901361677e-18,256.4,6.187248422451013e-24,245.04,1.6584483892394555e-22,300.96,9.667832779807372e-23,189.12,0.0,260.96,8.740960146130854e-23,402.4,1.1033122271670543e-19,278.24,3.7916072733311194e-23,258.24,1.679828578545334e-22,312.8,1.429740369146463e-20,205.04,0.0
237.94,6.474347557289938e-21,366.5,1.7198255695782134e-18,256.6,4.856698771172369e-24,245.26,1.3761281800066426e-22,301.24,7.815565758884092e-23,189.28,0.0,261.24,7.627955496512786e-23,403.1,1.0228016673862506e-19,278.56,3.264539023580206e-23,258.56,1.498118116904683e-22,313.2,1.2965850375290603e-20,205.26,0.0
238.12,5.4617892826303556e-21,367.0,1.6129402603786118e-18,256.8,3.806232148787779e-24,245.48,1.1390012786449684e-22,301.52,6.307873131849884e-23,189.44,0.0,261.52,6.652654267685154e-23,403.8,9.475229109930257e-20,278.88,2.809160245765527e-23,258.88,1.3348135669212886e-22,313.6,1.1750839870474926e-20,205.48,0.0
238.3,4.598894807372966e-21,367.5,1.508915667054135e-18,257.0,2.978266356692129e-24,245.7,9.403817502490868e-23,301.8,5.082778146795085e-23,189.6,0.0,261.8,5.798579541680505e-23,404.5,8.771958199933577e-20,279.2,2.415958651610761e-23,259.2,1.188206957821322e-22,314.0,1.0642983977084027e-20,205.7,0.0
238.48,3.8650541298571895e-21,368.0,1.4080738493855863e-18,257.2,2.3267502490866826e-24,245.92,7.744707738292927e-23,302.08,4.089021587512455e-23,189.76,0.0,262.08,5.0511494520093e-23,405.2,8.115497494187978e-20,279.52,2.0766484556625707e-23,259.52,1.0567297409498505e-22,314.4,9.633564445366988e-21,205.92,0.0
238.66,3.2422403254732647e-21,368.5,1.3106938752906012e-18,257.4,1.814918631683826e-24,246.14,6.362575224178014e-23,302.36,3.2842944204583194e-23,189.92,0.0,262.36,4.3974692793092e-23,405.9,7.503237598804384e-20,279.84,1.7840174360677518e-23,259.84,9.389436898040519e-23,314.8,8.714494189637994e-21,206.14,0.0
238.84,2.7147276901361675e-21,369.0,1.2170113864164728e-18,257.6,1.4134789106609102e-24,246.36,5.2142759880438385e-23,302.64,2.6337439388907344e-23,190.08,0.0,262.64,3.8261451345068083e-23,406.6,6.932667603786118e-20,280.16,1.5317929259382268e-23,260.16,8.335320823646629e-23,315.2,7.878279822318167e-21,206.36,0.0
239.02,2.268833894055131e-21,369.5,1.1272188274659583e-18,257.8,1.0991315177681835e-24,246.58,4.2627947525738955e-23,302.92,2.1087160411823315e-23,190.24,0.0,262.92,3.327117236798406e-23,407.3,6.401375911657257e-20,280.48,1.3145220856858186e-23,260.48,7.392913317834607e-23,315.6,7.117985519760878e-21,206.58,0.0
239.2,1.8926851859847225e-21,370.0,1.0414662851212224e-18,258.0,8.53379275988044e-25,246.8,3.4764838923945535e-23,303.2,1.6856991032879443e-23,190.4,0.0,263.2,2.8915109598140156e-23,408.0,5.907050473264696e-20,280.8,1.1274694453669879e-23,260.8,6.551228661574228e-23,316.0,6.4271983095317166e-21,206.8,0.0
239.38,1.5760035536366657e-21,370.5,9.59862873796081e-19,258.2,6.6156094320823655e-25,247.02,2.8283782796413155e-23,303.48,1.3454378943872466e-23,190.56,0.0,263.48,2.5115026569246098e-23,408.7,5.447478532049153e-20,281.12,9.665242444370642e-24,261.12,5.800254566589173e-23,316.4,5.799994799070077e-21,207.02,0.0
239.56,1.3099146164065097e-21,371.0,8.824785981401528e-19,258.4,5.120790435071405e-25,247.24,2.2955787113915646e-23,303.76,1.0721934573231485e-23,190.72,0.0,263.76,2.1802007638658254e-23,409.4,5.0205459000332116e-20,281.44,8.281213882431087e-24,261.44,5.130879109930256e-23,316.8,5.2309093590169384e-21,207.24,0.0
239.74,1.0867749252739955e-21,371.5,8.093466182331452e-19,258.6,3.9577382929259384e-25,247.46,1.858704583194952e-23,304.04,8.531252075722351e-24,190.88,0.0,264.04,1.891539189637994e-23,410.1,4.6242358336100966e-20,281.76,7.09170043175025e-24,261.76,4.53482165393557e-23,317.2,4.714903791099303e-21,207.46,0.0
239.92,9.000173447359682e-22,372.0,7.40465844071737e-19,258.8,3.054234473596812e-25,247.68,1.501405181002989e-23,304.32,6.777768183327799e-24,191.04,0.0,264.32,1.6401824975091332e-23,410.8,4.2566275456658915e-20,282.08,6.0699368980405185e-24,262.08,4.0045669212886086e-23,317.6,4.247338465626038e-21,207.68,0.0
240.1,7.440131335104617e-22,372.5,6.758037822982398e-19,259.0,2.3534540019926934e-25,247.9,1.2099315841912985e-23,304.6,5.376494520092992e-24,191.2,0.0,264.6,1.4214413816007973e-23,411.5,3.915894403852541e-20,282.4,5.1927482563932255e-24,262.4,3.5333043839256063e-23,318.0,3.823944910328794e-21,207.9,0.0
240.28,6.139493806044504e-22,373.0,6.152995652607107e-19,259.2,1.810760544669545e-25,248.12,9.727582198605115e-24,304.88,4.2584772500830296e-24,191.36,0.0,264.88,1.2311971105944869e-23,412.2,3.6003018548654937e-20,282.72,4.44008967120558e-24,262.72,3.114869478578545e-23,318.4,3.4407998538691465e-21,208.12,0.0
240.46,5.057204765858519e-22,373.5,5.588670903354368e-19,259.4,1.3915642643639987e-25,248.34,7.802540684158087e-24,305.16,3.3678761208900694e-24,191.52,0.0,265.16,1.0658349385586186e-23,412.9,3.308205127864497e-20,283.04,3.7946313517103955e-24,263.04,2.743690468282963e-23,318.8,3.0943006758551977e-21,208.34,0.0
240.64,4.1583235137827965e-22,374.0,5.063982079043507e-19,259.6,1.0672035868482233e-25,248.56,6.243958817668549e-24,305.44,2.659554965127865e-24,191.68,0.0,265.44,9.22184988375955e-24,413.6,3.038046727000997e-20,283.36,3.241401527731651e-24,263.36,2.414737794752574e-23,319.2,2.781142236798406e-21,208.56,0.0
240.82,3.4131824809033543e-22,374.5,4.577658985386914e-19,259.8,8.170043175024909e-26,248.78,4.9852025905014945e-24,305.72,2.0970873463965463e-24,191.84,0.0,265.72,7.974687811358352e-24,414.3,2.788353782796413e-20,283.68,2.767470939887081e-24,263.68,2.1234770840252412e-23,319.6,2.498295059780804e-21,208.78,0.0
241.0,2.796648970441714e-22,375.0,4.128273872467619e-19,260.0,6.260378611756893e-26,249.0,3.971090999667885e-24,306.0,1.6511374958485554e-24,192.0,0.0,266.0,6.892532381268682e-24,415.0,2.5577352557289937e-20,284.0,2.3616904682829624e-24,264.0,1.865825307206908e-23,320.0,2.242984807372966e-21,209.0,0.0
241.18,2.2874800896712056e-22,375.5,3.7142715061441384e-19,260.2,4.7824642975755565e-26,249.22,3.1560743938890734e-24,306.28,1.2981135835270675e-24,192.16,0.0,266.28,5.954088342743276e-24,415.7,2.3448790650946532e-20,284.32,2.0144387246761874e-24,264.32,1.6381105944868814e-23,320.4,2.0126730255728996e-21,209.22,0.0
