X MnCl2wH2O,Y MnCl2wH2O,X MnCl+,Y MnCl+,X MnCl3-,Y MnCl3-,X MnClH2O,Y MnClH2O,X MnCl2,Y MnCl2,X MnH2O,Y MnH2O,X MnCl2wH2O fit2,Y MnCl2wH2O fit2,X MnCl+ fit2,Y MnCl+ fit2,X MnCl3- fit2,Y MnCl3- fit2,X MnClH2O fit2,Y MnClH2O fit2,X MnCl2 fit2,Y MnCl2 fit2,X MnH2O fit2,Y MnH2O fit2
216.6,2.2898041962803058e-17,278.1,9.024003747924278e-20,231.24,5.972704460312189e-18,211.24,7.819113015609433e-18,245.88,1.2663817089006974e-17,169.28,1.488245898206576e-18,198.56,1.5205477314845566e-18,264.7,3.705933553636666e-19,233.2,5.342484877117237e-18,213.2,6.853668824310861e-18,241.5,6.559715337097311e-18,163.92,2.213469971770176e-17
216.8,2.2750717270009964e-17,278.8,9.522476119229493e-20,231.52,5.9334236864828966e-18,211.52,8.009811197276652e-18,246.24,1.3803604186316841e-17,169.44,1.2022816326801726e-18,198.88,1.6811843972102292e-18,265.6,3.5930508601793425e-19,233.6,5.1934973347725016e-18,213.6,6.929847464297576e-18,242.0,6.951845692460976e-18,164.16,2.2230157987379612e-17
217.0,2.2556079624709402e-17,279.5,1.0035607605446697e-19,231.8,5.9014278910660915e-18,211.8,8.187048962138825e-18,246.6,1.493166449186317e-17,169.6,9.654180856858188e-19,199.2,1.8532061972766527e-18,266.5,3.488229450348722e-19,234.0,5.045096444702757e-18,214.0,6.991840675855197e-18,242.5,7.342008170043177e-18,164.4,2.2231994652939228e-17
217.2,2.231499013616739e-17,280.2,1.0624483535370309e-19,232.08,5.8724726984390574e-18,212.08,8.351872044171372e-18,246.96,1.602967991531053e-17,169.76,7.705836783460644e-19,199.52,2.0368233892394556e-18,267.4,3.400065365327134e-19,234.4,4.8981817419461985e-18,214.4,7.03983161574228e-18,243.0,7.72712428761209e-18,164.64,2.2141004549983396e-17
217.4,2.202873799402192e-17,280.9,1.1387060654267685e-19,232.36,5.842478068747925e-18,212.36,8.50525660743939e-18,247.32,1.7078894835602793e-17,169.92,6.114158995350383e-19,199.84,2.232196159083361e-18,268.3,3.3375286848223187e-19,234.8,4.7536312321487884e-18,214.8,7.074158759548322e-18,243.5,8.104031831617403e-18,164.88,2.195913007306543e-17
217.6,2.1699032547326473e-17,281.6,1.2464546648953838e-19,232.64,5.807644634672867e-18,212.64,8.648003082032548e-18,247.68,1.806064933576885e-17,170.08,4.822625249086682e-19,200.16,2.439432157090668e-18,269.2,3.309872180338758e-19,235.2,4.612300466622385e-18,215.2,7.095310988043841e-18,244.0,8.469531922949186e-18,165.12,2.1689404500166058e-17
217.8,2.1327988060445036e-17,282.3,1.4047631692128862e-19,232.92,5.7645531982729986e-18,212.92,8.78064843905679e-18,248.04,1.8956934340750582e-17,170.24,3.781615903354367e-19,200.48,2.6585845234141483e-18,270.1,3.326542490866822e-19,235.6,4.475021615742278e-18,215.6,7.103920269013618e-18,244.5,8.820438005645965e-18,165.36,2.1335874277648622e-17
218.0,2.091810171039522e-17,283.0,1.638199246927931e-19,233.2,5.710245366987712e-18,213.2,8.90340164729326e-18,248.4,1.9750944536698773e-17,170.4,2.948055144470276e-19,200.8,2.8896503935569577e-18,271.0,3.397088148455663e-19,236.0,4.3426024360677515e-18,216.0,7.100752024244437e-18,245.0,9.153625662570575e-18,165.6,2.090350310528064e-17
218.2,2.0472224692793093e-17,283.7,1.9772252623713055e-19,233.48,5.6422841265360345e-18,213.48,9.016105237462637e-18,248.76,2.0427604981733645e-17,170.56,2.2849419843905677e-19,201.12,3.1325698688143476e-18,271.9,3.5310579408834275e-19,236.4,4.215825091331784e-18,216.4,7.086693341082698e-18,245.5,9.466082112255066e-18,165.84,2.0398060660909996e-17
218.4,1.9993527150448355e-17,284.4,2.458334603121887e-19,233.76,5.5587938608435734e-18,213.76,9.118223967120557e-18,249.12,2.0974047426104284e-17,170.72,1.7608127084025241e-19,201.44,3.3872254284290935e-18,272.8,3.7378830122882767e-19,236.8,4.095444744271006e-18,216.8,7.062739236134175e-18,246.0,9.754954226170708e-18,166.08,1.9825999418797745e-17
218.6,1.9485457671869814e-17,285.1,3.123804184656261e-19,234.04,5.4584800365327136e-18,214.04,9.208859760876786e-18,249.48,2.1380014995018265e-17,170.88,1.3491694818997013e-19,201.76,3.653441717037529e-18,273.7,4.026736883095317e-19,237.2,3.982187894387247e-18,217.2,7.029977183659914e-18,246.5,1.0017593992029227e-17,166.32,1.9194323115244103e-17
218.8,1.8951697957489206e-17,285.8,4.020931436399867e-19,234.32,5.340629456991033e-18,214.32,9.286790461640652e-18,249.84,2.1638177183659915e-17,171.04,1.02790287163733e-19,202.08,3.9309856791763535e-18,274.6,4.406369124875457e-19,237.6,3.8767504350714045e-18,217.6,6.989570205911658e-18,247.0,1.0251600380272335e-17,166.56,1.8510450215875124e-17
219.0,1.8396113865825308e-17,286.5,5.200633885752242e-19,234.6,5.205092590501495e-18,214.6,9.350528646629027e-18,250.2,2.1744341431418137e-17,171.2,7.787295602789771e-20,202.4,4.21956696778479e-18,275.5,4.884910631019596e-19,238.0,3.779795433410827e-18,218.0,6.942738817668549e-18,247.5,1.045485670873464e-17,166.8,1.778207627034208e-17
219.2,1.7822703802723348e-17,287.2,6.715321773497177e-19,234.88,5.0522499319163075e-18,214.88,9.398395851876453e-18,250.56,2.169755322152109e-17,171.36,5.86660644304218e-20,202.72,4.518838575224178e-18,276.4,5.469651183992029e-19,238.4,3.6919506276984394e-18,218.4,6.890742152108935e-18,248.0,1.0625562710063102e-17,167.04,1.7017038093656594e-17
