X MnCl2wH2O,Y MnCl2wH2O,X MnCl+,Y MnCl+,X MnCl3-,Y MnCl3-,X MnClH2O,Y MnClH2O,X MnCl2,Y MnCl2,X MnH2O,Y MnH2O,X MnCl2wH2O fit2,Y MnCl2wH2O fit2,X MnCl+ fit2,Y MnCl+ fit2,X MnCl3- fit2,Y MnCl3- fit2,X MnClH2O fit2,Y MnClH2O fit2,X MnCl2 fit2,Y MnCl2 fit2,X MnH2O fit2,Y MnH2O fit2
164.68,0.0,163.0,0.0,175.2,0.0,144.68,0.0,187.28,0.0,133.64,1.378279641315178e-29,147.28,0.0,115.6,0.0,148.32,0.0,127.28,0.0,150.4,0.0,115.2,0.0
164.86,0.0,163.5,0.0,175.4,0.0,144.86,0.0,187.56,0.0,133.78,3.22152108933909e-29,147.56,0.0,116.2,0.0,148.64,0.0,127.56,0.0,150.8,0.0,115.4,0.0
165.04,0.0,164.0,0.0,175.6,0.0,145.04,0.0,187.84,0.0,133.92,7.439388907339754e-29,147.84,0.0,116.8,0.0,148.96,0.0,127.84,0.0,151.2,0.0,115.6,0.0
165.22,0.0,164.5,0.0,175.8,0.0,145.22,0.0,188.12,0.0,134.06,1.6937894387246763e-28,148.12,0.0,117.4,0.0,149.28,0.0,128.12,0.0,151.6,0.0,115.8,0.0
165.4,0.0,165.0,0.0,176.0,0.0,145.4,1.660577881102624e-31,188.4,0.0,134.2,3.7861175689139825e-28,148.4,0.0,118.0,0.0,149.6,0.0,128.4,0.0,152.0,0.0,116.0,0.0
165.58,0.0,165.5,0.0,176.2,0.0,145.58,3.321155762205248e-31,188.68,0.0,134.34,8.369312520757224e-28,148.68,0.0,118.6,0.0,149.92,0.0,128.68,0.0,152.4,0.0,116.2,0.0
165.76,0.0,166.0,0.0,176.4,0.0,145.76,9.963467286615743e-31,188.96,0.0,134.48,1.8266356692128864e-27,148.96,0.0,119.2,0.0,150.24,0.0,128.96,0.0,152.8,0.0,116.4,0.0
165.94,0.0,166.5,0.0,176.6,0.0,145.94,2.6569246097641984e-30,189.24,0.0,134.62,3.918963799402192e-27,149.24,0.0,119.8,0.0,150.56,0.0,129.24,0.0,153.2,0.0,116.6,0.0
166.12,0.0,167.0,0.0,176.8,0.0,146.12,6.642311524410496e-30,189.52,0.0,134.76,8.286283626702093e-27,149.52,0.0,120.4,0.0,150.88,0.0,129.52,0.0,153.6,0.0,116.8,0.0
166.3,1.660577881102624e-31,167.5,0.0,177.0,0.0,146.3,1.6273663234805712e-29,189.8,0.0,134.9,1.7270009963467288e-26,149.8,0.0,121.0,0.0,151.2,0.0,129.8,0.0,154.0,0.0,117.0,0.0
166.48,3.321155762205248e-31,168.0,0.0,177.2,0.0,146.48,3.9189637994021926e-29,190.08,0.0,135.04,3.5536366655596145e-26,150.08,0.0,121.6,0.0,151.52,0.0,130.08,0.0,154.4,0.0,117.2,0.0
166.66,6.642311524410496e-31,168.5,0.0,177.4,0.0,146.66,9.232813018930589e-29,190.36,1.660577881102624e-31,135.18,7.206908003985388e-26,150.36,0.0,122.2,0.0,151.84,0.0,130.36,0.0,154.8,0.0,117.4,0.0
166.84,1.4945200929923613e-30,169.0,0.0,177.6,0.0,146.84,2.1421454666223844e-28,190.64,1.660577881102624e-31,135.32,1.4413816007970775e-25,150.64,0.0,122.8,0.0,152.16,0.0,130.64,0.0,155.2,0.0,117.6,0.0
167.02,3.1550979740949852e-30,169.5,0.0,177.8,0.0,147.02,4.8820989704417135e-28,190.92,4.9817336433078715e-31,135.46,2.84304217867818e-25,150.92,0.0,123.4,0.0,152.48,0.0,130.92,0.0,155.6,0.0,117.8,0.0
167.2,6.3101959481899704e-30,170.0,0.0,178.0,1.660577881102624e-31,147.2,1.0959814015277318e-27,191.2,1.3284623048820992e-30,135.6,5.532431086017935e-25,151.2,0.0,124.0,0.0,152.8,0.0,131.2,0.0,156.0,0.0,118.0,0.0
167.38,1.27864496844902e-29,170.5,0.0,178.2,1.660577881102624e-31,147.38,2.4244437064098305e-27,191.48,2.9890401859847226e-30,135.74,1.0619976751909664e-24,151.48,0.0,124.6,0.0,153.12,0.0,131.48,0.0,156.4,0.0,118.2,0.0
167.56,2.55728993689804e-29,171.0,0.0,178.4,4.9817336433078715e-31,147.56,5.2474261042842905e-27,191.76,6.642311524410496e-30,135.88,2.0111391564264367e-24,151.76,0.0,125.2,0.0,153.44,0.0,131.76,0.0,156.8,0.0,118.4,0.0
167.74,5.064762537363003e-29,171.5,0.0,178.6,8.30288940551312e-31,147.74,1.1192294918631684e-26,192.04,1.4613085353703088e-29,136.02,3.757592162072401e-24,152.04,0.0,125.8,0.0,153.76,0.0,132.04,0.0,157.2,0.0,118.6,0.0
167.92,9.897044171371638e-29,172.0,0.0,178.8,1.826635669212886e-30,147.92,2.3580205911657257e-26,192.32,3.188309531717038e-29,136.16,6.927283294586517e-24,152.32,0.0,126.4,0.0,154.08,0.0,132.32,0.0,157.6,0.0,118.8,0.0
168.1,1.9262703420790437e-28,172.5,0.0,179.0,3.653271338425772e-30,148.1,4.8654931916306875e-26,192.6,6.874792427764863e-29,136.3,1.2601982729990038e-23,152.6,1.660577881102624e-31,127.0,0.0,154.4,0.0,132.6,0.0,158.0,0.0,119.0,0.0
168.28,3.686482896047825e-28,173.0,0.0,179.2,7.140484888741281e-30,148.28,9.880438392560613e-26,192.88,1.4579873796081038e-28,136.44,2.262425440053139e-23,152.88,3.321155762205248e-31,127.6,0.0,154.72,0.0,132.88,0.0,158.4,0.0,119.2,0.0
168.46,6.991032879442047e-28,173.5,1.660577881102624e-31,179.4,1.4280969777482562e-29,148.46,1.9779973430753904e-25,193.16,3.055463301228828e-28,136.58,4.0087221853204916e-23,153.16,4.9817336433078715e-31,128.2,0.0,155.04,0.0,133.16,0.0,158.8,0.0,119.4,0.0
168.64,1.315177681833278e-27,174.0,1.3284623048820992e-30,179.6,2.806376619063434e-29,148.64,3.897957489206244e-25,193.44,6.293590169378944e-28,136.72,7.010851046164065e-23,153.44,9.963467286615743e-31,128.8,0.0,155.36,0.0,133.44,0.0,159.2,0.0,119.6,0.0
168.82,2.4410494852208568e-27,174.5,7.804716041182332e-30,179.8,5.463301228827632e-29,148.82,7.562620391896381e-25,193.72,1.280305546330123e-27,136.86,1.210334473596812e-22,153.72,1.9926934573231486e-30,129.4,0.0,155.68,0.0,133.72,0.0,159.6,0.0,119.8,0.0
169.0,4.516771836599136e-27,175.0,4.234473596811691e-29,180.0,1.0544669545001664e-28,149.0,1.4447243440717371e-24,194.0,2.5738957157090667e-27,137.0,2.0627508801062772e-22,154.0,3.819329126536035e-30,130.0,0.0,156.0,0.0,134.0,0.0,160.0,0.0,120.0,0.0
169.18,8.236466290269015e-27,175.5,2.1421454666223844e-28,180.2,2.0092992361341751e-28,149.18,2.7178727997343077e-24,194.28,5.081368316174028e-27,137.14,3.4708169545001665e-22,154.28,7.140484888741281e-30,130.6,0.0,156.32,0.0,134.28,0.0,160.4,0.0,120.2,0.0
169.36,1.4895383593490536e-26,176.0,1.0212553968781139e-27,180.4,3.802723347725009e-28,149.36,5.035697442710063e-24,194.56,9.913649950182663e-27,137.28,5.766297924277649e-22,154.56,1.3284623048820993e-29,131.2,0.0,156.64,0.0,134.56,0.0,160.8,0.0,120.4,0.0
169.54,2.673530388575224e-26,176.5,4.5499833942211886e-27,180.6,7.140484888741282e-28,149.54,9.190348721355033e-24,194.84,1.9096645632680173e-26,137.42,9.459753553636665e-22,154.84,2.4908668216539356e-29,131.8,0.0,156.96,0.0,134.84,0.0,161.2,0.0,120.6,0.0
169.72,4.732646961142478e-26,177.0,1.9096645632680173e-26,180.8,1.3251411491198938e-27,149.72,1.6523498837595485e-23,195.12,3.6200597808037197e-26,137.56,1.5325581534373964e-21,155.12,4.5998007306542677e-29,132.4,0.0,157.28,0.0,135.12,1.660577881102624e-31,161.6,0.0,120.8,0.0
169.9,8.302889405513119e-26,177.5,7.489206243772833e-26,181.0,2.4410494852208568e-27,149.9,2.927023580205912e-23,195.4,6.791763533709731e-26,137.7,2.4521419362338094e-21,155.4,8.419129857190303e-29,133.0,0.0,157.6,0.0,135.4,3.321155762205248e-31,162.0,0.0,121.0,0.0
170.08,1.4463633344403853e-25,178.0,2.7684822318166724e-25,181.2,4.4337429425440046e-27,150.08,5.109303055463302e-23,195.68,1.2577715044835602e-25,137.84,3.875278885752242e-21,155.68,1.5244104948522085e-28,133.6,0.0,157.92,0.0,135.68,9.963467286615743e-31,162.4,0.0,121.2,0.0
170.26,2.493374294254401e-25,178.5,9.640219196280305e-25,181.4,8.010627698439057e-27,150.26,8.789540684158087e-23,195.96,2.296363334440386e-25,137.98,6.049596039521754e-21,155.96,2.7382929259382267e-28,134.2,0.0,158.24,0.0,135.96,2.158751245433411e-30,162.8,0.0,121.4,0.0
170.44,4.258635004981734e-25,179.0,3.1635835270674197e-24,181.6,1.4330787113915644e-26,150.44,1.4903850049817338e-22,196.24,4.138259714380605e-25,138.12,9.329391785121222e-21,156.24,4.870474925273996e-28,134.8,0.0,158.56,0.0,136.24,4.8156758551976086e-30,163.2,0.0,121.6,0.0
