X b3lyp6311;Y b3lyp6311;DY/DX b3lyp6311;X b3lyp6311++;Y b3lyp6311++;DX/DY 6311++;X c-b631;Y c-b631;DY/DX c-b631;X c-b6311;Y c-b6311;DY/DX c-b6311;X c-b6311++;Y c-b6311++;DY/DX c-b6311++;X wb631;Y wb631;DY/DX wb631;X wb6311;Y wb6311;DY/DX wb6311;X wb6311++;Y wb6311++;DY/DX wb6311++;X b3lyp fit2;Y b3lyp fit2;DY/DX b3lyp fit2;X c-b fit2;Y c-b fit2;DY/DX c-b fit2;X wb fit2;Y wb fit2;DY/DX wb fit2
166,16;0;0;174,48;0;0;145,6;0;0;145,04;0;0;155,6;0;0;145,04;2,00E-10;0;144,48;0;0;155,04;0;0;147,84;0;0;128,96;0;0;127,84;0;0
166,38;0;0;174,64;0;0;145,8;0;0;145,22;0;0;155,8;0;0;145,22;5,00E-10;0;144,64;0;0;155,22;0;0;148,12;0;0;129,28;0;0;128,12;0;0
166,6;0;0;174,8;0;0;146;0;0;145,4;0;0;156;0;0;145,4;1,30E-09;0;144,8;1,00E-10;0;155,4;0;0;148,4;0;0;129,6;0;0;128,4;0;0
166,82;0;0;174,96;0;0;146,2;1,00E-10;0;145,58;0;0;156,2;0;0;145,58;3,30E-09;0;144,96;2,00E-10;0;155,58;0;0;148,68;0;0;129,92;0;0;128,68;0;0
167,04;0;0;175,12;0;0;146,4;2,00E-10;0;145,76;0;0;156,4;0;0;145,76;8,20E-09;0;145,12;4,00E-10;0;155,76;0;0;148,96;0;0;130,24;0;0;128,96;0;0
167,26;0;0;175,28;0;0;146,6;6,00E-10;0;145,94;0;0;156,6;0;0;145,94;0,00000002;0;145,28;9,00E-10;0;155,94;0;0;149,24;0;0;130,56;0;0;129,24;0;0
167,48;0;0;175,44;0;0;146,8;1,80E-09;0;146,12;0;0;156,8;0;0;146,12;4,79E-08;0;145,44;2,10E-09;0;156,12;0;0;149,52;0;0;130,88;0;0;129,52;0;0
167,7;0;0;175,6;0;0;147;4,80E-09;0;146,3;0;0;157;0;0;146,3;1,13E-07;0;145,6;4,70E-09;0;156,3;0;0;149,8;0;0;131,2;0;0;129,8;0;0
167,92;1,00E-10;0;175,76;0;0;147,2;1,27E-08;0;146,48;0;0;157,2;0;0;146,48;2,61E-07;0;145,76;1,05E-08;0;156,48;0;0;150,08;0;0;131,52;0;0;130,08;0;0
168,14;1,00E-10;0;175,92;0;0;147,4;3,27E-08;0;146,66;0;0;157,4;0;0;146,66;5,92E-07;0;145,92;2,34E-08;0;156,66;0;0;150,36;0;0;131,84;0;0;130,36;0;0
168,36;3,00E-10;0;176,08;0;0;147,6;0,000000083;0;146,84;0;0;157,6;0;0;146,84;1,32E-06;0;146,08;5,12E-08;0;156,84;0;0;150,64;0;0;132,16;0;0;130,64;0;0
168,58;8,00E-10;0;176,24;0;0;147,8;2,06E-07;0;147,02;0;0;157,8;0;0;147,02;2,91E-06;0;146,24;1,11E-07;0;157,02;0;0;150,92;0;0;132,48;0;0;130,92;0;0
168,8;1,80E-09;0;176,4;0;0;148;5,02E-07;0;147,2;0;0;158;0;0;147,2;6,29E-06;0;146,4;2,36E-07;0;157,2;0;0;151,2;0;0;132,8;0;0;131,2;0;0
169,02;4,20E-09;0;176,56;0;0;148,2;1,20E-06;0;147,38;0;0;158,2;0;0;147,38;1,34E-05;0;146,56;4,96E-07;0;157,38;0;0;151,48;0;0;133,12;0;0;131,48;0;0
169,24;9,70E-09;0;176,72;0;0;148,4;2,81E-06;0;147,56;0;0;158,4;0;0;147,56;2,80E-05;0;146,72;1,03E-06;0;157,56;0;0;151,76;0;0;133,44;0;0;131,76;0;0
169,46;2,18E-08;0;176,88;0;0;148,6;6,45E-06;0;147,74;1,00E-10;0;158,6;0;0;147,74;5,76E-05;0;146,88;2,10E-06;0;157,74;0;0;152,04;0;0;133,76;0;0;132,04;0;0
169,68;4,86E-08;0;177,04;0;0;148,8;1,45E-05;0;147,92;1,00E-10;0;158,8;0;0;147,92;0,000116625;0;147,04;0,000004251;0;157,92;0;0;152,32;0;0;134,08;0;0;132,32;0;0
169,9;1,07E-07;0;177,2;0;0;149;3,21E-05;0;148,1;4,00E-10;0;159;0;0;148,1;0,000232433;0;147,2;8,47E-06;0;158,1;0;0;152,6;0;0;134,4;0;0;132,6;0;0
170,12;2,31E-07;0;177,36;0;0;149,2;6,97E-05;0;148,28;9,00E-10;0;159,2;0;0;148,28;0,000455925;2,00E-10;147,36;1,67E-05;0;158,28;0;0;152,88;0;0;134,72;0;0;132,88;0;0
170,34;4,93E-07;0;177,52;1,00E-10;0;149,4;0,000148416;0;148,46;2,10E-09;0;159,4;0;0;148,46;0,000880291;7,00E-10;147,52;3,24E-05;0;158,46;0;0;153,16;0;0;135,04;0;0;133,16;0;0
170,56;1,04E-06;0;177,68;1,00E-10;0;149,6;0,000310156;2,00E-10;148,64;5,10E-09;0;159,6;1,00E-10;0;148,64;0,00167319;2,80E-09;147,68;6,21E-05;0;158,64;0;0;153,44;0;0;135,36;0;0;133,44;0;0
170,78;2,15E-06;0;177,84;3,00E-10;0;149,8;0,000636345;7,00E-10;148,82;1,21E-08;0;159,8;2,00E-10;0;148,82;0,003131113;9,90E-09;147,84;0,000117471;0;158,82;0;0;153,72;0;0;135,68;0;0;133,72;0;0
171;4,40E-06;0;178;4,00E-10;0;150;0,001282008;2,70E-09;149;0,000000028;0;160;4,00E-10;0;149;0,005769455;3,41E-08;148;0,000219498;0;159;0;0;154;0;0;136;0;0;134;0;0
171,22;8,90E-06;0;178,16;8,00E-10;0;150,2;0,002536571;1,06E-08;149,18;6,41E-08;0;160,2;8,00E-10;0;149,18;0,010468899;0,000000114;148,16;0,000404965;1,00E-10;159,18;0;0;154,28;0;0;136,32;0;0;134,28;0;0
171,44;1,77E-05;0;178,32;1,30E-09;0;150,4;0,004929856;4,02E-08;149,36;1,44E-07;0;160,4;1,90E-09;0;149,36;0,018708765;3,70E-07;148,32;0,000737772;3,00E-10;159,36;0;0;154,56;0;0;136,64;0;0;134,56;0;0
171,66;3,49E-05;0;178,48;2,30E-09;0;150,6;0,009412932;1,46E-07;149,54;3,20E-07;0;160,6;4,30E-09;0;149,54;0,03293173;1,16E-06;148,48;0,001327334;9,00E-10;159,54;0;0;154,84;0;0;136,96;0;0;134,84;0;0
171,88;6,76E-05;0;178,64;3,90E-09;0;150,8;0,017660026;5,13E-07;149,72;6,98E-07;0;160,8;9,70E-09;0;149,72;0,057102686;3,52E-06;148,64;0,002358443;2,80E-09;159,72;0;0;155,12;0;0;137,28;0;0;135,12;0;0
