X b3lyp631;Y b3lyp631;DY/DX b3lyp631;X b3lyp6311;Y b3lyp6311;DY/DX b3lyp6311;X b3lyp6311++;Y b3lyp6311++;DY/DX b3lyp6311++;X c-b631;Y c-b631;DY/DX c-b631;X c-b6311;Y c-b6311;DY/DX c-b6311;X c-b6311++;Y c-b6311++;DY/DX c-b6311++;X wb631;Y wb631;DY/DX wb631;X wb6311;Y wb6311;DY/DX wb6311;X wb6311++;Y wb6311++;DY/DX wb6311++;X b3lyp fit2;Y b3lyp fit2;DY/DX b3lyp fit2;X c-b fit2;Y c-b fit2;DY/DX c-b fit2;X wb fit2;Y wb fit2;DY/DX wb fit2
227,2;985,041707;-146,0973439;217,6;5402,440453;573,5371919;228;3583,942877;60,66381514;192,8;5524,126141;709,5392533;198;357,3909826;-48,52070225;203,2;2696,896866;438,8602877;188;7986,311675;-3150,824719;188,4;2844,664653;-1127,105697;203,2;1145,972822;-217,2894419;216,8;9396,729916;-245,7402437;207,2;3472,081275;-21,85175315;207,2;1482,834945;-76,02701751
227,48;885,3035559;-110,5367832;217,84;5369,375145;533,9818652;228,2;3554,604072;15,91990376;193,02;5439,647305;814,9232693;198,2;303,3721015;-35,74044675;203,38;2741,251761;536,4839801;188,2;7389,517401;-3023,134117;188,56;2601,355852;-1008,615141;203,38;1010,288889;-173,9583813;217,12;9332,734047;-312,6366518;207,48;3422,532402;-38,54693514;207,48;1403,409283;-53,43320081
227,76;795,2152601;-81,57737463;218,08;5333,886597;470,5224972;228,4;3521,065129;-31,20322438;193,24;5380,636007;884,786867;198,4;256,2165765;-26,01399674;203,56;2797,323483;627,1959798;188,4;6807,010465;-2845,274991;188,72;2371,156317;-895,3468954;203,56;887,568749;-138,0660559;217,44;9256,376902;-376,1427999;207,76;3374,017269;-56,00873593;207,76;1331,512826;-32,69427701
228,04;714,2345042;-58,92019305;218,32;5293,71729;385,2691729;228,6;3483,062181;-80,0125444;193,46;5340,971144;917,9778363;198,6;215,3021244;-18,71234143;203,74;2863,994254;709,9160711;188,6;6242,525802;-2627,574086;188,88;2154,311424;-788,4409927;203,74;777,0755108;-108,642525;217,76;9168,174122;-435,455363;208,04;3326,350091;-73,79835261;208,04;1266,790198;-13,7368613
228,32;641,7550243;-42,07020696;218,56;5246,829488;281,0831194;228,8;3440,402019;-129,782414;193,68;5314,584531;912,9731772;198,8;180,0151786;-13,30393167;203,92;2940,046621;783,5846573;188,8;5699,388243;-2381,712227;189,04;1950,928526;-688,7501153;203,92;678,0414888;-84,76537122;218,08;9068,694501;-489,8596746;208,32;3279,370595;-91,50153746;208,32;1208,87649;3,512537371
228,6;577,1266989;-30,38977618;218,8;5191,445608;161,4825664;229;3392,960649;-179,7700033;193,9;5295,625359;868,509885;199;149,7614667;-9,350116325;204,1;3024,178123;847,1879808;189;5180,462726;-2119,692405;189,2;1760,986399;-596,8539679;204,1;589,6830818;-65,58045356;218,4;8958,554117;-538,7450624;208,6;3232,944233;-108,7368421;208,6;1157,399733;19,12481322
228,88;519,6748446;-23,14898812;219,04;5126,080163;30,50659376;229,2;3340,681256;-229,2311249;194,12;5278,606117;784,2472325;199,2;123,9743439;-6,496675515;204,28;3115,01708;899,7870252;189,2;4688,117898;-1852,935981;189,36;1584,346087;-513,0802621;204,28;511,2141617;-50,31477756;218,72;8838,410071;-581,6169996;208,88;3186,962025;-125,1623405;208,88;1111,983279;33,16633723
229,16;468,7181287;-19,5712042;219,28;5049,562806;-107,4541856;229,4;3283,571597;-277,4360418;194,34;5258,527461;661,3533276;199,4;102,1210184;-4,463262624;204,46;3211,139276;940,5481494;189,4;4224,204338;-1591,572523;189,52;1420,762778;-437,5308672;204,46;441,8578812;-38,28278467;219,04;8708,953932;-618,1057973;209,16;3141,340063;-140,4807093;209,16;1072,248068;45,69778656
229,44;423,5846355;-18,87291008;219,52;4961,052204;-247,8485242;229,6;3221,700873;-323,6848409;194,56;5230,98022;502,9233207;199,6;83,70685583;-3,032137516;204,64;3311,085312;968,7733654;189,6;3790,047891;-1343,955348;189,68;1269,898371;-370,1116253;204,64;380,8568601;-28,88740394;219,36;8570,905001;-647,9716862;209,44;3096,018702;-154,442607;209,44;1037,814787;56,77367986
229,72;383,6257609;-20,29744517;219,76;4860,040834;-386,1639539;229,8;3155,196098;-367,321972;194,78;5192,223329;314,163002;199,8;68,27798137;-2,03716834;204,82;3413,3784;983,928239;189,8;3386,457836;-1116,404677;189,84;1131,334407;-310,5643299;204,82;327,481761;-21,61715582;219,68;8425,003481;-671,1062596;209,72;3050,961455;-166,8483629;209,72;1008,305894;66,44254394
230;348,2277374;-23,14246817;220;4746,350983;-518,1214267;230;3084,238041;-407,7495737;195;5139,237149;102,3058981;200;55,42241736;-1,353727833;205;3516,542332;985,6656269;190;3013,748879;-913,1565593;190;1004,585068;-258,4994297;205;281,0383014;-16,04047592;220;8272,003675;-687,5303718;210;3006,153639;-177,548046;210;983,3475117;74,74761838
230,28;316,8207183;-26,7811646;220,24;4620,122542;-639,852822;230,2;3009,056769;-444,4392359;195,22;5069,75219;-123,7305521;200,2;44,77000008;-0,889827142;205,18;3619,119397;973,8438484;190,2;2671,775398;-736,4797809;190,16;889,109953;-213,4281389;205,18;240,8727805;-11,79826336;220,32;8112,667284;-697,3886958;210,28;2961,60079;-186,4400375;210,28;962,5711833;81,72799102
230,56;288,8854591;-30,67728955;220,48;4481,793362;-748,0508387;230,4;2929,926869;-476,9418896;195,44;4982,253927;-353,9088747;200,4;35,99131331;-0,578617992;205,36;3719,68797;948,5383672;190,4;2359,97584;-586,9150075;190,32;784,3264275;-174,7928156;205,36;206,3762272;-8,595476618;220,64;7947,756917;-700,9412469;210,56;2917,326891;-193,4682828;210,56;945,6154789;87,42004893
230,84;263,9577299;-34,39422252;220,72;4332,07315;-840,0833492;230,6;2847,162404;-504,8955675;195,66;4875,964985;-577,7863683;200,6;28,79586325;-0,372246969;205,54;3816,879539;910,046572;190,6;2077,424895;-463,5892925;190,48;689,6213167;-141,9946843;205,54;176,9872864;-6,192416404;220,96;7778,029886;-698,5522602;210,84;2873,372437;-198,6184304;210,84;932,12746;91,85912654
