pH,Mn(OH)4-2,Mn+2,Mn2(OH)3+,Mn2OH+3,MnCl+,MnCl2 (aq),MnCl3-,MnOH+
1,3.89976923076923e-43,81.84615384615384,1.2216923076923076e-28,2.939384615384615e-16,12.11076923076923,5.216,0.8245384615384614,8.056923076923076e-09
2,3.935923076923077e-39,82.09230769230768,1.1983076923076924e-25,2.9743846153846154e-15,11.935384615384615,5.1666923076923075,0.8049230769230769,7.990000000000001e-08
3,3.939230769230769e-35,82.1076923076923,1.1966923076923076e-22,2.9769999999999996e-14,11.92153846153846,5.164538461538461,0.8033846153846154,7.985384615384615e-07
4,3.9384615384615387e-31,82.3076923076923,1.1999999999999999e-19,2.9769230769230767e-13,11.923076923076922,5.161538461538461,0.8,8e-06
5,3.938461538461538e-27,82.3076923076923,1.2000000000000003e-16,2.9769230769230765e-12,11.923076923076922,5.161538461538461,0.8,7.999999999999999e-05
6,3.9384615384615384e-23,82.3076923076923,1.2e-13,2.9769230769230774e-11,11.923076923076922,5.161538461538461,0.8,0.0007999999999999999
7,3.9384615384615384e-19,82.3076923076923,1.2e-10,2.976923076923077e-10,11.923076923076922,5.161538461538461,0.8,0.008
8,3.9384615384615384e-15,82.3076923076923,1.192307692307692e-07,2.969230769230769e-09,11.923076923076922,5.161538461538461,0.8,0.07999999999999999
9,3.908307692307692e-11,81.46153846153845,0.00011776923076923077,2.930307692307692e-08,11.825384615384616,5.123384615384615,0.7968461538461539,0.7921538461538461
10,3.638461538461538e-07,75.92307692307692,0.1023076923076923,2.546153846153846e-07,11.0,4.769230769230769,0.7423076923076923,7.3769230769230765
11,0.0014615384615384616,30.538461538461537,16.538461538461537,4.115384615384615e-07,4.43076923076923,1.9230769230769231,0.29846153846153844,29.692307692307697
12,0.7311230769230769,1.523923076923077,41.29076923076923,1.0251538461538462e-08,0.22162307692307695,0.09602307692307692,0.01496384615384615,14.830769230769231
