LOWER WVL;UPPER WVL;DIRECT;DIFFUSE DOWN;DIFFUSE UP;TOTAL
527,5;532,5;3,23E+14;2,06E+14;6,96E+13;6,00E+14
532,5;537,5;3,18E+14;1,99E+14;6,81E+13;5,85E+14
537,5;542,5;3,23E+14;1,98E+14;6,88E+13;5,90E+14
542,5;547,5;3,32E+14;2,00E+14;7,03E+13;6,02E+14
547,5;552,5;3,37E+14;2,00E+14;7,12E+13;6,08E+14
552,5;557,5;3,39E+14;1,97E+14;7,12E+13;6,07E+14
557,5;562,5;3,34E+14;1,91E+14;6,99E+13;5,95E+14
562,5;567,5;3,39E+14;1,90E+14;7,05E+13;5,99E+14
567,5;572,5;3,40E+14;1,88E+14;7,06E+13;5,99E+14
572,5;577,5;3,50E+14;1,90E+14;7,24E+13;6,13E+14
577,5;582,5;3,50E+14;1,87E+14;7,19E+13;6,08E+14
582,5;587,5;3,55E+14;1,86E+14;7,27E+13;6,14E+14
587,5;592,5;3,46E+14;1,79E+14;7,08E+13;5,97E+14
592,5;597,5;3,57E+14;1,82E+14;7,27E+13;6,12E+14
597,5;602,5;3,52E+14;1,77E+14;7,14E+13;6,00E+14
602,5;607,5;3,60E+14;1,78E+14;7,28E+13;6,11E+14
607,5;612,5;3,60E+14;1,76E+14;7,27E+13;6,09E+14
612,5;617,5;3,57E+14;1,72E+14;7,18E+13;6,01E+14
617,5;622,5;3,67E+14;1,74E+14;7,36E+13;6,15E+14
622,5;627,5;3,64E+14;1,71E+14;7,27E+13;6,07E+14
627,5;632,5;3,69E+14;1,71E+14;7,35E+13;6,13E+14
632,5;637,5;3,71E+14;1,70E+14;7,37E+13;6,14E+14
637,5;642,5;3,71E+14;1,68E+14;7,36E+13;6,12E+14
642,5;647,1;3,73E+14;1,67E+14;7,39E+13;6,14E+14
647,1;655;3,74E+14;1,64E+14;7,38E+13;6,12E+14
655;665;3,62E+14;1,56E+14;7,12E+13;5,89E+14
665;675;3,80E+14;1,60E+14;7,44E+13;6,15E+14
675;685;3,82E+14;1,57E+14;7,43E+13;6,13E+14
685;695;3,84E+14;1,54E+14;7,45E+13;6,13E+14
695;705;3,85E+14;1,52E+14;7,44E+13;6,11E+14
705;715;3,83E+14;1,48E+14;7,38E+13;6,05E+14
715;725;3,78E+14;1,43E+14;7,24E+13;5,93E+14
725;735;3,76E+14;1,39E+14;7,18E+13;5,87E+14
