X MnCl+;Y MnCl+;DY/DX MnCl+;X MnCl3-;Y MnCl3-;DY/DX MnCl3-;X MnClH2O;Y MnClH2O;DY/DX MnClH2O;X MnCl2;Y MnCl2;DY/DX MnCl2;X MnH2O;Y MnH2O;DY/DX MnH2O;X MnCl+ fit2;Y MnCl+ fit2;DY/DX MnCl+ fit2;X MnCl3- fit2;Y MnCl3- fit2;DY/DX MnCl3- fit2;X MnClH2O fit2;Y MnClH2O fit2;DY/DX MnClH2O fit2;X MnCl2 fit2;Y MnCl2 fit2;DY/DX MnCl2 fit2;X MnH2O fit2;Y MnH2O fit2;DY/DX MnH2O fit2
224,9;10,03135973;-0,086811069;209,96;0,430455298;3,88E-05;189,96;0,014526443;1,54E-06;218,52;0,014120459;3,96E-07;157,12;7,773493554;0,006600629;196,3;8,282521849;0,087463262;202,8;9,529124132;0,021203163;182,8;0,174802194;0,000129866;203,5;0,003434582;2,63E-08;145,68;0,001415979;2E-10
225,6;5,199056623;-0,023455165;210,24;0,643615546;8,76E-05;190,24;0,0239057;4,09E-06;218,88;0,023327816;1,10E-06;157,28;11,31754504;0,013934713;197,2;13,57884388;0,220020963;203,2;12,11962438;0,034084927;183,2;0,243347584;0,000247472;204;0,005207335;6,11E-08;145,92;0,002250322;5E-10
226,3;2,599664834;-0,005855416;210,52;0,953132631;0,000193542;190,52;0,038803316;1,06E-05;219,24;0,038015973;2,95E-06;157,44;16,31988002;0,028835556;198,1;21,56384179;0,517894133;203,6;15,32360502;0,054101755;183,6;0,335871563;0,00046285;204,5;0,007818914;1,391E-07;146,16;0,003546842;1,1E-09
227;1,254948543;-0,001353194;210,8;1,398105833;0,000419043;190,8;0,062132272;2,66E-05;219,6;0,061119484;7,69E-06;157,6;23,30957929;0,058492976;199;33,19660343;1,142327394;204;19,26180832;0,084800742;184;0,459665214;0,00084983;205;0,011628473;3,101E-07;146,4;0,005544735;2,8E-09
227,7;0,585241406;-0,000290021;211,08;2,031505367;0,000889194;191,08;0,098152755;6,51E-05;219,96;0,096954744;1,95E-05;157,76;32,97832073;0,116319098;199,9;49,57889955;2,364192265;204,4;24,07276257;0,131273872;184,4;0,62386228;0,001532123;205,5;0,017131666;6,778E-07;146,64;0,008597916;6,9E-09
228,4;0,26383133;-5,77E-05;211,36;2,924274987;0,001849455;191,36;0,152996143;0,000154845;220,32;0,151770727;4,82E-05;157,92;46,21926518;0,226775583;200,8;71,88830875;4,596383426;204,8;29,91408882;0,200723074;184,8;0,839791294;0,002712784;206;0,025005292;1,4528E-06;146,88;0,013225448;1,66E-08
229,1;0,115047732;-0,000010699;211,64;4,17034151;0,003770993;191,64;0,235346169;0,000357976;220,68;0,234471338;0,000115594;158,08;64,1714104;0,433475652;201,7;101,2724869;8,402519464;205,2;36,96362545;0,303183535;185,2;1,121364747;0,004718299;206,5;0,036163782;3,0537E-06;147,12;0,020181972;3,91E-08
229,8;0,048558439;-1,85E-06;211,92;5,892625661;0,007538517;191,92;0,357304497;0,000804969;221,04;0,357541973;0,000269746;158,24;88,26890068;0,812419855;202,6;138,7080807;14,45404548;205,6;45,42030169;0,452429704;185,6;1,485501957;0,008062916;207;0,051829734;6,2967E-06;147,36;0,030555095;9,08E-08
230,5;0,019849875;-2,98E-07;212,2;8,250121251;0,01477703;192,2;0,535464482;0,001760984;221,4;0,538210356;0,000612348;158,4;120,294247;1,49302464;203,5;184,8358835;23,4085564;206;55,50468683;0,667084056;186;1,952580393;0,013540083;207,5;0,073620795;1,27394E-05;147,6;0,045898772;2,073E-07
231,2;0,007863771;-4,49E-08;212,48;11,4460666;0,028406054;192,48;0,792209367;0,003748532;221,76;0,799864712;0,001352562;158,56;162,4337654;2,690581307;204,4;239,7918492;35,6986619;206,4;67,45913901;0,971940303;186,4;2,546908294;0,022348977;208;0,103655213;2,52957E-05;147,84;0,068414184;4,659E-07
231,9;0,0030214;-6,30E-09;212,76;15,737171;0,053555907;192,76;1,157238377;0,007765566;222,12;1,173739509;0,002907502;158,72;217,3327996;4,754871083;205,3;303,0595781;51,25542631;206,8;81,54747801;1,399499189;186,8;3,29720958;0,036264713;208,5;0,144678252;4,93061E-05;148,08;0,10119263;1,0302E-06
232,6;0,001127942;-8,00E-10;213,04;21,44377841;0,099043383;193,04;1,669305563;0,015659032;222,48;1,700859155;0,006083772;158,88;288,1474806;8,240701478;206,2;373,3719743;69,23590664;207,2;98,05410868;1,991695637;187,2;4,237110397;0,057860585;209;0,200211418;9,43645E-05;148,32;0,148538475;2,2417E-06
233,3;0,000413745;-1,00E-10;213,32;28,96074957;0,17968532;193,32;2,378131225;0,030740262;222,84;2,434202376;0,012393666;159,04;378,5889539;14,00683822;207,1;448,6866912;87,86182592;207,6;117,2825284;2,801770232;187,6;5,40561546;0,090789073;209,5;0,274725951;0,000177364;148,56;0,216394299;0,000004801
234;0,00016226;0;213,6;38,76872479;0,319826688;193,6;3,346414746;0,058758335;223,2;3,441014448;0,024585632;159,2;492,9552179;23,34975669;208;526,2515255;104,4815643;208;139,5531611;3,896206145;188;6,847561611;0,140124893;210;0,37384138;0,000327465;148,8;0,312894979;1,01211E-05
234,7;0,000104041;0;213,88;51,44529474;0,558568019;193,88;4,651841768;0,109374631;223,56;4,80515172;0,047500182;159,36;636,145067;38,17724813;208,9;602,7631565;115,9228939;208,4;165,2004741;5,356615355;188,4;8,614036061;0,212767505;210,5;0,504549045;0,000594015;149,04;0,449082548;0,000021005
235,4;0,000169402;1,00E-10;214,16;67,67546272;0,957280546;194,16;6,388940037;0,198295352;223,92;6,629295094;0,0893955;159,52;813,6481936;61,22350195;209,8;674,607776;119,1121662;208,8;194,5693489;7,281417415;188,8;10,76274752;0,317891972;211;0,675459354;0,001058895;149,28;0,639819066;0,000042922
236,1;0,000414166;4,00E-10;214,44;88,26063712;1,610070324;194,44;8,670600141;0,350202048;224,28;9,036819711;0,163912833;159,68;1031,505387;96,30115385;210,7;738,1580998;111,8261267;209,2;228,010701;9,78711298;189,2;13,35834006;0,467425857;211,5;0,897070236;0,001855325;149,52;0,904940314;8,63677E-05
236,8;0,001051431;2,70E-09;214,72;114,1252579;2,657856256;194,72;11,62904422;0,602551778;224,64;12,17306189;0,292855572;159,84;1296,23306;148,5764175;211,6;790,0908773;93,36187394;209,6;265,8763603;13,00891687;189,6;16,47264197;0,676516318;212;1,182052764;0,003195833;149,76;1,270698546;0,000171156
237,5;0,00259346;1,71E-08;215;146,3200501;4,306609635;195;15,41600244;1,010175922;225;16,20568757;0,50991643;160;1614,707117;224,8407061;212,5;827,6845097;64,9014521;210;308,5132555;17,10048675;190;20,18484507;0,963936897;212,5;1,545548365;0,005412896;150;1,771547445;0,000334082
238,2;0,006166069;0,000000099;215,28;186,0208237;6,850003307;195,28;20,20184931;1,650373428;225,36;21,3238463;0,865378569;160,16;1994,002537;333,7367109;213,4;849,0587032;29,42540466;210,4;356,2569669;22,23246929;190,4;24,58161365;1,352369277;213;2,005470497;0,009016523;150,24;2,452326335;0,000642378
238,9;0,014124783;5,31E-07;215,56;234,5217217;10,69617445;195,56;26,17346504;2,627870547;225,72;27,73579796;1,43161345;160,32;2441,186947;485,8803496;214,3;853,3267283;-8,829597073;210,8;409,4247427;28,5895917;190,8;29,75712619;1,868484005;213,5;2,582802247;0,014773819;150,48;3,370903038;0,001216899
239,6;0,031189798;2,63E-06;215,84;293,2218683;16,39746668;195,84;33,53062539;4,078633297;226,08;35,66473363;2,308884856;160,48;2963,068942;693,8051154;215,2;840,6440596;-45,2247199;211,2;468,3080984;36,36605897;191,2;35,81305724;2,542738794;214;3,301880242;0,023816023;150,72;4,601334821;0,00227142
240,3;0,066429286;1,21E-05;216,12;363,6045;24,68086795;196,12;42,48079027;6,171137606;226,44;45,34258078;3,630551116;160,64;3565,904878;971,6460709;216,1;812,1523263;-75,64232627;211,6;533,1651453;45,75907918;191,6;42,85850995;3,408816551;214,5;4,19065455;0,037778523;150,96;6,237603889;0,004178008
241;0,136547673;5,16E-05;216,4;447,2078881;36,47544018;196,4;53,23225632;9,103431294;226,8;57,00169027;5,566278134;160,8;4255,071138;1334,481767;217;769,8318086;-97,22679132;212;604,2128158;56,96043489;192;51,00991313;4,502640892;215;5,280914311;0,058978602;151,2;8,397977034;0,007573911
