Wavelengt [nm],s1.3,s2.3,s3.3,s4.3
729.9,1.4687538406873903e-09,7.916313822076555e-10,4.44621348707776e-10,1.8140838276879565e-09
729.8,1.5913628284806388e-09,8.526401389753156e-10,6.670212328025764e-10,1.927721887152124e-09
729.7,1.4691467657384035e-09,7.918431616036448e-10,5.559253687862408e-10,1.8145691363631004e-09
729.6,1.4081205937529141e-09,7.310298935092055e-10,3.335998261422007e-10,1.8148117907006724e-09
729.5,1.4083088703398581e-09,6.70200334691998e-10,3.336444310126569e-10,1.8150544450382444e-09
729.4,1.3472581405386802e-09,6.093544851520219e-10,2.2245935725540877e-10,1.8152970993758164e-09
729.3,1.4086854235137457e-09,7.313231265190367e-10,3.3373364075356937e-10,1.929010988320475e-09
729.2,1.4088737001006894e-09,7.314208708556471e-10,3.337782456240256e-10,1.8157824080509603e-09
729.1,1.4090619766876334e-09,7.315186151922576e-10,5.563714174908032e-10,1.7025234959892489e-09
729.0,1.4092502532745772e-09,7.316163595288679e-10,5.564457589415636e-10,1.5892342521353411e-09
728.9,1.409438529861521e-09,7.926902791876016e-10,5.56520100392324e-10,1.7029784728721963e-09
728.8,1.287050562409468e-09,7.927961688855962e-10,3.3395666510585056e-10,1.70320596131367e-09
728.7,1.287222467119286e-09,9.148869906733741e-10,2.2266751331753788e-10,1.930557909722496e-09
728.6,1.2260898779324804e-09,9.150091710941371e-10,0.0,1.9308157299561664e-09
728.5,1.3488789563741097e-09,9.151313515149001e-10,1.1136349323907311e-10,1.9310735501898366e-09
728.4,1.41037991279624e-09,8.542366298066188e-10,2.2275672305845038e-10,1.931331370423507e-09
728.3,1.5332262928078089e-09,7.933256173755692e-10,4.4557291927750904e-10,1.817966297089108e-09
728.2,1.5334309412718783e-09,7.934315070735639e-10,5.570404905476468e-10,1.81820895142668e-09
728.1,1.5336355897359477e-09,7.935373967715585e-10,5.571148319984071e-10,1.8184516057642519e-09
728.0,1.4724866286720157e-09,7.936432864695531e-10,5.571891734491675e-10,1.8186942601018237e-09
727.9,1.4113212957309594e-09,8.548068051035129e-10,5.572635148999279e-10,1.932620471591858e-09
727.8,1.4115095723179031e-09,8.549208401628916e-10,6.688054276208259e-10,1.8191795687769676e-09
727.7,1.4730760162485356e-09,9.161087948810041e-10,7.803770769220282e-10,2.160563889948516e-09
727.6,1.5346588320562946e-09,9.162309753017671e-10,6.689838471026508e-10,1.9333939322928686e-09
727.5,1.4734689412995488e-09,9.163531557225301e-10,5.575608807029695e-10,1.9336517525265388e-09
727.4,1.5964708541438105e-09,9.164753361432931e-10,5.576352221537299e-10,1.8201501861272555e-09
727.3,1.5966836885464427e-09,9.777040176683265e-10,5.577095636044903e-10,1.8203928404648275e-09
727.2,1.5968965229490748e-09,1.038948989916128e-09,5.577839050552507e-10,1.8206354948023995e-09
727.1,1.597109357351707e-09,1.0390874610596596e-09,7.810015451084155e-10,1.9346830334612192e-09
727.0,1.597322191754339e-09,9.780949950147682e-10,6.695191055481257e-10,1.9349408536948894e-09
726.9,1.5975350261569714e-09,9.170862382471081e-10,6.696083152890382e-10,1.9351986739285597e-09
726.8,1.5362960197688496e-09,8.560611907566797e-10,4.464650166866338e-10,1.8216061121526872e-09
726.7,1.536500668232919e-09,9.784859723612098e-10,4.4652448984724215e-10,1.9357143143959e-09
726.6,1.5367053166969884e-09,9.78616298143357e-10,5.582299537598131e-10,1.9359721346295703e-09
726.5,1.413957167948173e-09,1.101089951916192e-09,4.4664343616845876e-10,1.9362299548632405e-09
726.4,1.4756300290801215e-09,1.0400567590643794e-09,6.700543639936006e-10,1.9364877750969107e-09
726.3,1.4758264916056282e-09,9.790072754897985e-10,6.70143573734513e-10,2.0506718068206154e-09
726.2,1.4145219977090044e-09,9.791376012719458e-10,5.585273195628547e-10,2.0509447929503837e-09
726.1,1.4147102742959484e-09,9.180636816132122e-10,4.4688132881089203e-10,1.7093481492334601e-09
726.0,1.476415879182148e-09,9.793982528362402e-10,3.352056014786252e-10,1.8235473468532628e-09
725.9,1.4766123417076546e-09,1.0407491147820365e-09,3.3525020634908147e-10,1.8237900011908348e-09
725.8,1.5383425044095434e-09,9.184302228755011e-10,5.588246853658962e-10,1.8240326555284068e-09
725.7,1.5385471528736128e-09,9.797892301826819e-10,6.706788321799878e-10,1.8242753098659788e-09
725.6,1.4772017292841743e-09,1.0411645282126307e-09,7.825627155743838e-10,1.9385503369662725e-09
725.5,1.5389564498017516e-09,9.800498817469763e-10,7.826667936054484e-10,1.9388081571999427e-09
725.4,1.539161098265821e-09,1.1027027334702637e-09,7.82770871636513e-10,2.0531286819885313e-09
725.3,1.6009403765990859e-09,1.1028493499751794e-09,5.591963926196982e-10,2.1674795385693163e-09
725.2,1.6627360268094764e-09,1.0417184127867563e-09,6.711248808845502e-10,2.167767690595183e-09
725.1,1.6013660454043502e-09,9.80571184875565e-10,5.59345075521219e-10,2.053947640377837e-09
725.0,1.6015788798069823e-09,9.807015106577122e-10,5.594194169719794e-10,2.168343994646917e-09
724.9,1.4785769669627206e-09,9.195298466623682e-10,5.594937584227399e-10,2.0544936126373737e-09
724.8,1.4787734294882273e-09,9.196520270831312e-10,4.4765447989880014e-10,1.940612898835634e-09
724.7,1.4789698920137338e-09,9.197742075038943e-10,3.357854647945563e-10,1.9408707190693044e-09
724.6,1.4791663545392405e-09,9.198963879246572e-10,3.3583006966501255e-10,1.8269445075792703e-09
724.5,1.4177226996870496e-09,8.586839971223922e-10,2.2391644969031254e-10,1.8271871619168423e-09
724.4,1.4179109762739934e-09,9.201407487661832e-10,3.35919279405925e-10,1.941644179770315e-09
724.3,1.4180992528609372e-09,9.816137911327426e-10,3.3596388427638125e-10,1.9419020000039853e-09
724.2,1.4182875294478812e-09,9.203851096077093e-10,3.360084891468375e-10,1.827915124929558e-09
724.1,1.6034943894306718e-09,9.81874442697037e-10,6.721061880345875e-10,1.9424176404713257e-09
724.0,1.603707223833304e-09,9.820047684791843e-10,6.721953977754999e-10,1.942675460704996e-09
723.9,1.603920058235936e-09,9.821350942613315e-10,6.722846075164124e-10,2.0572234739350582e-09
723.8,1.6658303115862054e-09,1.043657008796196e-09,6.723738172573249e-10,2.0574964600648265e-09
723.7,1.6660513319274003e-09,1.105195214053829e-09,6.724630269982374e-10,2.1720899709831837e-09
723.6,1.6662723522685951e-09,1.1053418305587445e-09,5.604601972826249e-10,2.0580424323243634e-09
723.5,1.6664933726097902e-09,1.1054884470636602e-09,6.726414464800623e-10,2.058315418454132e-09
723.4,1.666714392950985e-09,1.0442108933703214e-09,6.727306562209748e-10,2.172954427060784e-09
723.3,1.66693541329218e-09,1.044349364513853e-09,6.728198659618873e-10,2.1732425790866505e-09
723.2,1.7289029682123886e-09,1.0444878356573844e-09,6.729090757027998e-10,2.173530731112517e-09
723.1,1.7291321744921461e-09,9.83177700518509e-10,5.608319045364269e-10,2.173818883138384e-09
723.0,1.6675984743157647e-09,1.044764777944447e-09,6.730874951846247e-10,2.1741070351642505e-09
722.9,1.6678194946569598e-09,1.0449032490879786e-09,6.731767049255371e-10,2.1743951871901172e-09
722.8,1.6680405149981546e-09,1.04504172023151e-09,7.854769004441913e-10,2.060226321362511e-09
722.7,1.730048999611177e-09,1.106661379102985e-09,7.855809784752559e-10,2.1749714912418506e-09
722.6,1.7302782058909346e-09,1.1068079956079007e-09,6.734443341482745e-10,2.1752596432677173e-09
722.5,1.6687035760217394e-09,1.0454571336621042e-09,7.85789134537385e-10,2.175547795293584e-09
722.4,1.7307366184504502e-09,1.2301124762419244e-09,7.858932125684496e-10,2.404871310195182e-09
722.3,1.7309658247302078e-09,1.2302753834696084e-09,6.73711963371012e-10,2.5197226413472103e-09
722.2,1.6693666370453242e-09,1.2304382906972923e-09,6.738011731119245e-10,2.4055082778313083e-09
722.1,1.7314242372897234e-09,1.2306011979249763e-09,6.738903828528369e-10,2.2912635825232115e-09
722.0,1.731653443569481e-09,1.1692258998950273e-09,5.616496604947913e-10,2.406145245467435e-09
721.9,1.7318826498492387e-09,1.1078343111423098e-09,5.617240019455517e-10,2.177276707448784e-09
721.8,1.670250718410104e-09,1.1079809276472255e-09,3.370790060377872e-10,2.177564859474651e-09
721.7,1.732341062408754e-09,1.108127544152141e-09,3.371236109082434e-10,2.177853011500518e-09
721.6,1.6706927590924938e-09,1.1082741606570567e-09,4.495576210382663e-10,2.0635021549197324e-09
721.5,1.6709137794336888e-09,1.1084207771619722e-09,4.4961709419887457e-10,2.063775141049501e-09
721.4,1.7330286812480272e-09,1.1701544710928261e-09,6.745148510392243e-10,2.178717467578118e-09
721.3,1.6713558201160786e-09,1.1703092329591259e-09,5.621700506501141e-10,2.064321113309038e-09
721.2,1.7953973471578122e-09,1.1088606266767191e-09,5.622443921008745e-10,1.9498944272477615e-09
721.1,1.7956347393761327e-09,1.1090072431816346e-09,6.747824802619617e-10,2.064867085568575e-09
721.0,1.7958721315944532e-09,1.0475342008150753e-09,5.623930750023953e-10,2.065140071698343e-09
720.9,1.8580443349787316e-09,1.1093004761914658e-09,6.749608997437867e-10,2.1801582277074514e-09
720.8,1.796346916031094e-09,1.047811143102138e-09,5.62541757903916e-10,2.2952067155087557e-09
720.7,1.858535491292498e-09,1.109593709201297e-09,7.87662539096547e-10,2.1807345317591847e-09
720.6,1.796821700467735e-09,1.1713925660232247e-09,7.877666171276115e-10,2.2958133513526855e-09
720.5,1.7970590926860555e-09,1.0482265565327322e-09,6.753177387074366e-10,2.0665050023471856e-09
720.4,1.797296484904376e-09,1.1717020897558241e-09,6.754069484483491e-10,2.181598987836785e-09
720.3,1.7975338771226965e-09,1.1101801752209596e-09,6.754961581892615e-10,2.1818871398626515e-09
720.2,1.797771269341017e-09,1.1103267917258751e-09,5.629878066084784e-10,2.182175291888518e-09
720.1,1.7980086615593375e-09,1.1104734082307908e-09,4.50449718447391e-10,2.0675969468662594e-09
720.0,1.8602545383906808e-09,1.1106200247357063e-09,4.5050919160799934e-10,2.1827515959402516e-09
719.9,1.8606536028956161e-09,1.1108582765561942e-09,3.3795437662049087e-10,2.183219842982285e-09
