Concentration;235 nm;313 nm;339 nm;358 nm;402 nm;406 nm;432 nm;526 nm
3,48;2,8206;0,2171;0,228;0,2998;0,2334;0,2409;0,1851;0,1755
1,77;0,7907;0,1594;0,1589;0,1792;0,161;0,1399;0,123;0,103
0,879;0,3277;0,1461;0,1411;0,149;0,1341;0,1187;0,1023;0,0695
0,419;0,1149;0,0612;0,059;0,0619;0,0612;0,0537;0,0512;0,038
0,231;0,1404;0,1077;0,1057;0,1088;0,099;0,0931;0,0787;0,0408
0,104;0,1546;0,1264;0,1236;0,1266;0,1165;0,1125;0,0971;0,0512
0,0596;0,0385;0,0295;0,0289;0,0307;0,028;0,0264;0,0214;0,0076
