 # Mode   Huang-Rhys factor
           1   6.6628070950930554E-002
           2   3.4925929230476460     
           3   3.8866062324817447E-003
           4   1.5461291061739828E-003
           5   1.5559982156212462     
           6   7.9525096250495184E-002
           7  0.11287425561970423     
           8   3.6658547587134771E-002
           9   4.2464618370031246     
          10   4.9785011825791210E-002
          11  0.39856640580340208     
          12  0.50589925287280069     
          13   1.4432005871894225     
          14   1.7464839978466655     
          15  0.15778654629711403     
          16   5.4408678673581318E-003
          17   4.1685017461513452     
          18   1.1441533928992103     
          19   7.9034662355999714     
          20   2.1114499922185979     
          21   8.0099405714297092E-003
          22   1.3417014086466285E-002
          23  0.41361268128985401     
          24   2.0135867826858913E-003
          25  0.52734102853858822     
          26  0.21883741386702707     
          27   5.5745070388018139E-002
          28   1.0547230361351934     
          29   1.2748848500850349E-002
          30   2.6933680412181915     
          31   8.0055013633512963E-004
          32   1.1022209140054936E-004
          33   1.3800660241094231E-002
          34   4.0667870211781879E-002
          35   8.6659098637879600E-002
          36   6.2761387917834907E-002
          37  0.33278454613960601     
          38   2.8415808384378156     
          39  0.22511274794557937     
          40   1.5869604938833561     
          41   7.1167695005024997E-002
          42  0.47308734784379036     
          43   9.4931009382886889E-003
          44   1.6647594100211147     
          45   3.1268686760622200     
